dataset,logisticat,logisticat_desb_v2,logisticit,logisticit_desb_v2,logisticregressor,POM,SVORIMLin
ERA,1.222,1.449,2.787,2.815,1.737,1.218,1.221
ESL,0.308,0.509,0.314,0.648,0.392,0.31,0.313
LEV,0.415,0.689,0.424,1.012,0.593,0.409,0.426
SWD,0.449,0.705,0.528,1.034,0.58,0.45,0.45
automobile,0.592,0.653,0.693,0.744,0.803,0.953,0.472
balance-scale,0.15,0.107,0.204,0.107,0.107,0.107,0.107
car,0.08,0.08,0.084,0.08,0.073,1.451,0.081
contact-lenses,0.478,0.422,0.567,0.422,0.383,0.533,0.478
eucalyptus,1.003,1.022,0.992,0.999,1.103,1.939,0.384
newthyroid,0.032,0.036,0.032,0.036,0.025,0.028,0.031
pasture,0.485,0.433,0.422,0.441,0.437,0.585,0.337
squash-stored,0.449,0.521,0.441,0.521,0.518,0.813,0.377
squash-unstored,0.246,0.274,0.244,0.262,0.264,0.826,0.318
tae,0.702,0.699,0.674,0.671,0.61,0.628,0.58
toy,0.998,1.575,1.917,1.762,1.154,0.981,0.964
winequality-red,0.439,1.501,0.438,1.874,0.81,0.435,0.445
