dataset,logisticat,logisticat_desb_v2,logisticit,logisticit_desb_v2,logisticregressor,POM,SVORIMLin
ERA,0.732,0.746,0.895,0.895,0.791,0.744,0.759
ESL,0.291,0.457,0.297,0.473,0.348,0.295,0.291
LEV,0.381,0.563,0.389,0.709,0.492,0.377,0.391
SWD,0.429,0.6,0.475,0.765,0.49,0.432,0.431
automobile,0.512,0.542,0.542,0.578,0.498,0.533,0.408
balance-scale,0.116,0.094,0.143,0.094,0.094,0.094,0.094
car,0.079,0.077,0.081,0.077,0.067,0.843,0.08
contact-lenses,0.339,0.3,0.394,0.278,0.244,0.383,0.367
eucalyptus,0.679,0.678,0.659,0.667,0.669,0.851,0.356
newthyroid,0.032,0.036,0.032,0.036,0.025,0.028,0.031
pasture,0.43,0.411,0.389,0.404,0.422,0.504,0.344
squash-stored,0.408,0.456,0.397,0.459,0.438,0.618,0.372
squash-unstored,0.246,0.274,0.241,0.262,0.262,0.651,0.315
tae,0.539,0.539,0.503,0.497,0.474,0.496,0.476
toy,0.705,0.797,0.86,0.848,0.757,0.711,0.736
winequality-red,0.406,0.84,0.402,0.916,0.584,0.403,0.411
