,contact-lenses,,,pasture,,,squash-stored,,,squash-unstored,,,tae,,,newthyroid,,,balance-scale,,,SWD,,,car,,,bondrate,,,toy,,,eucalyptus,,,LEV,,,automobile,,,winequality-red,,,ESL,,,ERA
MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time
0.333333,0.333333,11.123921,0.444444,0.444444,13.492440,0.461538,0.615385,5.595445,0.153846,0.153846,6.009198,0.394737,0.447368,69.566632,0.018519,0.018519,79.536169,0.133758,0.133758,355.102738,0.508000,0.560000,712.435196,0.055556,0.055556,2411.240667,0.400000,0.466667,14.725084,0.080000,0.160000,334.238961,0.396739,0.407609,952.395054,0.448000,0.504000,751.880328,0.346154,0.423077,19.261217,0.342500,0.385000,3334.815225,0.352459,0.377049,250.320421,0.840000,1.972000,786.961388,
0.333333,0.666667,8.267370,0.222222,0.222222,12.411443,0.538462,0.461538,5.629503,0.153846,0.153846,5.220455,0.421053,0.394737,68.470713,0.000000,0.000000,75.421023,0.152866,0.152866,396.985970,0.492000,0.572000,704.307868,0.055556,0.055556,2404.621691,0.400000,0.466667,11.444863,0.080000,0.080000,103.017327,0.375000,0.391304,908.005414,0.508000,0.608000,650.468612,0.250000,0.288462,70.433368,0.335000,0.367500,3121.299292,0.336066,0.368852,248.992782,0.760000,1.672000,809.841955,
0.333333,0.500000,9.608072,0.222222,0.222222,12.099142,0.230769,0.076923,5.821344,0.076923,0.076923,6.272393,0.447368,0.526316,71.142405,0.037037,0.037037,78.749062,0.152866,0.152866,366.938839,0.500000,0.560000,681.713643,0.057870,0.057870,2422.742232,0.466667,0.666667,12.144584,0.133333,0.120000,99.670933,0.364130,0.391304,895.832135,0.472000,0.520000,789.079441,0.250000,0.326923,86.573406,0.332500,0.377500,2876.566618,0.409836,0.385246,249.485064,0.792000,1.776000,793.091936,
0.166667,0.666667,10.455153,0.333333,0.444444,10.378701,0.538462,0.615385,5.731737,0.153846,0.076923,5.153353,0.394737,0.500000,71.725497,0.037037,0.018519,81.837064,0.127389,0.140127,378.701058,0.520000,0.544000,680.394061,0.046296,0.046296,2430.775176,0.400000,0.666667,5.667873,0.133333,0.133333,97.655913,0.364130,0.407609,872.052815,0.480000,0.572000,787.763710,0.326923,0.365385,81.228645,0.345000,0.392500,3120.116007,0.319672,0.360656,233.937713,0.848000,1.768000,895.651894,
0.166667,0.166667,9.655684,0.333333,0.444444,6.849658,0.384615,0.307692,5.824344,0.153846,0.153846,4.852992,0.421053,0.421053,70.432729,0.018519,0.018519,73.104602,0.165605,0.165605,371.801040,0.552000,0.584000,674.982877,0.048611,0.048611,2423.752335,0.400000,0.600000,5.901396,0.120000,0.133333,97.467856,0.364130,0.396739,851.336519,0.404000,0.472000,788.550190,0.307692,0.403846,81.916528,0.367500,0.400000,3263.072650,0.336066,0.360656,232.725217,0.844000,1.816000,858.426259,
0.333333,0.833333,10.854038,0.444444,0.333333,7.573470,0.538462,0.461538,5.520016,0.230769,0.307692,6.198957,0.473684,0.500000,70.783063,0.018519,0.018519,64.557503,0.216561,0.216561,366.360425,0.520000,0.584000,720.130596,0.043981,0.043981,2406.314421,0.533333,0.666667,6.992764,0.120000,0.120000,102.090792,0.353261,0.391304,942.373843,0.436000,0.504000,734.079102,0.173077,0.346154,83.210113,0.360000,0.405000,3027.474371,0.377049,0.311475,234.838356,0.736000,1.644000,757.723702,
0.500000,0.666667,8.692845,0.222222,0.333333,6.359196,0.384615,0.538462,5.170447,0.230769,0.230769,6.353612,0.447368,0.526316,69.802928,0.018519,0.018519,65.102639,0.197452,0.197452,374.033251,0.512000,0.604000,707.232044,0.041667,0.041667,2403.166069,0.466667,0.666667,10.923005,0.080000,0.093333,97.695581,0.402174,0.440217,859.686415,0.440000,0.520000,1115.825103,0.384615,0.615385,83.250015,0.372500,0.412500,3083.187957,0.377049,0.344262,228.550903,0.812000,1.784000,768.689304,
0.833333,0.500000,7.110274,0.222222,0.222222,6.413502,0.384615,0.384615,5.623762,0.461538,0.461538,5.724384,0.394737,0.394737,66.755212,0.018519,0.018519,73.659843,0.133758,0.114650,405.789872,0.508000,0.584000,716.109217,0.023148,0.039352,2410.831122,0.466667,0.666667,6.234215,0.146667,0.133333,97.126090,0.336957,0.375000,943.136884,0.444000,0.516000,745.536114,0.326923,0.403846,85.504088,0.350000,0.400000,2914.606162,0.327869,0.377049,224.672171,0.836000,1.800000,768.085933,
0.166667,0.333333,7.947611,0.222222,0.222222,5.457199,0.307692,0.307692,6.165197,0.230769,0.153846,6.156839,0.447368,0.578947,71.584260,0.055556,0.055556,72.655463,0.108280,0.152866,385.839883,0.524000,0.560000,698.908716,0.048611,0.043981,2396.836154,0.466667,0.533333,10.200121,0.133333,0.133333,99.827392,0.369565,0.385870,903.200789,0.420000,0.488000,803.137061,0.288462,0.442308,83.556084,0.342500,0.415000,2878.853958,0.360656,0.360656,229.857836,0.828000,1.904000,793.710183,
0.333333,0.666667,9.735041,0.333333,0.333333,5.424213,0.307692,0.307692,5.807143,0.230769,0.230769,4.270658,0.368421,0.394737,67.274961,0.037037,0.055556,87.312673,0.108280,0.178344,433.092580,0.508000,0.544000,953.203027,0.048611,0.043981,2400.225701,0.400000,0.600000,11.611907,0.093333,0.173333,104.360997,0.282609,0.385870,892.621908,0.460000,0.528000,784.374277,0.384615,0.442308,83.163892,0.372500,0.420000,3117.892008,0.303279,0.319672,258.982822,0.792000,1.808000,795.925427,
0.333333,0.500000,12.504592,0.444444,0.555556,4.489882,0.307692,0.230769,6.058594,0.461538,0.230769,4.227683,0.447368,0.526316,70.094126,0.018519,0.037037,78.076640,0.159236,0.152866,419.588895,0.552000,0.640000,1096.608877,0.050926,0.041667,2397.876165,0.400000,0.600000,5.703994,0.066667,0.120000,101.793387,0.413043,0.445652,919.754487,0.472000,0.472000,768.356793,0.307692,0.403846,87.267647,0.332500,0.372500,3043.399946,0.344262,0.360656,229.196479,0.796000,1.604000,791.186286,
0.333333,1.000000,7.403357,0.333333,0.333333,4.459247,0.461538,0.307692,6.196370,0.307692,0.153846,4.226275,0.421053,0.394737,66.406343,0.037037,0.037037,82.365742,0.178344,0.171975,389.317634,0.552000,0.616000,757.401794,0.055556,0.055556,2535.299616,0.400000,0.600000,6.791380,0.160000,0.080000,104.172041,0.358696,0.385870,1041.275748,0.420000,0.448000,792.858085,0.288462,0.576923,64.792752,0.332500,0.365000,3020.276966,0.352459,0.426230,222.276917,0.764000,1.664000,790.129111,
0.000000,0.666667,8.774062,0.333333,0.333333,4.517744,0.538462,0.384615,4.905456,0.384615,0.538462,4.341287,0.473684,0.473684,75.649007,0.018519,0.018519,80.425372,0.159236,0.159236,384.646976,0.476000,0.536000,708.712849,0.053241,0.053241,2545.796552,0.400000,0.600000,6.813149,0.080000,0.093333,99.625221,0.402174,0.385870,940.047634,0.488000,0.580000,715.867372,0.480769,0.480769,84.664365,0.360000,0.412500,3198.011205,0.327869,0.336066,238.009286,0.812000,1.884000,820.548034,
0.333333,0.500000,7.217958,0.333333,0.444444,18.546060,0.307692,0.384615,5.329479,0.307692,0.307692,4.239139,0.368421,0.368421,68.365092,0.000000,0.018519,66.409540,0.203822,0.203822,396.382274,0.488000,0.560000,689.310973,0.057870,0.039352,2564.510454,0.666667,0.666667,8.044387,0.040000,0.093333,100.840720,0.375000,0.418478,1004.481559,0.404000,0.460000,794.013124,0.307692,0.384615,80.013177,0.352500,0.400000,2958.960045,0.344262,0.368852,216.028552,0.852000,1.688000,837.399096,
0.166667,0.166667,10.427996,0.111111,0.222222,5.197813,0.615385,0.538462,5.351516,0.230769,0.230769,9.043221,0.500000,0.500000,66.565114,0.018519,0.018519,50.797699,0.229299,0.203822,392.246689,0.512000,0.572000,684.882462,0.030093,0.030093,2528.495420,0.400000,0.533333,10.241589,0.146667,0.106667,103.955177,0.342391,0.380435,1028.684292,0.428000,0.464000,776.926577,0.288462,0.307692,81.588135,0.367500,0.415000,3253.253883,0.327869,0.303279,218.163287,0.824000,1.836000,851.818061,
0.500000,0.000000,7.243457,0.222222,0.222222,4.567147,0.538462,0.230769,5.860623,0.307692,0.461538,4.338035,0.394737,0.368421,66.718393,0.055556,0.037037,53.553176,0.152866,0.146497,343.771624,0.508000,0.592000,678.886432,0.030093,0.043981,2552.707138,0.466667,0.666667,9.845991,0.133333,0.133333,98.635593,0.391304,0.369565,1259.230883,0.424000,0.480000,666.266565,0.403846,0.423077,89.429158,0.372500,0.417500,3224.020293,0.393443,0.434426,221.209444,0.796000,1.648000,932.491965,
0.166667,0.166667,8.676702,0.333333,0.333333,5.143232,0.384615,0.384615,6.210951,0.384615,0.461538,4.781300,0.421053,0.526316,68.525176,0.074074,0.074074,51.225497,0.171975,0.146497,350.857738,0.480000,0.548000,694.513091,0.034722,0.034722,2517.236368,0.400000,0.600000,13.227985,0.146667,0.133333,100.166277,0.353261,0.385870,1152.259262,0.424000,0.476000,901.020419,0.250000,0.307692,86.593075,0.315000,0.350000,3138.569558,0.319672,0.286885,241.454953,0.792000,1.908000,783.468820,
0.500000,0.833333,9.782720,0.222222,0.222222,12.953325,0.384615,0.461538,5.050806,0.153846,0.153846,6.167417,0.421053,0.473684,66.741513,0.000000,0.000000,74.989661,0.114650,0.146497,351.356295,0.468000,0.520000,706.215556,0.055556,0.055556,2389.039221,0.400000,0.600000,10.392275,0.066667,0.080000,102.030690,0.385870,0.461957,907.205160,0.460000,0.500000,778.162603,0.307692,0.461538,18.448605,0.332500,0.377500,3037.815456,0.352459,0.327869,245.757142,0.844000,1.908000,832.101131,
