,contact-lenses,,,pasture,,,squash-stored,,,squash-unstored,,,tae,,,newthyroid,,,balance-scale,,,SWD,,,car,,,bondrate,,,toy,,,eucalyptus,,,LEV,,,automobile,,,winequality-red,,,ESL,,,ERA
MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time
0.500000,0.500000,2.577906,0.333333,0.333333,4.196320,0.461538,0.461538,8.192875,0.384615,0.384615,7.433393,0.394737,0.526316,18.587749,0.055556,0.055556,21.732243,0.025478,0.025478,63.057141,0.432000,0.444000,46.954055,0.011574,0.011574,222.615036,0.266667,0.266667,7.197172,0.080000,0.080000,29.761227,0.375000,0.402174,141.033266,0.360000,0.408000,38.656025,0.250000,0.365385,33.849860,0.307500,0.350000,174.171734,0.327869,0.344262,30.770839,0.740000,1.280000,32.534010,
0.333333,0.666667,2.545787,0.222222,0.222222,4.368610,0.307692,0.307692,7.974880,0.230769,0.230769,7.938815,0.394737,0.526316,18.030527,0.000000,0.000000,21.779656,0.012739,0.012739,63.549230,0.408000,0.432000,46.413168,0.013889,0.013889,222.880017,0.333333,0.400000,7.082762,0.013333,0.013333,29.967317,0.364130,0.385870,142.479497,0.440000,0.476000,38.676607,0.307692,0.346154,33.484476,0.290000,0.312500,175.680096,0.327869,0.344262,31.376005,0.752000,1.268000,32.461448,
0.333333,0.333333,2.606634,0.111111,0.111111,4.155114,0.153846,0.153846,7.533716,0.076923,0.076923,7.452507,0.368421,0.421053,18.678015,0.074074,0.074074,21.742212,0.038217,0.038217,63.769052,0.428000,0.456000,47.992304,0.002315,0.002315,223.559013,0.466667,0.466667,7.142065,0.066667,0.066667,30.163287,0.336957,0.358696,141.902756,0.440000,0.480000,38.595017,0.230769,0.269231,33.477637,0.322500,0.352500,184.819735,0.303279,0.319672,31.221425,0.756000,1.188000,32.610376,
0.166667,0.166667,2.548065,0.444444,0.444444,4.146988,0.538462,0.538462,7.604124,0.153846,0.153846,7.619257,0.394737,0.605263,18.326725,0.092593,0.092593,22.027468,0.025478,0.025478,63.450699,0.432000,0.452000,48.677116,0.020833,0.020833,224.191242,0.466667,0.533333,7.174786,0.093333,0.093333,29.660637,0.358696,0.396739,141.966096,0.404000,0.432000,38.718753,0.250000,0.288462,33.393004,0.315000,0.347500,175.343379,0.286885,0.286885,31.261220,0.776000,1.316000,32.415745,
0.166667,0.166667,2.567618,0.333333,0.333333,4.149668,0.384615,0.384615,7.492645,0.307692,0.307692,7.716025,0.447368,0.552632,19.417391,0.074074,0.074074,21.358045,0.050955,0.063694,63.488279,0.448000,0.468000,46.515921,0.013889,0.013889,225.864153,0.533333,0.533333,7.053573,0.026667,0.026667,29.724987,0.364130,0.385870,142.691588,0.380000,0.440000,38.704236,0.384615,0.423077,34.011917,0.332500,0.355000,174.855517,0.336066,0.352459,31.714730,0.728000,1.224000,32.567928,
0.333333,0.333333,2.549564,0.333333,0.333333,4.173587,0.384615,0.384615,7.704312,0.230769,0.230769,7.812472,0.368421,0.473684,18.730103,0.018519,0.018519,21.274742,0.031847,0.031847,63.513353,0.456000,0.492000,48.212601,0.011574,0.011574,223.064384,0.466667,0.533333,7.176389,0.000000,0.000000,29.171869,0.369565,0.385870,141.131468,0.360000,0.412000,38.653328,0.250000,0.269231,33.973454,0.312500,0.342500,173.648106,0.303279,0.327869,31.286149,0.764000,1.220000,32.540545,
0.500000,0.500000,2.577727,0.333333,0.333333,4.305584,0.384615,0.384615,7.967521,0.384615,0.384615,7.853553,0.447368,0.578947,18.705155,0.074074,0.074074,22.263072,0.012739,0.012739,63.587186,0.440000,0.460000,46.767751,0.009259,0.009259,223.328340,0.733333,0.800000,6.928428,0.080000,0.080000,29.312717,0.445652,0.489130,141.110698,0.400000,0.424000,38.659874,0.423077,0.519231,34.016035,0.370000,0.395000,184.223689,0.327869,0.352459,31.670568,0.756000,1.260000,32.497295,
0.666667,0.666667,2.549946,0.111111,0.111111,4.206198,0.461538,0.461538,8.079269,0.384615,0.384615,7.910889,0.368421,0.421053,18.471951,0.055556,0.055556,21.868413,0.025478,0.025478,63.789155,0.428000,0.448000,46.451874,0.006944,0.006944,222.713753,0.466667,0.600000,7.074680,0.026667,0.026667,30.012128,0.380435,0.440217,144.415765,0.384000,0.432000,38.589823,0.269231,0.346154,33.847807,0.327500,0.367500,173.236552,0.336066,0.360656,31.753734,0.784000,1.256000,32.913970,
0.333333,0.333333,2.581903,0.222222,0.222222,4.286190,0.153846,0.153846,7.549282,0.230769,0.230769,8.387572,0.447368,0.631579,19.286546,0.074074,0.074074,21.798250,0.000000,0.000000,63.471294,0.444000,0.476000,46.996846,0.011574,0.011574,223.346180,0.466667,0.533333,7.059402,0.026667,0.026667,30.385537,0.418478,0.461957,256.145742,0.320000,0.356000,38.751784,0.326923,0.461538,33.700693,0.347500,0.375000,185.665722,0.286885,0.303279,31.827491,0.736000,1.240000,32.691140,
0.333333,0.666667,2.564574,0.222222,0.222222,4.206696,0.384615,0.384615,7.867149,0.230769,0.230769,7.936009,0.368421,0.447368,20.322166,0.037037,0.037037,21.423641,0.050955,0.050955,63.254194,0.428000,0.440000,47.958973,0.004630,0.004630,224.086257,0.533333,0.533333,7.175570,0.080000,0.080000,29.297848,0.380435,0.407609,142.793273,0.416000,0.448000,38.654361,0.346154,0.365385,33.898584,0.342500,0.382500,187.131615,0.319672,0.336066,31.314835,0.776000,1.284000,32.443098,
