Dataset,MZE,MAE,Time
contact-lenses,0.3388887666666667,0.5166667,9.337470466666668
pasture,0.32592566666666667,0.3407405,9.314630999999999
squash-stored,0.3923075666666667,0.37435879999999994,5.6988406000000005
squash-unstored,0.2641023,0.2512818333333333,6.1010053666666675
tae,0.4333333,0.4605263333333333,70.41214966666668
newthyroid,0.025926166666666663,0.024691599999999994,73.56022730000001
balance-scale,0.16029730000000003,0.16369436666666667,383.0563728333334
SWD,0.5137333333333334,0.5785333333333332,726.2554206000001
car,0.0469136,0.04645056666666667,2436.7909980666673
bondrate,0.4733334333333333,0.6288889,9.241688133333332
toy,0.10711113333333334,0.11422216666666667,109.46073123333333
eucalyptus,0.37173913333333336,0.40054350000000005,912.5491108666666
LEV,0.4577333333333333,0.5122666666666666,762.3098879666667
automobile,0.30064103333333325,0.38782049999999996,70.79130526666668
winequality-red,0.34975,0.3926666666666666,3072.3474948999997
ESL,0.3554645333333334,0.36530056666666677,240.98874646666667
ERA,0.8053333333333333,1.7830666666666668,811.2194911999999
