Dataset,MZE,MAE,Time
contact-lenses,0.35555546666666665,0.41666670000000006,2.5637270666666665
pasture,0.2999997333333333,0.2999997333333333,4.216847633333333
squash-stored,0.36410233333333336,0.36410233333333336,7.87657
squash-unstored,0.2974356,0.30512789999999995,7.724564733333333
tae,0.4026315,0.5043858999999999,18.866855733333335
newthyroid,0.04197549999999999,0.04197549999999999,21.818006566666664
balance-scale,0.03205949999999999,0.032484133333333325,63.52313643333334
SWD,0.43906666666666666,0.4628,47.118875166666655
car,0.0119598,0.0119598,224.32951750000004
bondrate,0.4577778,0.5311110666666666,7.100245499999999
toy,0.05155553333333334,0.05155553333333334,29.630413799999996
eucalyptus,0.3804347666666667,0.41467396666666667,146.3375061333333
LEV,0.39120000000000005,0.43439999999999995,38.7194496
automobile,0.29358980000000007,0.3480770666666668,33.7900469
winequality-red,0.3344166666666667,0.36550000000000005,179.67496360000007
ESL,0.3226776000000001,0.3404371666666666,31.442119333333334
ERA,0.7600000000000001,1.249866666666667,32.552851833333335
