Dataset,MZE,MAE,Time
contact-lenses,0.3833332,0.5166666999999999,0.5147685999999999
pasture,0.3444441333333334,0.3444441333333334,0.5016755333333334
squash-stored,0.37179466666666666,0.38205106666666666,0.6043305333333334
squash-unstored,0.26923050000000004,0.2717946,0.5758564333333334
tae,0.40087713333333325,0.46929819999999994,13.681368666666668
newthyroid,0.03395083333333333,0.03395083333333333,1.6100471333333333
balance-scale,0.0021231333333333333,0.0025477666666666667,19.7572305
SWD,0.4313333333333334,0.4505333333333334,1095.3316626
car,0.012422899999999999,0.012422899999999999,368.8572309
bondrate,0.45111109999999993,0.6088889666666667,0.8145604000000001
toy,0.020444433333333338,0.020444433333333338,16.082799966666666
eucalyptus,0.3610507666666667,0.3931159,106.92071183333334
LEV,0.37960000000000005,0.4124,1056.985855
automobile,0.3230769,0.39487183333333326,9.233259299999999
winequality-red,0.3729166666666666,0.4194166666666667,1511.0173823666667
ESL,0.28442633333333334,0.2983606666666667,189.2809694666667
ERA,0.7511999999999996,1.2138666666666669,4519.095103266666
