,contact-lenses,,,pasture,,,squash-stored,,,squash-unstored,,,tae,,,newthyroid,,,balance-scale,,,SWD,,,car,,,bondrate,,,toy,,,eucalyptus,,,LEV,,,automobile,,,winequality-red,,,ESL,,,ERA
MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time
0.166667,0.333333,0.277720,0.666667,0.777778,0.398996,0.692308,0.923077,0.561309,0.769231,0.846154,0.556484,0.500000,0.684211,1.316336,0.018519,0.018519,0.384787,0.089172,0.101911,1.477719,0.484000,0.500000,0.442948,0.960648,1.662037,4.351075,0.333333,0.333333,0.527508,0.706667,0.973333,0.284689,0.847826,2.048913,21.682703,0.376000,0.412000,0.675912,0.307692,0.480769,9.239165,0.407500,0.445000,0.700013,0.319672,0.352459,0.525073,0.728000,1.172000,0.476681,
0.333333,0.666667,0.301020,0.666667,0.777778,0.390884,0.461538,0.615385,0.650275,0.615385,0.769231,0.596110,0.447368,0.578947,1.245910,0.000000,0.000000,0.313833,0.114650,0.121019,0.467153,0.432000,0.460000,0.433356,0.960648,1.662037,1.133930,0.533333,1.066667,0.562001,0.680000,0.973333,0.300547,0.858696,2.059783,2.324441,0.388000,0.412000,0.948351,0.480769,0.653846,7.632408,0.402500,0.432500,0.770109,0.319672,0.327869,0.528113,0.772000,1.248000,0.481841,
0.333333,0.333333,0.290709,0.444444,0.555556,0.469870,0.538462,0.538462,0.612259,0.692308,0.923077,0.627834,0.552632,0.578947,1.295521,0.018519,0.018519,0.345622,0.089172,0.095541,0.486759,0.452000,0.472000,0.446315,0.960648,1.662037,1.781268,0.733333,0.866667,0.519411,0.746667,1.066667,0.265455,0.858696,2.054348,0.946883,0.396000,0.416000,0.662619,0.865385,2.192308,0.513478,0.412500,0.445000,0.709634,0.319672,0.319672,0.435674,0.708000,1.144000,0.510575,
0.166667,0.333333,0.291362,0.333333,0.333333,0.389949,0.692308,1.000000,0.619493,0.692308,0.846154,0.613794,0.447368,0.631579,1.531061,0.055556,0.055556,0.297344,0.057325,0.063694,0.338324,0.412000,0.436000,0.477877,0.960648,1.662037,1.612814,0.533333,0.600000,0.524012,0.693333,1.040000,0.280989,0.858696,2.059783,1.014764,0.340000,0.360000,0.954271,0.480769,0.557692,9.533856,0.400000,0.440000,0.783432,0.270492,0.270492,0.509698,0.784000,1.328000,0.479516,
0.333333,0.333333,0.304676,0.444444,0.555556,0.398925,0.384615,0.461538,0.582329,0.615385,0.846154,0.614081,0.447368,0.526316,1.285120,0.037037,0.037037,0.350504,0.114650,0.127389,0.608220,0.432000,0.444000,0.427675,0.960648,1.662037,5.171432,0.400000,0.666667,0.505118,0.706667,1.013333,0.299746,0.858696,2.054348,1.111874,0.384000,0.420000,1.097885,0.442308,0.557692,10.607190,0.402500,0.430000,0.784082,0.270492,0.286885,0.549291,0.724000,1.144000,0.460644,
0.333333,0.333333,0.278755,0.555556,0.555556,0.396986,0.615385,0.769231,0.597459,0.923077,1.307692,0.629823,0.605263,0.763158,1.163902,0.018519,0.018519,0.345125,0.070064,0.082803,0.478838,0.420000,0.444000,0.456820,0.960648,1.662037,4.878095,0.666667,0.933333,0.532986,0.733333,1.000000,0.330429,0.858696,2.054348,19.920851,0.352000,0.388000,0.731748,0.423077,0.596154,11.384665,0.385000,0.420000,0.706131,0.188525,0.213115,0.510498,0.740000,1.148000,0.474808,
0.666667,0.666667,0.289150,0.333333,0.333333,0.401645,0.692308,0.923077,0.597559,0.923077,1.307692,0.582179,0.552632,0.710526,1.170674,0.018519,0.018519,0.352941,0.095541,0.095541,0.369017,0.400000,0.408000,0.544542,0.960648,1.662037,0.452080,0.933333,1.733333,0.550900,0.693333,0.973333,0.288032,0.858696,2.059783,20.240643,0.376000,0.404000,1.000582,0.500000,0.750000,10.374739,0.437500,0.477500,0.770898,0.254098,0.270492,0.544577,0.756000,1.260000,0.491665,
0.166667,0.166667,0.239458,0.333333,0.333333,0.481985,0.307692,0.384615,0.596172,0.846154,1.153846,0.600175,0.447368,0.526316,1.272467,0.000000,0.000000,0.325986,0.063694,0.070064,0.410607,0.428000,0.432000,0.476008,0.960648,1.662037,0.477950,0.866667,1.133333,0.541204,0.760000,1.040000,0.278170,0.858696,2.059783,1.757635,0.352000,0.380000,0.774333,0.384615,0.538462,11.151371,0.382500,0.415000,0.807898,0.295082,0.311475,0.528829,0.732000,1.168000,0.478542,
0.166667,0.333333,0.276851,0.333333,0.333333,0.427165,0.615385,0.769231,0.640166,0.538462,0.615385,0.608974,0.657895,0.973684,1.295068,0.055556,0.055556,0.303609,0.095541,0.101911,0.422660,0.476000,0.492000,0.528924,0.960648,1.662037,2.844998,0.466667,0.666667,0.685318,0.706667,0.973333,0.307241,0.858696,2.059783,1.016685,0.324000,0.360000,0.805436,0.865385,2.153846,0.808483,0.390000,0.432500,0.734836,0.270492,0.270492,0.514071,0.716000,1.224000,0.493183,
0.333333,0.500000,0.311873,0.666667,0.666667,0.398626,0.384615,0.461538,0.561322,0.692308,0.846154,0.574089,0.552632,0.736842,1.352007,0.055556,0.055556,0.399423,0.121019,0.133758,0.521624,0.372000,0.380000,0.478579,0.074074,0.074074,6.591883,0.933333,1.666667,0.203789,0.680000,1.000000,0.301988,0.858696,2.065217,0.992903,0.396000,0.432000,0.724827,0.423077,0.557692,10.844183,0.407500,0.442500,0.766264,0.327869,0.352459,0.550818,0.752000,1.256000,0.479732,
0.333333,0.500000,0.335506,0.666667,0.666667,0.391017,0.538462,0.769231,0.621550,0.461538,0.538462,0.623986,0.657895,0.894737,1.196963,0.055556,0.055556,0.328804,0.101911,0.114650,0.507849,0.424000,0.452000,0.467637,0.960648,1.662037,4.791589,0.800000,1.000000,0.555642,0.706667,0.946667,0.329549,0.858696,1.652174,21.667955,0.436000,0.476000,0.611391,0.442308,0.557692,10.557252,0.392500,0.417500,0.776373,0.303279,0.319672,0.558285,0.780000,1.300000,0.475453,
0.333333,0.333333,0.273698,0.666667,0.777778,0.394835,0.692308,0.846154,0.570677,0.615385,0.769231,0.604581,0.500000,0.605263,1.138519,0.037037,0.037037,0.281231,0.089172,0.108280,0.430801,0.472000,0.492000,0.433306,0.960648,1.662037,1.129651,0.733333,1.000000,0.548508,0.680000,0.906667,0.290135,0.826087,1.222826,19.918598,0.332000,0.376000,0.615390,0.576923,0.750000,6.399829,0.407500,0.440000,0.780181,0.270492,0.278689,0.494160,0.728000,1.160000,0.487858,
0.333333,0.333333,0.289656,0.555556,0.666667,0.443361,0.692308,0.846154,0.571034,0.692308,0.923077,0.626639,0.526316,0.631579,1.317319,0.018519,0.018519,0.898280,0.089172,0.108280,0.366752,0.420000,0.424000,0.482253,0.960648,1.662037,3.932631,0.466667,0.666667,0.613779,0.706667,1.013333,0.290664,0.853261,2.043478,1.349780,0.364000,0.396000,0.651070,0.423077,0.538462,9.148725,0.390000,0.422500,0.810607,0.311475,0.311475,0.516895,0.736000,1.168000,0.471360,
0.500000,0.833333,0.324635,0.666667,0.666667,0.398162,0.769231,1.000000,0.682283,0.769231,1.076923,0.608037,0.473684,0.526316,1.198842,0.018519,0.018519,0.322249,0.101911,0.121019,0.493448,0.420000,0.444000,0.442686,0.960648,1.662037,2.145465,0.733333,0.933333,0.531693,0.706667,0.960000,0.285693,0.853261,2.048913,0.691023,0.384000,0.408000,0.707099,0.365385,0.461538,9.614675,0.435000,0.472500,0.744952,0.311475,0.344262,0.511580,0.748000,1.236000,0.457207,
0.166667,0.166667,0.283248,0.444444,0.555556,0.405985,0.846154,1.230769,0.595948,0.538462,0.692308,0.567830,0.526316,0.605263,1.250631,0.037037,0.037037,0.380333,0.082803,0.101911,0.520919,0.400000,0.416000,0.430438,0.064815,0.064815,6.613263,0.600000,0.733333,0.566753,0.720000,0.946667,0.277018,0.858696,2.054348,2.256591,0.372000,0.404000,0.848761,0.423077,0.519231,9.727226,0.397500,0.442500,0.844670,0.295082,0.303279,0.377378,0.728000,1.224000,0.463405,
0.333333,0.333333,0.282323,0.444444,0.666667,0.428892,0.692308,0.923077,0.574847,0.461538,0.461538,0.664894,0.552632,0.631579,1.209609,0.055556,0.055556,0.321028,0.101911,0.121019,0.446712,0.468000,0.488000,0.466393,0.960648,1.662037,0.661118,0.666667,0.866667,0.535126,0.746667,1.000000,0.280130,0.853261,2.048913,1.105047,0.392000,0.424000,0.766450,0.865385,2.153846,1.089698,0.410000,0.440000,0.776088,0.278689,0.286885,0.570427,0.752000,1.156000,0.516427,
