,contact-lenses,,,pasture,,,squash-stored,,,squash-unstored,,,tae,,,newthyroid,,,balance-scale,,,SWD,,,car,,,bondrate,,,toy,,,eucalyptus,,,LEV,,,automobile,,,winequality-red,,,ESL,,,ERA
MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time
0.333333,0.333333,0.241848,0.444444,0.444444,0.206958,0.384615,0.384615,0.253485,0.230769,0.307692,0.261020,0.552632,0.605263,0.723503,0.018519,0.018519,0.246469,0.089172,0.101911,6.395683,0.456000,0.468000,12.958019,0.067130,0.067130,15.820130,0.400000,0.600000,0.262891,0.733333,0.946667,13.354878,0.375000,0.402174,7.022659,0.404000,0.448000,11.514499,0.326923,0.519231,1.323767,0.430000,0.477500,51.569231,0.286885,0.352459,2.895574,0.744000,1.196000,50.430118,
0.333333,0.666667,0.213447,0.222222,0.222222,0.255898,0.384615,0.384615,0.234998,0.307692,0.307692,0.218430,0.473684,0.526316,0.598015,0.000000,0.000000,0.283527,0.114650,0.121019,6.004181,0.392000,0.416000,14.657891,0.078704,0.078704,17.322393,0.400000,0.466667,0.274840,0.733333,0.946667,12.563333,0.358696,0.380435,9.089993,0.432000,0.464000,11.526831,0.403846,0.461538,1.453740,0.405000,0.440000,50.785389,0.295082,0.303279,2.636290,0.756000,1.228000,51.384779,
0.333333,0.333333,0.197374,0.333333,0.333333,0.214972,0.230769,0.230769,0.208973,0.230769,0.230769,0.212415,0.526316,0.578947,0.609134,0.037037,0.037037,0.255367,0.089172,0.095541,6.553635,0.452000,0.464000,13.068035,0.083333,0.083333,15.558626,0.466667,0.533333,0.273919,0.733333,0.946667,11.498674,0.336957,0.315217,7.882429,0.396000,0.428000,11.427869,0.423077,0.500000,1.923309,0.407500,0.437500,61.864856,0.295082,0.295082,3.145009,0.716000,1.152000,54.272142,
0.166667,0.333333,0.195718,0.333333,0.333333,0.209532,0.615385,0.615385,0.243286,0.153846,0.153846,0.223277,0.421053,0.552632,0.495890,0.037037,0.037037,0.244003,0.057325,0.063694,5.736932,0.416000,0.440000,12.230013,0.090278,0.092593,15.272925,0.333333,0.400000,0.258699,0.733333,0.946667,7.968691,0.320652,0.364130,7.564186,0.372000,0.396000,13.987069,0.403846,0.403846,2.117317,0.402500,0.442500,61.071408,0.311475,0.311475,2.954146,0.764000,1.300000,60.962182,
0.333333,0.500000,0.224727,0.444444,0.444444,0.217718,0.384615,0.384615,0.234669,0.230769,0.230769,0.213199,0.526316,0.605263,0.750642,0.037037,0.037037,0.272451,0.114650,0.127389,5.837982,0.436000,0.448000,13.571321,0.097222,0.097222,13.352790,0.400000,0.600000,0.233977,0.746667,0.973333,13.994511,0.369565,0.407609,7.260322,0.380000,0.420000,11.280504,0.461538,0.519231,1.962863,0.422500,0.447500,64.962501,0.278689,0.303279,2.707466,0.756000,1.172000,51.669747,
0.333333,0.333333,0.260899,0.222222,0.222222,0.233738,0.384615,0.461538,0.245704,0.230769,0.230769,0.261705,0.473684,0.605263,0.649982,0.074074,0.074074,0.286220,0.070064,0.082803,5.497855,0.444000,0.464000,11.153903,0.085648,0.085648,15.139794,0.466667,0.666667,0.266704,0.733333,0.946667,12.916178,0.358696,0.434783,9.849147,0.340000,0.380000,12.652830,0.346154,0.346154,1.712712,0.390000,0.425000,50.481254,0.213115,0.245902,3.393099,0.752000,1.180000,53.045923,
0.500000,0.500000,0.235744,0.333333,0.333333,0.228220,0.538462,0.538462,0.214955,0.461538,0.461538,0.240121,0.500000,0.605263,0.863985,0.037037,0.037037,0.283145,0.095541,0.095541,5.825955,0.372000,0.380000,11.501542,0.097222,0.101852,19.537904,0.466667,0.666667,0.276638,0.733333,0.946667,10.977841,0.385870,0.418478,7.065543,0.420000,0.452000,12.867027,0.442308,0.557692,1.515522,0.432500,0.477500,50.980576,0.245902,0.270492,3.619912,0.716000,1.204000,63.932247,
0.333333,0.500000,0.222806,0.333333,0.333333,0.217747,0.384615,0.384615,0.203637,0.615385,0.615385,0.229596,0.394737,0.447368,0.656527,0.000000,0.000000,0.240181,0.063694,0.070064,6.458251,0.424000,0.408000,11.506070,0.071759,0.069444,14.860209,0.333333,0.533333,0.255094,0.733333,0.946667,11.839551,0.342391,0.369565,7.936464,0.408000,0.440000,10.827096,0.423077,0.519231,1.633308,0.385000,0.417500,46.224273,0.311475,0.327869,3.445036,0.772000,1.152000,71.655432,
0.333333,0.333333,0.240620,0.222222,0.222222,0.217092,0.230769,0.230769,0.232079,0.307692,0.307692,0.231973,0.526316,0.605263,0.660559,0.074074,0.074074,0.238790,0.095541,0.101911,6.493359,0.476000,0.492000,12.570733,0.067130,0.067130,17.811223,0.466667,0.533333,0.273360,0.733333,0.946667,11.634728,0.326087,0.369565,7.202424,0.320000,0.360000,13.792212,0.365385,0.423077,1.559033,0.390000,0.432500,48.109911,0.229508,0.229508,2.722492,0.748000,1.236000,53.649014,
0.333333,0.500000,0.201208,0.333333,0.333333,0.195132,0.307692,0.307692,0.226757,0.384615,0.384615,0.224038,0.447368,0.552632,0.868214,0.055556,0.055556,0.309650,0.121019,0.133758,6.231610,0.404000,0.412000,10.751533,0.067130,0.067130,17.080295,0.400000,0.533333,0.282143,0.746667,0.973333,12.663647,0.342391,0.375000,7.380634,0.420000,0.464000,11.842164,0.403846,0.442308,1.523266,0.400000,0.437500,48.386399,0.319672,0.344262,3.446466,0.792000,1.256000,62.400205,
