Dataset,NNOP,GPOR,NNPOM,REDSVM,ELMOP,POM,SVOREX,SVMOP,ORBALL,SVORIM,KDLOR,SVR,CSSVC,SVORIMLin,SCV1V1,SVC1VA
contact-lenses,0.28333316666666664,0.3944442333333333,0.3555555333333333,0.3722221,0.4222221666666667,0.3833332666666666,0.35555546666666665,0.36666649999999995,0.35555546666666665,0.3833332,0.3388887666666667,0.3166664666666666,0.2611110666666666,0.36666649999999995,0.27777769999999996,0.27777776666666665
pasture,0.2370368,0.4777777333333334,0.3444443333333334,0.32592563333333335,0.3999998666666667,0.5037037333333333,0.3481478333333334,0.31851820000000003,0.2999997333333333,0.3444441333333334,0.32592566666666667,0.33703673333333334,0.3222219666666667,0.3444442666666666,0.30740713333333336,0.32962936666666665
squash-stored,0.3948716,0.5487182999999999,0.5,0.37948699999999996,0.4435895666666666,0.6179489,0.3743587666666667,0.40256383333333334,0.36410233333333336,0.37179466666666666,0.3923075666666667,0.3871792666666666,0.3948716000000001,0.3717946666666666,0.3589740333333334,0.4025639333333334
squash-unstored,0.2948715666666667,0.35641023333333344,0.3897434000000001,0.26923050000000004,0.3871793,0.6512822333333335,0.26410230000000007,0.26666643333333334,0.2974356,0.26923050000000004,0.2641023,0.2435895,0.2692305666666667,0.3153843666666667,0.22051263333333335,0.2794869666666667
tae,0.4149121333333333,0.6719300333333333,0.4526316333333334,0.3991227666666667,0.4359649666666667,0.49561403333333337,0.4105262333333332,0.4561403,0.4026315,0.40087713333333325,0.4333333,0.3956139999999999,0.4280702333333333,0.4763158,0.43947366666666665,0.4482455666666666
newthyroid,0.03518543333333333,0.03395083333333333,0.033333499999999995,0.032098966666666666,0.056790333333333325,0.02777803333333333,0.03395083333333333,0.0413582,0.04197549999999999,0.03395083333333333,0.025926166666666663,0.04444466666666667,0.03765456666666666,0.0314816,0.03456803333333333,0.04135823333333332
balance-scale,0.039278233333333336,0.03418263333333333,0.061995766666666646,0.0008492333333333333,0.0870488,0.09447986666666666,0.0021231333333333333,0.033545700000000005,0.03205949999999999,0.0021231333333333333,0.16029730000000003,0.16475583333333335,0.031210300000000003,0.09447986666666666,0.028450066666666666,0.03312106666666667
SWD,0.42279999999999995,0.4222666666666666,0.45559999999999995,0.42946666666666666,0.42613333333333336,0.43213333333333337,0.43213333333333337,0.42426666666666674,0.43906666666666666,0.4313333333333334,0.5137333333333334,0.4348,0.42933333333333334,0.43106666666666665,0.4224,0.43679999999999997
car,0.0255402,0.03711416666666666,0.10609580000000002,0.011959899999999997,0.15933640000000002,0.8425152999999999,0.0121914,0.0033179,0.0119598,0.012422899999999999,0.0469136,0.02692913333333333,0.013966099999999999,0.07970683333333332,0.005632733333333333,0.013888866666666664
bondrate,0.5333333000000001,0.42222233333333326,0.6177778000000002,0.4355555999999999,0.5666667666666666,0.6555555333333334,0.45333336666666657,0.44666666666666666,0.4577778,0.45111109999999993,0.4733334333333333,0.4577777999999999,0.43333343333333324,0.43333339999999987,0.42888899999999996,0.43111119999999997
toy,0.06177773333333335,0.04622226666666667,0.06222223333333334,0.02311116666666667,0.07111100000000001,0.7106667333333331,0.020444433333333338,0.07199996666666666,0.05155553333333334,0.020444433333333338,0.10711113333333334,0.06799996666666668,0.05377773333333335,0.7364442,0.049777700000000015,0.054666633333333325
eucalyptus,0.42318843333333334,0.31449279999999996,0.46177539999999995,0.3623189,0.4280797,0.8507248666666666,0.3643116333333333,0.34963773333333326,0.3804347666666667,0.3610507666666667,0.37173913333333336,0.3605072666666666,0.4351449,0.3559782666666667,0.36014493333333325,0.4452898666666666
LEV,0.37466666666666665,0.3877333333333334,0.38200000000000006,0.3734666666666667,0.3674666666666667,0.3766666666666667,0.3754666666666668,0.3672,0.39120000000000005,0.37960000000000005,0.4577333333333333,0.3750666666666667,0.36720000000000014,0.3906666666666668,0.36800000000000005,0.372
automobile,0.3891025,0.3891024999999999,0.5499999999999997,0.31730776666666666,0.3807692333333333,0.5333334000000001,0.31602559999999996,0.25769230000000004,0.29358980000000007,0.3230769,0.30064103333333325,0.3205128666666667,0.26538463333333334,0.40833336666666664,0.2455127,0.2602565
winequality-red,0.4021666666666667,0.3941666666666666,0.4013333333333333,0.3725,0.3973333333333333,0.40283333333333343,0.3731666666666668,0.3581666666666667,0.3344166666666667,0.3729166666666666,0.34975,0.37224999999999997,0.3616666666666666,0.4105833333333333,0.35158333333333336,0.36133333333333334
ESL,0.3079235666666667,0.2868853,0.34125676666666677,0.28715843333333335,0.3019126,0.2945355333333333,0.29016393333333335,0.28852456666666665,0.3226776000000001,0.28442633333333334,0.3554645333333334,0.29617486666666665,0.31994533333333336,0.29125686666666667,0.30737706666666664,0.32841530000000013
ERA,0.7081777333333332,0.7121333333333334,0.7273333333333334,0.7506666666666665,0.7457333333333334,0.7438666666666667,0.7135999999999999,0.7445333333333334,0.7600000000000001,0.7511999999999996,0.8053333333333333,0.7502666666666666,0.8012,0.7588,0.7355999999999999,0.8248000000000001
