Dataset,MZEMean,MZESD,MSMean,MSSD,MAEMean,MAESD,maxMAESMean,maxMAESSTD,AMAESMean,AMAESSTD,RSMean,RSSTD,TBMean,TBSTD,WKMean,WKSTD,TimeMean,TimeSD
ERA,0.743867,0.021100,0.000000,0.000000,1.218400,0.050088,2.133948,0.299291,1.384263,0.084911,0.601208,0.034095,0.470258,0.030871,0.384186,0.025207,0.474882,0.019370
ESL,0.294536,0.033620,0.120556,0.184955,0.310383,0.038006,0.999444,0.388988,0.441949,0.095470,0.911521,0.013902,0.866103,0.018919,0.795893,0.025279,0.505552,0.056077
LEV,0.376667,0.027992,0.000000,0.000000,0.409333,0.030397,1.311111,0.243288,0.627495,0.053785,0.702163,0.026511,0.647998,0.029051,0.570689,0.034379,0.809074,0.150600
SWD,0.432133,0.029571,0.000000,0.000000,0.450133,0.030440,1.120833,0.101090,0.622036,0.031102,0.573819,0.035585,0.530165,0.035363,0.434746,0.040083,0.471633,0.036802
abalone,0.538857,0.005381,0.378583,0.015169,0.690463,0.007408,0.895591,0.046366,0.690548,0.007411,0.718097,0.005507,0.620049,0.005567,0.547573,0.005107,4.144483,0.092931
abalone10,0.743217,0.005078,0.164277,0.014117,1.453525,0.014953,1.989117,0.089204,1.453867,0.014962,0.740275,0.005026,0.600560,0.005492,0.532485,0.005284,4.693320,0.074551
automobile,0.533333,0.194151,0.092659,0.158742,0.953205,0.686883,1.893727,1.679532,1.026455,0.799587,0.550389,0.314787,0.496056,0.283975,0.459065,0.262967,7.632927,3.757007
balance-scale,0.094480,0.018557,0.868269,0.037910,0.106794,0.020871,0.142771,0.034924,0.104238,0.026891,0.926759,0.016832,0.901503,0.019394,0.891854,0.021234,0.508270,0.195704
bank1-10,0.471530,0.019196,0.352764,0.037899,0.542434,0.032314,0.790479,0.082636,0.542470,0.032318,0.958517,0.003340,0.885992,0.006875,0.835972,0.009174,0.268190,0.093726
bank1-5,0.271500,0.024338,0.576183,0.058080,0.275897,0.026027,0.429990,0.059051,0.275900,0.026024,0.931340,0.008021,0.873980,0.012449,0.828636,0.016514,0.230922,0.081805
bank2-10,0.806132,0.015124,0.118091,0.015991,1.982614,0.143747,2.396167,0.261223,1.982597,0.143736,0.580860,0.052713,0.446734,0.045790,0.392319,0.042179,0.575240,0.164511
bank2-5,0.638857,0.025668,0.226486,0.043751,0.982494,0.090097,1.137204,0.132041,0.982498,0.090111,0.548876,0.059679,0.456469,0.053740,0.395010,0.049491,0.289804,0.109174
bondrate,0.655556,0.160539,0.000000,0.000000,0.946667,0.320632,2.083333,0.788750,1.103148,0.403406,0.315343,0.311777,0.289695,0.301729,0.189989,0.204464,0.536770,0.080127
calhousing-10,0.703799,0.010621,0.215129,0.016623,1.230827,0.040428,1.415056,0.073537,1.230827,0.040428,0.810471,0.010688,0.677186,0.012220,0.611878,0.012900,0.306454,0.172070
calhousing-5,0.492211,0.010142,0.417777,0.019684,0.592552,0.014933,0.675903,0.030874,0.592552,0.014933,0.783215,0.007539,0.689356,0.008355,0.617871,0.010016,0.261237,0.108349
car,0.842515,0.306339,0.078799,0.205814,1.450540,0.548209,1.792892,0.537186,0.895597,0.270823,0.123292,0.319740,0.120576,0.312726,0.116928,0.303251,2.989336,2.151689
census1-10,0.752503,0.011715,0.098165,0.029223,1.535506,0.062710,2.445865,0.178414,1.535488,0.062708,0.689146,0.028391,0.558133,0.026255,0.494215,0.024617,0.304693,0.080261
census1-5,0.558475,0.010230,0.298916,0.055068,0.734473,0.021134,0.989119,0.084447,0.734470,0.021136,0.672769,0.018017,0.580079,0.016886,0.509898,0.015774,0.388549,0.293052
census2-10,0.779798,0.008181,0.134198,0.033640,1.637936,0.044609,2.627794,0.176370,1.637899,0.044612,0.650679,0.020209,0.528094,0.017434,0.461118,0.018199,0.402282,0.216861
census2-5,0.584436,0.017190,0.343808,0.045037,0.782275,0.031198,1.033477,0.098103,0.782277,0.031201,0.637847,0.029835,0.551213,0.024876,0.478603,0.028336,0.342151,0.141679
computer1-10,0.579696,0.014130,0.252719,0.022230,0.872102,0.029649,1.300371,0.077019,0.872187,0.029654,0.894640,0.007174,0.783587,0.008480,0.733395,0.008834,0.351476,0.165818
computer1-5,0.380994,0.013801,0.469456,0.030670,0.431537,0.016547,0.614574,0.040292,0.431542,0.016543,0.864816,0.008719,0.783008,0.009708,0.728457,0.012379,0.288654,0.113358
computer2-10,0.534294,0.012194,0.297887,0.024383,0.752002,0.040287,1.113761,0.070001,0.752084,0.040294,0.916231,0.011146,0.817778,0.013673,0.771534,0.012209,0.591814,0.294279
computer2-5,0.341558,0.019476,0.509250,0.030506,0.379125,0.028190,0.552834,0.040879,0.379132,0.028190,0.886312,0.013404,0.812402,0.016067,0.763608,0.017049,0.408959,0.284302
contact-lenses,0.383333,0.170361,0.186111,0.301404,0.533333,0.252952,1.002778,0.367816,0.510185,0.286407,0.484475,0.321764,0.453126,0.306640,0.376877,0.252197,0.287855,0.021802
eucalyptus,0.850725,0.015747,0.000000,0.000000,1.938768,0.253676,3.696296,0.663860,1.889701,0.238144,0.011476,0.050619,0.010175,0.042766,0.002290,0.025576,9.031175,9.690960
housing,0.355097,0.017628,0.502439,0.052131,0.400243,0.023702,0.571313,0.061482,0.400801,0.023730,0.872720,0.013774,0.797218,0.015745,0.746341,0.015645,0.387692,0.037805
housing10,0.592233,0.032354,0.189881,0.054671,0.880340,0.052786,1.354286,0.179017,0.880869,0.052977,0.890106,0.016432,0.781678,0.018455,0.726022,0.017471,0.459674,0.034957
machine,0.394068,0.064803,0.395833,0.114309,0.425424,0.079289,0.683333,0.156721,0.421742,0.078115,0.872567,0.032678,0.794039,0.042580,0.724763,0.051484,0.326961,0.038036
machine10,0.642373,0.059456,0.058333,0.081560,0.918644,0.106715,1.625000,0.186339,0.906500,0.105545,0.895422,0.023957,0.783766,0.032584,0.707888,0.034032,0.342241,0.028227
newthyroid,0.027778,0.022153,0.876504,0.097795,0.027778,0.022153,0.123496,0.097795,0.049620,0.040159,0.953302,0.037547,0.949391,0.040202,0.943855,0.045262,0.361284,0.107990
pasture,0.503704,0.153665,0.166667,0.209908,0.585185,0.204116,0.877778,0.239465,0.585185,0.204116,0.505452,0.256900,0.463098,0.236782,0.361491,0.228379,0.412930,0.029300
pyrim,0.485417,0.118064,0.230000,0.149032,0.700000,0.197573,1.245000,0.517306,0.697000,0.215311,0.682140,0.162451,0.601089,0.142122,0.563945,0.121665,0.443537,0.137491
pyrim10,0.718750,0.076322,0.000000,0.000000,1.541667,0.293073,3.575000,1.478377,1.547500,0.284609,0.714913,0.144493,0.586786,0.114088,0.549344,0.086104,0.408185,0.164249
squash-stored,0.617949,0.151821,0.104444,0.154308,0.812821,0.247974,1.231111,0.389511,0.815185,0.250966,0.174532,0.317217,0.168858,0.304022,0.123953,0.223254,0.615890,0.037892
squash-unstored,0.651282,0.142461,0.061111,0.102491,0.825641,0.230268,1.294444,0.480827,0.790741,0.331631,0.128626,0.319469,0.108702,0.305422,0.077224,0.223178,0.596784,0.027329
stock,0.369714,0.016093,0.447143,0.050794,0.394714,0.017374,0.598571,0.065858,0.394714,0.017374,0.886477,0.008781,0.810441,0.009935,0.752585,0.009849,0.489584,0.027332
stock10,0.560571,0.019236,0.175714,0.050156,0.815429,0.031276,1.454286,0.108461,0.815429,0.031276,0.907366,0.006462,0.802962,0.009633,0.751729,0.009599,0.637714,0.028052
tae,0.495614,0.077292,0.336538,0.125668,0.628070,0.115792,0.895513,0.212085,0.628561,0.117997,0.337475,0.132310,0.306436,0.123428,0.291433,0.113633,1.294358,0.102159
toy,0.710667,0.025527,0.000000,0.000000,0.980889,0.038941,2.090145,0.228671,1.213242,0.059358,-0.009691,0.128027,-0.030314,0.110367,0.023009,0.047839,0.287017,0.019389
winequality-red,0.402833,0.015407,0.000000,0.000000,0.435083,0.017063,2.161111,0.220949,1.083301,0.039743,0.527632,0.026036,0.502498,0.023596,0.406226,0.021250,0.763534,0.044323
