Dataset,MZEMean,MZESD,MSMean,MSSD,MAEMean,MAESD,maxMAESMean,maxMAESSTD,AMAESMean,AMAESSTD,RSMean,RSSTD,TBMean,TBSTD,WKMean,WKSTD,TimeMean,TimeSD
ERA,0.749867,0.023246,0.000000,0.000000,1.221600,0.035986,2.421027,0.315564,1.455273,0.089657,0.603545,0.030131,0.476361,0.027263,0.355931,0.024697,1102.144137,254.774142
ESL,0.293443,0.032886,0.057778,0.145147,0.308470,0.034674,1.095556,0.392919,0.476518,0.102914,0.911725,0.012980,0.866171,0.017663,0.795044,0.024977,109.783137,17.131905
LEV,0.383733,0.027910,0.000000,0.000000,0.414267,0.031752,1.300794,0.243573,0.631564,0.059132,0.699687,0.028820,0.645292,0.030235,0.564035,0.037520,579.967852,114.726379
SWD,0.431467,0.030277,0.117747,0.086028,0.451067,0.029687,1.014043,0.137866,0.602298,0.040686,0.569166,0.034874,0.523381,0.036171,0.426924,0.041913,297.318796,82.121962
abalone,0.540699,0.005457,0.360607,0.037931,0.687583,0.009627,0.887953,0.044613,0.687652,0.009636,0.722867,0.006855,0.623249,0.006333,0.548784,0.005536,622.333664,184.711733
abalone10,0.748458,0.007270,0.157944,0.013447,1.436213,0.018039,1.912934,0.074576,1.436499,0.018037,0.747947,0.005685,0.607021,0.005948,0.537032,0.005767,2689.337759,354.813287
automobile,0.408333,0.068446,0.019444,0.074803,0.474359,0.089823,1.014286,0.094538,0.582138,0.097864,0.792214,0.063315,0.726992,0.070507,0.638876,0.068892,12.518370,4.266480
balance-scale,0.094480,0.018557,0.868269,0.037910,0.106794,0.020871,0.142771,0.034924,0.104238,0.026891,0.926759,0.016832,0.901503,0.019394,0.891854,0.021234,16.628238,4.870692
bank1-10,0.483419,0.022510,0.275112,0.075669,0.557480,0.034561,0.859406,0.091102,0.557505,0.034559,0.956808,0.003364,0.884131,0.007152,0.830059,0.010927,3.315664,0.454042
bank1-5,0.275068,0.020620,0.565393,0.096761,0.284396,0.027982,0.440687,0.099743,0.284397,0.027979,0.928153,0.007774,0.870460,0.012181,0.822052,0.016884,0.881967,0.269768
bank2-10,0.803585,0.017167,0.054495,0.035967,1.920944,0.171499,2.713609,0.507973,1.920804,0.171413,0.583480,0.064529,0.461605,0.043938,0.357654,0.099865,13.698038,4.174755
bank2-5,0.641826,0.023370,0.200636,0.057179,0.926340,0.074807,1.142951,0.130539,0.926336,0.074814,0.560618,0.054187,0.470381,0.049981,0.387307,0.046319,4.179675,0.648853
bondrate,0.433333,0.085321,0.000000,0.000000,0.595556,0.098934,2.550000,0.530939,1.175370,0.257009,0.253028,0.277971,0.219782,0.225374,0.137429,0.160289,0.313262,0.066468
calhousing-10,0.709583,0.011874,0.169619,0.036511,1.235225,0.035666,1.426842,0.080288,1.235225,0.035666,0.809822,0.009160,0.677280,0.010371,0.609690,0.012676,56.264587,18.719646
calhousing-5,0.502328,0.017468,0.388812,0.034444,0.595978,0.021636,0.699927,0.032693,0.595978,0.021636,0.781940,0.012059,0.688540,0.012994,0.613768,0.017970,19.671102,2.730631
car,0.076929,0.010347,0.626961,0.110929,0.077623,0.010294,0.387623,0.131900,0.186983,0.044930,0.925709,0.010918,0.900012,0.014608,0.876388,0.016023,62.211528,15.961831
census1-10,0.762623,0.016073,0.084321,0.030787,1.530890,0.057357,2.488545,0.207498,1.530869,0.057353,0.697105,0.023552,0.568756,0.022862,0.494753,0.026422,74.177221,22.218416
census1-5,0.566644,0.016258,0.251957,0.070443,0.734741,0.020462,1.020279,0.090799,0.734737,0.020463,0.676161,0.018060,0.583797,0.017805,0.508199,0.014056,18.885705,5.693025
census2-10,0.780170,0.009364,0.119868,0.039275,1.628084,0.049452,2.592626,0.182575,1.628054,0.049458,0.658312,0.021172,0.534089,0.015657,0.467543,0.020149,139.625623,46.878545
census2-5,0.585140,0.019741,0.309444,0.059874,0.776672,0.031018,1.042355,0.117539,0.776673,0.031023,0.645116,0.029794,0.557121,0.023758,0.481856,0.032433,31.761684,3.692581
computer1-10,0.588995,0.016787,0.209333,0.034193,0.880203,0.032160,1.281891,0.082970,0.880286,0.032153,0.893987,0.007048,0.783411,0.008373,0.729285,0.010762,10.048568,3.954515
computer1-5,0.385591,0.012292,0.474485,0.044243,0.436666,0.014882,0.612313,0.059767,0.436665,0.014879,0.861917,0.007452,0.780504,0.008729,0.722474,0.010766,3.956411,0.912658
computer2-10,0.535627,0.016761,0.246328,0.078450,0.747589,0.033974,1.097470,0.064808,0.747658,0.033965,0.918586,0.006127,0.821208,0.008065,0.771425,0.012616,13.436168,4.420366
