,pyrim,,,machine,,,housing,,,stock,,,abalone,,,pyrim10,,,machine10,,,housing10,,,stock10,,,abalone10,,,bank1-10,,,bank1-5,,,bank2-10,,,bank2-5,,,calhousing-10,,,calhousing-5,,,census1-10,,,census1-5,,,census2-10,,,census2-5,,,computer1-10,,,computer1-5,,,computer2-10,,,computer2-5
MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time
0.416667,0.916667,8.114767,0.559322,0.779661,25.900514,0.378641,0.461165,34.087801,0.108571,0.108571,32.940342,0.514951,0.784388,101.198020,0.708333,2.166667,9.380846,0.644068,1.423729,10.709533,0.645631,0.961165,22.902259,0.208571,0.217143,52.284146,0.729619,1.769594,824.923303,0.768484,2.126750,8.459730,0.585483,0.767993,7.906569,0.830233,2.554392,10.165602,0.653567,1.138352,8.702729,0.744949,1.626061,12.119527,0.580088,0.778526,10.432367,0.763369,1.829448,27.301872,0.558450,0.791764,11.443422,0.768642,1.803046,33.304846,0.601045,0.849982,13.099975,0.676347,1.361468,9.637551,0.448715,0.537939,9.219762,0.633941,1.090864,11.985361,0.405107,0.492872,9.892723,
0.458333,0.666667,8.717455,0.457627,0.542373,9.531803,0.407767,0.509709,34.017060,0.082857,0.082857,32.460298,0.517155,0.809569,440.213740,0.750000,1.875000,9.962486,0.694915,1.203390,25.758350,0.640777,1.121359,49.403902,0.180000,0.180000,114.084374,0.736859,1.758577,330.968401,0.774257,1.551462,8.467668,0.517195,0.752149,19.415787,0.852655,2.913392,10.395449,0.679808,1.199951,8.657683,0.747779,1.694485,12.997658,0.531235,0.762469,10.121548,0.786634,2.016896,26.368277,0.574417,0.822018,24.994084,0.780420,1.901036,17.051894,0.604454,0.854056,30.083486,0.652496,1.280400,9.848749,0.468611,0.556352,16.908171,0.618322,0.978803,12.018907,0.395438,0.453700,22.530368,
0.625000,0.958333,7.986377,0.474576,0.542373,10.370754,0.305825,0.344660,37.198267,0.097143,0.097143,32.229564,0.531634,0.767076,101.017141,0.833333,2.541667,8.521952,0.576271,1.067797,10.671811,0.635922,0.936893,22.903623,0.214286,0.222857,51.975617,0.728360,1.773686,837.014200,0.779907,1.668755,8.400504,0.599484,0.598870,8.091162,0.839966,2.528274,10.462844,0.661451,1.089688,9.103722,0.735578,1.555832,11.979947,0.513616,0.764861,22.648766,0.784422,1.805431,33.447754,0.608651,0.873944,10.979774,0.779800,1.847326,17.736736,0.584706,0.813939,25.536456,0.725037,1.241102,18.714623,0.448097,0.547454,8.541379,0.663692,1.073014,11.848954,0.413785,0.493616,10.057565,
0.583333,0.791667,8.193379,0.474576,0.694915,9.443603,0.393204,0.490291,16.237767,0.097143,0.097143,33.077605,0.525338,0.780925,194.947364,0.791667,1.458333,8.798630,0.728814,1.152542,11.574365,0.645631,1.145631,23.359244,0.182857,0.197143,51.660269,0.717658,1.747246,825.313258,0.744166,1.556620,8.531218,0.541022,0.714198,7.751103,0.840951,2.484415,10.087237,0.701737,1.149686,22.521109,0.738360,1.650122,12.080311,0.517033,0.685847,10.040139,0.793357,2.077624,13.825246,0.594232,0.868636,25.185626,0.774841,1.884609,38.844927,0.633280,0.952887,12.892342,0.680919,1.230351,9.849556,0.463297,0.593178,9.124766,0.643858,1.152597,30.466724,0.403496,0.481096,9.967647,
0.541667,0.833333,19.919927,0.491525,0.491525,9.482224,0.344660,0.432039,16.326632,0.097143,0.097143,62.462291,0.514951,0.756374,99.848001,0.750000,1.916667,8.767996,0.661017,1.288136,25.553152,0.606796,1.135922,48.385926,0.217143,0.237143,99.922596,0.723324,1.744413,816.261905,0.755465,1.645542,8.579020,0.502088,0.592975,7.561281,0.844401,2.403721,10.171621,0.691388,1.215104,8.536303,0.724597,1.772621,12.015702,0.551245,0.775988,11.090831,0.768499,1.834004,14.538778,0.568977,0.869609,11.034407,0.764435,1.997388,33.500507,0.556943,0.836477,13.422942,0.674617,1.163371,9.908910,0.465645,0.586134,9.034072,0.668898,1.102764,12.054070,0.436222,0.449981,9.912442,
0.583333,0.750000,8.998930,0.559322,0.694915,22.599620,0.398058,0.470874,17.240489,0.077143,0.077143,124.816996,0.519043,0.777148,215.359470,0.666667,1.583333,18.265816,0.661017,1.271186,10.921713,0.650485,1.223301,22.789972,0.234286,0.240000,51.444695,0.711992,1.697199,380.919943,0.724883,1.507124,9.486997,0.570007,0.759273,7.809395,0.843292,2.576691,10.049915,0.679192,1.215720,8.796102,0.744558,1.614446,12.044263,0.553880,0.800927,10.419536,0.791632,1.838781,13.719416,0.570038,0.835420,11.361359,0.799770,2.004561,17.499209,0.607333,0.910335,33.227152,0.661518,1.192783,9.731408,0.479239,0.646070,8.805278,0.674476,1.133631,25.995446,0.442916,0.577166,11.073655,
0.416667,0.625000,8.396762,0.457627,0.542373,10.034456,0.373786,0.466019,40.164824,0.100000,0.100000,75.010392,0.519358,0.773056,206.102489,0.791667,1.625000,22.313605,0.661017,1.525424,11.003530,0.616505,1.058252,53.784270,0.194286,0.208571,100.403607,0.734026,1.776519,333.937084,0.745517,1.487595,8.441428,0.592852,0.776222,7.817115,0.867069,2.500185,10.021752,0.683750,1.134902,8.584284,0.753343,1.541044,12.683884,0.550415,0.804441,10.933497,0.764828,1.789022,13.494529,0.573754,0.820337,11.028774,0.807209,1.891605,17.222774,0.567747,0.855739,13.530092,0.692289,1.212679,25.614571,0.428201,0.532748,8.755061,0.635800,1.033718,11.879064,0.459402,0.477377,10.541792,
0.583333,0.833333,18.449074,0.389831,0.474576,23.123837,0.359223,0.417476,33.097775,0.094286,0.094286,66.952839,0.542650,0.813661,223.204625,0.791667,1.458333,9.083132,0.644068,0.966102,10.932852,0.601942,1.004854,22.866690,0.208571,0.214286,109.790035,0.725527,1.744728,323.731144,0.785679,1.479489,8.387905,0.557234,0.680791,7.791218,0.853517,2.448318,10.054462,0.676481,1.160897,8.910470,0.747389,1.613519,11.991628,0.536945,0.724256,10.747700,0.775974,1.811491,13.429171,0.628865,0.939935,11.201580,0.797733,1.982333,42.394511,0.580942,0.873185,13.532490,0.707860,1.208107,10.092243,0.425729,0.529412,9.166487,0.651047,1.075989,27.166623,0.442296,0.537498,23.651633,
0.458333,0.625000,9.100996,0.440678,0.542373,9.755261,0.368932,0.456311,16.387086,0.122857,0.122857,32.027542,0.527542,0.776204,191.300263,0.750000,1.125000,8.934515,0.711864,1.016949,11.154049,0.606796,1.014563,51.385146,0.240000,0.260000,98.300811,0.723639,1.720491,336.322856,0.759641,1.680423,8.308835,0.555515,0.640629,7.683421,0.839350,2.448565,10.211341,0.664901,1.145004,8.871896,0.723865,1.502294,11.723076,0.559785,0.725281,23.270583,0.777478,1.978239,14.414698,0.563935,0.870936,23.060482,0.789895,1.931854,17.930079,0.600956,0.812876,26.789956,0.668314,1.121849,10.621544,0.435121,0.539422,20.382889,0.629230,1.149002,11.876187,0.404116,0.500310,21.286498,
0.541667,0.666667,8.184545,0.372881,0.423729,22.108505,0.383495,0.456311,38.631438,0.117143,0.117143,32.123461,0.514951,0.763928,216.708748,0.625000,1.416667,8.823505,0.542373,0.898305,27.692069,0.650485,0.985437,24.096697,0.225714,0.234286,100.455839,0.723324,1.711363,354.464415,0.787153,1.865635,8.787307,0.539425,0.734218,8.351612,0.850191,2.743255,10.353755,0.673771,1.200074,8.960388,0.742509,1.696437,12.142398,0.544802,0.759492,10.203562,0.785130,1.850989,34.403012,0.592154,0.842585,29.494838,0.794988,1.886513,17.953229,0.584307,0.820182,26.633259,0.663248,1.290534,10.635306,0.473678,0.619501,21.380235,0.655014,1.114913,12.877785,0.416016,0.497335,20.596889,
0.458333,0.583333,8.174866,0.440678,0.525424,9.594229,0.388350,0.441748,16.233748,0.097143,0.097143,32.080900,0.525968,0.782184,98.355139,0.833333,2.666667,8.868828,0.627119,1.016949,11.872314,0.587379,0.907767,23.921256,0.191429,0.205714,51.211946,0.740636,1.731193,333.580368,0.757799,1.551953,8.359784,0.527020,0.687669,20.250193,0.835407,2.457435,10.053390,0.697302,1.235062,9.372923,0.744461,1.550366,12.319616,0.528160,0.724695,10.132676,0.771993,1.815649,13.628386,0.627892,0.954576,10.977272,0.777055,1.827577,18.467688,0.594226,0.912726,13.813507,0.688581,1.292017,9.910436,0.490237,0.536826,8.620283,0.646833,1.146771,12.049742,0.428536,0.548531,10.992111,
0.583333,1.000000,18.772818,0.457627,0.559322,9.150370,0.407767,0.504854,16.008403,0.100000,0.100000,33.083688,0.519358,0.771797,427.028932,0.750000,1.750000,8.786663,0.593220,1.084746,11.798520,0.626214,1.043689,23.847096,0.217143,0.225714,51.016389,0.724583,1.740006,168.666016,0.785065,1.702284,8.557334,0.477647,0.563252,7.646247,0.848713,2.578046,11.015336,0.704447,1.399778,8.799279,0.749634,1.719180,12.067538,0.584822,0.695998,9.971168,0.785086,1.961785,13.890853,0.585696,0.848954,10.676504,0.774841,1.937256,34.928663,0.598875,0.884874,13.220285,0.677706,1.238754,10.363084,0.467252,0.596268,23.403519,0.645841,1.176770,26.599346,0.473162,0.553737,10.614107,
