,pyrim,,,machine,,,housing,,,stock,,,abalone,,,pyrim10,,,machine10,,,housing10,,,stock10,,,abalone10,,,bank1-10,,,bank1-5,,,bank2-10,,,bank2-5,,,calhousing-10,,,calhousing-5,,,census1-10,,,census1-5,,,census2-10,,,census2-5,,,computer1-10,,,computer1-5,,,computer2-10,,,computer2-5
MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time
0.541667,0.791667,22.185097,0.440678,0.457627,81.195119,0.359223,0.378641,200.793515,0.111429,0.114286,608.775092,0.548946,0.749134,1521.367881,0.625000,1.583333,17.861526,0.644068,1.254237,94.311621,0.577670,0.810680,252.197521,0.220000,0.222857,756.502095,0.751023,1.630154,1716.216928,0.570130,0.745149,16.687948,0.459961,0.522476,17.018610,0.820500,1.845263,24.863969,0.654306,0.975484,34.236697,0.702391,1.346510,74.845189,0.518106,0.658028,37.640368,0.763236,1.574108,46.163888,0.541598,0.735680,74.085561,0.780995,1.552338,59.250592,0.530287,0.709529,56.292977,0.658922,1.085146,30.418113,0.402002,0.474790,30.708206,0.651171,1.135614,36.361440,0.377092,0.463369,42.825743,
0.458333,0.458333,12.856255,0.474576,0.610169,85.519663,0.339806,0.359223,211.739611,0.117143,0.120000,621.960049,0.554297,0.775260,1594.462058,0.708333,1.083333,13.859240,0.627119,1.135593,87.715013,0.563107,0.859223,254.258437,0.265714,0.268571,757.568972,0.735600,1.666981,1824.565386,0.508352,0.659175,15.374147,0.323753,0.328666,18.682924,0.789577,1.772083,25.672700,0.645312,0.839719,38.037809,0.716008,1.354319,75.121853,0.508248,0.640361,36.758766,0.769207,1.901942,52.142813,0.547304,0.748375,99.308770,0.774752,1.758015,62.222441,0.556234,0.747299,57.553045,0.686110,1.195255,30.159549,0.488136,0.598616,29.695041,0.624892,0.942234,59.975452,0.457543,0.439321,54.418452,
0.500000,0.708333,15.168018,0.406780,0.406780,73.796841,0.344660,0.334951,196.431266,0.114286,0.097143,666.454722,0.548316,0.758892,1533.573810,0.666667,1.250000,24.352294,0.661017,1.220339,90.771962,0.567961,0.786408,247.331595,0.217143,0.237143,757.816346,0.757318,1.668870,1902.990247,0.517318,0.580570,25.523341,0.280398,0.284574,18.261471,0.819884,1.802390,23.371460,0.605026,0.834175,42.869163,0.727623,1.503953,110.177203,0.534749,0.693070,87.128132,0.758194,1.642532,53.019639,0.571719,0.763678,99.510039,0.744509,1.485432,58.971606,0.535246,0.703773,78.878333,0.630994,1.036950,39.304296,0.399778,0.432650,57.426134,0.616214,0.944961,41.719547,0.350688,0.422710,36.599787,
0.625000,0.916667,12.935859,0.423729,0.525424,77.707066,0.383495,0.422330,195.606890,0.094286,0.094286,624.962028,0.536040,0.742524,1554.780181,0.875000,1.625000,20.999246,0.745763,1.254237,85.366033,0.563107,0.878641,258.493142,0.220000,0.222857,776.651745,0.755430,1.596160,1910.424279,0.498281,0.586097,20.493552,0.289978,0.293171,17.359230,0.808920,1.857706,31.712622,0.647776,0.911297,42.402999,0.704295,1.354368,67.392426,0.498341,0.672084,37.230089,0.754036,1.746782,92.962391,0.563581,0.774559,64.869334,0.762752,1.597237,123.356786,0.548397,0.743978,77.599042,0.641003,1.129758,25.476180,0.456377,0.609985,30.786914,0.584852,0.885211,41.116789,0.370026,0.405231,35.525293,
0.583333,0.916667,23.481107,0.406780,0.525424,75.414453,0.349515,0.364078,207.112213,0.105714,0.105714,641.335401,0.553352,0.738747,1508.187265,0.750000,1.583333,14.393699,0.627119,1.169492,85.021582,0.572816,0.902913,235.213770,0.248571,0.257143,788.415569,0.730249,1.621970,1785.411582,0.671948,0.639523,16.256868,0.316261,0.324245,15.403733,0.806579,1.824812,27.535999,0.675373,1.044105,38.281979,0.708980,1.334358,71.825984,0.513177,0.648902,33.478487,0.782034,1.664824,49.040884,0.567783,0.816179,41.648767,0.747653,1.546582,62.076077,0.575894,0.729366,88.651325,0.634948,1.125185,32.808356,0.434750,0.547701,56.506240,0.620305,0.932813,39.967133,0.397298,0.503905,35.557023,
0.625000,0.708333,13.353009,0.491525,0.542373,72.053215,0.383495,0.441748,203.691110,0.117143,0.085714,617.483145,0.548631,0.776204,1533.518298,0.666667,0.916667,18.929842,0.559322,1.135593,91.304728,0.597087,0.825243,238.332323,0.257143,0.260000,749.601538,0.730563,1.578533,1772.886750,0.536846,0.618030,19.500281,0.331859,0.340334,17.185158,0.797955,2.027720,39.044726,0.660096,1.035851,43.851624,0.698341,1.306393,65.563861,0.483699,0.605710,33.614598,0.794507,1.850767,49.979718,0.568712,0.779911,48.013752,0.789497,1.677205,61.253178,0.584795,0.808626,72.026439,0.641621,1.031513,32.642935,0.410158,0.466016,38.068023,0.589810,1.017107,40.257040,0.369778,0.417627,46.565610,
0.500000,0.416667,22.198002,0.440678,0.491525,75.246191,0.359223,0.383495,193.753408,0.122857,0.108571,669.296464,0.538558,0.747246,1548.424557,0.916667,1.458333,13.321351,0.711864,1.237288,264.640556,0.631068,0.810680,260.008807,0.228571,0.245714,762.500804,0.745357,1.645892,1697.003111,0.481331,0.506387,27.485202,0.320560,0.329035,15.454777,0.826783,2.076876,30.314523,0.648515,1.021929,37.833278,0.738019,1.558468,39.364726,0.542069,0.612933,61.999852,0.785616,1.717325,42.747140,0.559644,0.760007,47.927196,0.747476,1.579658,63.214848,0.549416,0.748583,90.826595,0.662506,1.358749,33.289807,0.402867,0.424617,36.685218,0.596628,0.872195,55.187341,0.409570,0.432255,47.354342,
0.583333,0.750000,10.721394,0.372881,0.474576,71.091435,0.330097,0.339806,207.442611,0.102857,0.108571,671.337529,0.536670,0.762040,1524.151873,0.916667,1.208333,15.504841,0.677966,1.355932,91.425182,0.601942,0.766990,275.175859,0.222857,0.234286,748.238335,0.754800,1.668240,1767.309475,0.531933,0.641734,15.858790,0.307541,0.316016,15.504922,0.791672,1.783787,24.137303,0.663669,0.861402,43.699718,0.706052,1.387116,39.406761,0.498292,0.745778,81.121753,0.777522,1.753151,73.512303,0.553364,0.764342,48.310565,0.773866,1.738930,62.501237,0.555703,0.758457,73.532423,0.649778,1.100717,33.192527,0.450568,0.524469,37.221332,0.578406,0.806991,35.608544,0.368167,0.413785,48.601551,
0.500000,0.625000,12.671375,0.457627,0.508475,78.728664,0.344660,0.334951,193.879001,0.137143,0.102857,610.046184,0.555870,0.765187,1557.558119,0.708333,0.958333,19.335448,0.542373,0.949153,87.536114,0.563107,0.854369,248.553763,0.237143,0.254286,749.698627,0.751967,1.704753,1782.774661,0.523704,0.511668,15.933836,0.387988,0.347458,11.527942,0.789208,1.765184,38.365048,0.641740,0.895528,37.048586,0.700195,1.495559,38.718347,0.508980,0.646999,77.427193,0.776461,1.782564,52.544281,0.570481,0.808926,48.899331,0.782589,1.752258,60.296717,0.533165,0.710193,85.303519,0.608749,0.917820,24.062056,0.469723,0.566980,23.886674,0.597248,1.030247,43.679272,0.370026,0.439817,44.407344,
0.416667,0.500000,15.469894,0.372881,0.406780,74.752805,0.402913,0.456311,202.950234,0.122857,0.122857,601.666184,0.557444,0.738118,1510.362759,0.625000,1.166667,18.217416,0.627119,1.067797,90.864492,0.558252,0.713592,239.103078,0.248571,0.248571,771.656734,0.745042,1.635505,1816.060005,0.500860,0.605134,17.802554,0.302137,0.324245,13.567071,0.816065,1.948257,30.815706,0.635580,0.862511,22.318462,0.725476,1.416740,39.606536,0.492338,0.621474,60.188182,0.756999,1.646778,50.552603,0.560352,0.806670,47.442681,0.758723,1.613000,61.550288,0.553843,0.763505,91.961069,0.676223,1.200692,31.773274,0.394217,0.532130,31.258484,0.599727,1.077228,98.928556,0.377092,0.408454,42.354930,
