,pyrim,,,machine,,,housing,,,stock,,,abalone,,,pyrim10,,,machine10,,,housing10,,,stock10,,,abalone10,,,bank1-10,,,bank1-5,,,bank2-10,,,bank2-5,,,calhousing-10,,,calhousing-5,,,census1-10,,,census1-5,,,census2-10,,,census2-5,,,computer1-10,,,computer1-5,,,computer2-10,,,computer2-5
MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time
0.500000,0.541667,116.863000,0.440678,0.525424,145.306000,0.330097,0.359223,1002.014000,0.120000,0.120000,1884.485000,0.501731,0.657224,3413.956000,0.791667,1.166667,0.116863,0.627119,1.135593,0.145306,0.616505,0.800971,1.002014,0.228571,0.234286,1.884485,0.709474,1.330815,3.413956,0.879145,2.630680,103.083000,0.734340,1.111275,99.597000,0.896390,2.866700,1490.583000,0.778982,1.310829,500.648000,0.728648,1.235041,442.172000,0.499854,0.640703,398.602000,0.762219,1.700341,506.574000,0.562298,0.777920,536.584000,0.778914,1.869022,1221.581000,0.580499,0.834662,1024.641000,0.621231,1.065744,228.718000,0.428695,0.482081,162.698000,0.621049,0.945581,447.123000,0.409446,0.475146,448.955000,
0.583333,0.791667,130.349000,0.457627,0.457627,160.144000,0.402913,0.475728,1035.623000,0.122857,0.145714,1154.959000,0.540762,0.673277,3748.279000,0.916667,1.875000,0.130349,0.677966,1.203390,0.160144,0.597087,0.888350,1.035623,0.242857,0.297143,1.154959,0.747561,1.406358,3.748279,0.850651,1.098379,154.248000,0.738271,1.054041,108.638000,0.888136,2.748429,1622.693000,0.785265,1.326106,528.089000,0.706637,1.412982,588.063000,0.528062,0.692582,505.257000,0.766288,1.634924,505.393000,0.568756,0.823124,763.580000,0.794855,1.862292,1220.528000,0.604764,0.900018,1843.310000,0.626668,0.999011,230.244000,0.428201,0.495798,137.902000,0.615099,0.883724,427.236000,0.425313,0.470311,475.057000,
0.750000,1.416667,124.523000,0.355932,0.474576,175.352000,0.315534,0.349515,996.984000,0.120000,0.122857,971.838000,0.521561,0.663519,3855.875000,0.833333,2.208333,0.124523,0.610169,0.932203,0.175352,0.558252,0.766990,0.996984,0.280000,0.257143,0.971838,0.719547,1.380233,3.855875,0.865389,2.097765,124.385000,0.717023,1.144436,106.303000,0.892202,3.003696,1004.086000,0.770359,1.378834,523.573000,0.724939,1.349439,575.814000,0.526745,0.644998,510.099000,0.779778,1.671768,795.649000,0.559202,0.819099,529.357000,0.786486,1.799017,2655.108000,0.608351,0.902896,1796.664000,0.654844,1.109862,232.660000,0.439694,0.547207,171.228000,0.569729,0.910871,436.987000,0.389612,0.439197,455.414000,
0.500000,0.708333,131.606000,0.440678,0.525424,173.620000,0.354369,0.456311,980.360000,0.108571,0.114286,1884.118000,0.516525,0.672018,3772.771000,0.833333,1.708333,0.131606,0.627119,0.915254,0.173620,0.572816,0.893204,0.980360,0.208571,0.291429,1.884118,0.727101,1.370475,3.772771,0.842545,2.635225,127.030000,0.696021,1.097273,123.605000,0.893434,3.021190,1570.111000,0.768264,1.382900,513.906000,0.746950,1.328697,653.729000,0.492045,0.607516,732.827000,0.766332,1.635101,787.303000,0.592640,0.828210,541.084000,0.789630,1.697839,2585.941000,0.626594,0.882040,1347.230000,0.629634,1.184256,256.083000,0.409417,0.532378,175.293000,0.623280,1.003595,462.670000,0.418247,0.437709,488.301000,
0.666667,0.833333,133.849000,0.322034,0.457627,172.904000,0.364078,0.378641,994.669000,0.137143,0.137143,1147.620000,0.523450,0.668555,3861.307000,0.791667,1.916667,0.133849,0.644068,1.050847,0.172904,0.548544,1.029126,0.994669,0.297143,0.322857,1.147620,0.725527,1.386213,3.861307,0.792803,1.588676,100.614000,0.709040,1.162982,88.378000,0.890846,2.849698,861.920000,0.755328,1.378342,764.527000,0.726989,1.329868,639.238000,0.530942,0.689898,433.013000,0.771595,1.666549,654.062000,0.589367,0.828166,550.623000,0.774398,1.674460,1212.542000,0.579260,0.909538,1818.763000,0.645452,1.105289,255.846000,0.416461,0.508774,202.867000,0.573571,0.855708,444.755000,0.389240,0.488658,470.737000,
0.750000,1.041667,151.761000,0.491525,0.542373,181.982000,0.344660,0.427185,975.875000,0.082857,0.085714,1922.591000,0.525338,0.680831,3344.369000,0.666667,1.541667,0.151761,0.644068,0.796610,0.181982,0.606796,0.990291,0.975875,0.240000,0.242857,1.922591,0.724898,1.410450,3.344369,0.887128,2.904937,116.091000,0.709654,1.171334,118.513000,0.895282,2.957127,1672.863000,0.807688,1.501294,759.867000,0.730015,1.405027,1159.349000,0.511323,0.618350,405.251000,0.793224,1.724800,864.590000,0.580167,0.825070,1226.037000,0.785910,1.805305,1692.275000,0.590064,0.847060,1820.396000,0.615917,0.950198,257.896000,0.414854,0.467746,211.457000,0.625263,0.927482,448.520000,0.390728,0.447006,457.916000,
0.375000,0.500000,138.601000,0.474576,0.491525,139.506000,0.378641,0.432039,944.564000,0.137143,0.137143,2000.130000,0.515266,0.649355,3378.409000,0.791667,1.333333,0.138601,0.728814,1.288136,0.139506,0.529126,0.786408,0.944564,0.234286,0.248571,2.000130,0.720806,1.345609,3.378409,0.694547,1.117170,127.734000,0.703267,1.260010,114.282000,0.900086,2.933473,1580.005000,0.805470,1.385364,1172.912000,0.738946,1.420839,1150.421000,0.504880,0.640117,514.703000,0.761069,1.637534,647.289000,0.628997,0.858773,1227.737000,0.779534,1.648867,1871.408000,0.604189,0.830145,1343.971000,0.641621,1.078349,213.910000,0.402743,0.460825,157.317000,0.590554,0.864882,464.767000,0.401140,0.446634,467.413000,
0.708333,0.875000,181.020000,0.372881,0.406780,195.324000,0.325243,0.383495,961.218000,0.100000,0.105714,2002.947000,0.507082,0.656594,3366.049000,0.958333,1.708333,0.181020,0.525424,0.711864,0.195324,0.660194,0.985437,0.961218,0.248571,0.262857,2.002947,0.717029,1.373308,3.366049,0.881110,2.688283,120.708000,0.774011,1.270572,111.080000,0.889861,2.894296,1573.217000,0.769250,1.368116,1186.015000,0.706930,1.275842,631.620000,0.520400,0.643094,418.351000,0.800655,1.775620,793.788000,0.581627,0.752576,1231.470000,0.787062,1.767092,2004.292000,0.597990,0.866543,1346.668000,0.620489,1.061295,318.632000,0.468364,0.540410,204.836000,0.600595,0.967150,470.781000,0.417255,0.432255,451.342000,
0.791667,1.291667,147.452000,0.355932,0.474576,169.365000,0.368932,0.407767,618.212000,0.120000,0.128571,1185.481000,0.528486,0.673591,3778.874000,0.750000,1.416667,0.147452,0.644068,0.762712,0.169365,0.563107,0.834951,0.618212,0.245714,0.280000,1.185481,0.714825,1.358514,3.778874,0.852248,2.413658,119.298000,0.442275,0.482314,108.945000,0.896390,2.907601,1741.642000,0.775902,1.370827,1272.057000,0.715471,1.305076,801.066000,0.509907,0.659102,418.967000,0.800035,1.681808,576.504000,0.632801,0.880004,1232.521000,0.784449,1.685530,2608.178000,0.612469,0.904357,1826.114000,0.630870,1.030524,262.040000,0.441671,0.515200,201.334000,0.588571,0.905045,449.654000,0.392587,0.446015,436.465000,
0.625000,0.916667,129.605000,0.372881,0.406780,170.885000,0.368932,0.398058,620.146000,0.137143,0.134286,1029.799000,0.525024,0.659112,3759.090000,0.708333,1.333333,0.129605,0.644068,0.949152,0.170885,0.577670,0.825243,0.620146,0.334286,0.337143,1.029799,0.723953,1.378344,3.759090,0.842176,1.203881,101.518000,0.726848,1.156841,113.452000,0.885918,2.971418,1684.985000,0.778243,1.516570,1173.114000,0.724744,1.293265,369.331000,0.511518,0.623865,757.699000,0.764961,1.807599,501.956000,0.622274,0.858242,1241.949000,0.788833,1.723875,1190.351000,0.581164,0.837805,1011.332000,0.625927,0.952051,321.285000,0.425235,0.488878,160.095000,0.623280,0.932441,561.639000,0.384158,0.435354,450.030000,
