,pyrim,,,machine,,,housing,,,stock,,,abalone,,,pyrim10,,,machine10,,,housing10,,,stock10,,,abalone10,,,bank1-10,,,bank1-5,,,bank2-10,,,bank2-5,,,calhousing-10,,,calhousing-5,,,census1-10,,,census1-5,,,census2-10,,,census2-5,,,computer1-10,,,computer1-5,,,computer2-10,,,computer2-5
MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time
0.625000,0.791667,7.462636,0.372881,0.372881,19.082816,0.315534,0.344660,43.585090,0.091429,0.091429,85.682804,0.527856,0.657224,150.311136,0.583333,1.375000,7.596349,0.593220,0.949153,19.369902,0.509709,0.713592,43.762946,0.260000,0.268571,85.858717,0.726472,1.357255,151.001506,0.602186,0.751535,22.104748,0.379759,0.391796,10.276401,0.828262,1.820993,10.907495,0.657016,0.870765,16.721390,0.714788,1.259736,71.266548,0.518155,0.628306,28.537241,0.771109,1.520412,72.371941,0.591888,0.766509,36.159489,0.778206,1.505402,40.002135,0.583068,0.737690,43.687844,0.652743,1.042017,19.082113,0.433144,0.485541,11.192047,0.637412,1.007686,25.602134,0.378579,0.407339,14.491863,
0.500000,0.666667,7.585868,0.406780,0.457627,19.232969,0.354369,0.388350,43.172403,0.080000,0.080000,85.964238,0.525024,0.671073,150.214330,0.791667,1.625000,7.580357,0.661017,0.983051,19.381590,0.563107,0.834951,43.534483,0.220000,0.220000,86.730804,0.735914,1.406988,151.536174,0.548882,0.647752,22.044618,0.323508,0.326578,6.568354,0.817420,1.712702,10.837734,0.666872,0.865837,14.791530,0.702294,1.312494,20.660093,0.521864,0.657394,29.484110,0.765270,1.652970,23.853613,0.562962,0.769384,36.076027,0.763328,1.476134,39.955265,0.562522,0.712318,50.156843,0.666214,1.089842,15.328975,0.488260,0.565991,19.210648,0.632329,0.893517,22.335297,0.463121,0.502417,14.663553,
0.583333,0.791667,7.553549,0.423729,0.440678,19.436807,0.276699,0.291262,43.380467,0.097143,0.097143,85.145540,0.529430,0.691218,149.022787,0.916667,1.875000,7.584644,0.644068,0.949153,19.530726,0.582524,0.762136,43.733111,0.228571,0.231429,86.567267,0.731508,1.411394,150.428582,0.582044,0.705601,22.785007,0.336895,0.342299,6.542742,0.818652,1.747444,10.814469,0.645189,0.823950,14.868005,0.718985,1.329478,20.765105,0.517081,0.638067,35.412609,0.777478,1.661241,23.900333,0.606440,0.817551,35.754069,0.773999,1.515631,39.744932,0.580499,0.722237,43.814117,0.647306,1.002595,11.191525,0.497034,0.563643,15.583330,0.607785,0.860667,14.535719,0.427296,0.465849,25.631478,
0.625000,0.833333,7.530693,0.440678,0.474576,19.505276,0.320388,0.354369,45.138946,0.088571,0.088571,84.946458,0.526597,0.677369,150.721306,0.750000,1.583333,7.625805,0.644068,1.101695,19.959001,0.553398,0.781553,44.035067,0.240000,0.242857,86.014239,0.729304,1.378344,157.295181,0.528617,0.621715,18.318259,0.356792,0.360477,11.211200,0.833066,1.857460,35.012695,0.674880,0.890477,16.804845,0.720449,1.342850,64.736057,0.509663,0.640800,29.530589,0.779601,1.681233,23.934928,0.595692,0.824362,33.919868,0.779977,1.520103,40.169872,0.588381,0.744377,47.758094,0.674617,1.067103,15.659629,0.430672,0.476644,16.128863,0.650304,0.951035,22.403294,0.421842,0.470311,22.285259,
0.583333,0.791667,7.549179,0.322034,0.355932,19.367687,0.339806,0.378641,43.867397,0.114286,0.114286,85.400849,0.534152,0.674850,149.177731,0.958333,1.875000,7.583363,0.644068,1.016949,19.758844,0.577670,0.883495,44.313182,0.240000,0.257143,86.547441,0.738118,1.406988,152.625795,0.599853,0.739622,22.766744,0.328666,0.330508,8.999205,0.827276,1.734015,31.131249,0.687200,0.956757,16.795353,0.723231,1.283163,65.078264,0.516398,0.640312,31.291654,0.762794,1.608032,23.923213,0.565925,0.734088,41.546995,0.767844,1.478392,45.245315,0.568278,0.720156,43.566138,0.635319,0.940682,17.494646,0.486777,0.560306,17.300240,0.630098,0.885707,14.542917,0.392835,0.427916,22.505845,
0.708333,0.875000,7.523450,0.508475,0.542373,19.352930,0.339806,0.383495,43.095405,0.100000,0.100000,85.502640,0.526912,0.664463,149.289498,0.583333,1.000000,7.607847,0.525424,0.813559,19.603769,0.567961,0.844660,43.469418,0.291429,0.294286,85.502706,0.732137,1.403840,150.470278,0.537092,0.643699,12.714100,0.358880,0.365389,11.543038,0.823827,1.809289,37.803571,0.685845,0.936676,14.897603,0.716837,1.315325,20.793151,0.523865,0.650854,21.564924,0.776063,1.555000,23.922770,0.587775,0.780928,98.573963,0.779933,1.566861,44.336823,0.593606,0.740746,43.860470,0.651508,0.986653,17.246318,0.422392,0.458972,11.256736,0.664683,1.017603,14.552124,0.462749,0.517045,20.060558,
0.625000,0.666667,7.535847,0.389831,0.423729,19.955318,0.315534,0.349515,43.415645,0.114286,0.114286,85.021746,0.518728,0.663519,153.616895,0.833333,1.416667,7.565276,0.644068,0.983051,19.760269,0.577670,0.747573,43.559827,0.217143,0.220000,86.414646,0.724268,1.383695,150.597058,0.525055,0.614837,21.219806,0.335298,0.339966,10.169046,0.847481,1.998768,10.839060,0.664654,0.888752,16.779809,0.718497,1.293997,64.692704,0.519766,0.643680,21.394763,0.780309,1.663010,39.132760,0.603123,0.803441,33.650672,0.770058,1.500089,29.651519,0.583555,0.742694,43.981107,0.678819,1.119377,11.139064,0.462926,0.541893,17.258017,0.628486,0.877526,22.366398,0.456179,0.497087,20.017223,
0.416667,0.541667,7.539703,0.406780,0.406780,19.670460,0.325243,0.344660,43.272600,0.102857,0.102857,85.259643,0.514007,0.654076,150.108711,0.750000,1.541667,7.619653,0.559322,0.745763,19.907447,0.572816,0.737864,43.785532,0.260000,0.265714,85.967846,0.732452,1.436261,151.396151,0.564112,0.672194,10.849195,0.342545,0.359003,8.911355,0.809412,1.701368,35.814455,0.673155,0.870395,10.959884,0.702343,1.242948,20.722840,0.526647,0.642118,28.673868,0.779734,1.568800,23.889660,0.615242,0.847008,24.979654,0.772804,1.497830,29.500882,0.586123,0.738974,42.177017,0.633959,0.987271,15.049388,0.482823,0.554745,15.300626,0.683402,1.206520,25.437038,0.408206,0.446387,19.760667,
0.500000,0.666667,7.551560,0.389831,0.423729,19.855229,0.305825,0.334951,43.713498,0.111429,0.111429,85.154887,0.533522,0.684608,149.715614,0.708333,1.166667,7.507161,0.610169,0.949153,19.558820,0.509709,0.737864,43.855502,0.260000,0.268571,86.336314,0.731508,1.406043,153.124251,0.531319,0.610292,18.639801,0.344141,0.353353,8.880445,0.808550,1.732537,32.773532,0.664408,0.904521,15.024710,0.696047,1.240020,60.488001,0.497169,0.616203,31.273513,0.765978,1.622761,38.405674,0.602901,0.783361,24.837502,0.763549,1.492207,101.014005,0.585104,0.736185,43.790622,0.645452,0.954029,11.195034,0.445378,0.505932,15.618435,0.665799,1.053675,22.312785,0.508615,0.630470,14.571673,
0.583333,0.708333,7.487502,0.271186,0.288136,19.369728,0.364078,0.422330,43.661096,0.108571,0.108571,85.158049,0.534152,0.682405,150.186896,0.750000,1.375000,7.631902,0.610169,0.898305,19.603790,0.514563,0.674757,43.694452,0.242857,0.248571,87.113341,0.724268,1.381807,151.045555,0.572341,0.696389,20.233938,0.331000,0.347089,6.539351,0.841813,1.881730,10.851056,0.640631,0.808920,10.949531,0.724890,1.348072,20.751460,0.488482,0.596096,21.339832,0.779070,1.655358,24.069692,0.584988,0.785130,24.722821,0.773601,1.535645,29.765047,0.562301,0.711433,41.880550,0.665843,1.105536,11.152897,0.421775,0.473801,18.875209,0.656130,0.962687,22.483549,0.416884,0.461014,25.103969,
