,pyrim,,,machine,,,housing,,,stock,,,abalone,,,pyrim10,,,machine10,,,housing10,,,stock10,,,abalone10,,,bank1-10,,,bank1-5,,,bank2-10,,,bank2-5,,,calhousing-10,,,calhousing-5,,,census1-10,,,census1-5,,,census2-10,,,census2-5,,,computer1-10,,,computer1-5,,,computer2-10,,,computer2-5
MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time
0.458333,0.750000,11.048895,0.423729,0.542373,14.851112,0.291262,0.300971,38.987993,0.100000,0.111429,58.254922,0.529116,0.643689,2733.007158,0.583333,1.500000,13.100026,0.661017,1.067797,31.393903,0.519417,0.679612,101.412016,0.211429,0.214286,192.333222,0.719861,1.337110,4234.204877,0.496193,0.561901,8.859219,0.379145,0.320314,9.967157,0.803992,2.063570,11.453924,0.627695,0.980288,12.063471,0.702391,1.267838,25.063626,0.484627,0.573597,15.074515,0.762749,1.497988,61.488535,0.562210,0.707373,17.453048,0.776523,1.449256,47.983401,0.544589,0.724805,51.287765,0.590213,0.887173,16.897678,0.367771,0.420910,11.671618,0.572828,0.766828,15.944826,0.332961,0.368415,13.991621,
0.416667,0.625000,10.945787,0.474576,0.508475,15.088648,0.315534,0.373786,31.541884,0.085714,0.085714,59.075839,0.534781,0.669185,2307.751016,0.791667,1.250000,13.179758,0.694915,0.983051,31.307207,0.533981,0.888350,82.521134,0.257143,0.257143,190.287446,0.734341,1.384010,4509.071862,0.447310,0.507001,11.565081,0.344019,0.349546,9.760207,0.808057,1.726254,16.317661,0.637920,0.866453,13.838389,0.708443,1.291654,33.559803,0.503563,0.601659,18.013618,0.759344,1.606617,35.722621,0.547083,0.696625,33.888244,0.750797,1.510273,63.251025,0.540781,0.693013,57.242649,0.619995,0.934998,20.108069,0.514335,0.614187,12.927408,0.535639,0.769307,16.118029,0.347961,0.378827,14.753262,
0.541667,0.875000,10.759294,0.406780,0.491525,14.998927,0.266990,0.281553,47.798172,0.100000,0.100000,58.095350,0.534466,0.661001,2482.671548,0.791667,1.250000,12.791132,0.677966,0.949153,34.532114,0.500000,0.660194,92.910024,0.211429,0.217143,211.754106,0.726786,1.360718,4126.570049,0.471629,0.522108,10.940501,0.297347,0.304716,9.965239,0.792288,1.825182,12.951884,0.602932,0.828631,11.259108,0.720400,1.213519,34.630507,0.488092,0.582430,18.177938,0.751382,1.496528,34.667042,0.539122,0.718696,18.473460,0.744288,1.439825,38.930963,0.547334,0.678489,53.055764,0.571058,0.872219,18.183516,0.379387,0.428201,12.352046,0.551134,0.745011,25.832067,0.373869,0.411057,13.523671,
0.500000,0.666667,10.747073,0.406780,0.644068,15.644808,0.330097,0.378641,34.480997,0.085714,0.085714,58.455631,0.511174,0.658483,2728.800669,0.750000,1.291667,13.044993,0.627119,0.864407,31.476228,0.538835,0.694175,86.097890,0.208571,0.211429,191.369917,0.732767,1.372993,4373.931866,0.506755,0.597151,8.771859,0.273520,0.274748,10.097059,0.820131,1.825798,15.907462,0.615498,0.880005,12.477699,0.715276,1.262665,39.606663,0.477550,0.599122,17.056619,0.740767,1.519660,47.892446,0.543633,0.729002,23.171603,0.752170,1.454835,41.089491,0.559688,0.698193,44.919888,0.590830,0.889397,12.872268,0.375185,0.425606,11.620193,0.571960,0.778728,20.960600,0.332218,0.358498,13.195224,
0.625000,0.666667,11.185847,0.406780,0.457627,16.260908,0.339806,0.364078,35.226066,0.091429,0.114286,59.906251,0.530060,0.655650,2321.145650,0.750000,1.375000,13.310153,0.627119,1.135593,35.380803,0.572816,0.922330,83.078522,0.248571,0.245714,189.419246,0.742839,1.352219,4249.486419,0.478015,0.599239,8.679346,0.287399,0.291206,9.859107,0.822718,1.772699,16.847981,0.673648,1.097080,12.090611,0.717081,1.208638,46.409818,0.490874,0.589849,17.115914,0.731081,1.430094,47.407801,0.588748,0.736698,17.221155,0.773512,1.443943,62.551330,0.553091,0.722724,47.992662,0.611962,0.907439,12.705955,0.366782,0.408799,12.800008,0.547787,0.766332,23.572378,0.391719,0.377712,12.069271,
0.666667,0.791667,10.944491,0.491525,0.576271,14.736553,0.310680,0.359223,32.272174,0.131429,0.100000,58.669885,0.513063,0.659742,2606.448039,0.708333,1.000000,13.259846,0.661017,0.796610,33.828961,0.582524,0.800971,89.831258,0.240000,0.242857,189.501960,0.719547,1.376771,4309.430017,0.511054,0.589904,11.797537,0.294031,0.298207,10.286039,0.808180,1.884810,11.013344,0.678329,0.934828,15.204043,0.683797,1.247145,36.742302,0.471596,0.586628,17.504236,0.759255,1.467646,40.428757,0.548675,0.719138,23.804113,0.795740,1.519306,48.548592,0.572485,0.787593,70.712562,0.615670,0.854177,12.227243,0.425976,0.454029,11.585699,0.545680,0.712533,16.035335,0.329119,0.362216,13.263708,
0.500000,0.666667,11.075866,0.423729,0.457627,16.212891,0.325243,0.330097,32.687873,0.105714,0.105714,58.857231,0.520932,0.653761,3057.432676,0.916667,1.250000,13.501020,0.610169,0.898305,34.037257,0.548544,0.771845,85.288979,0.211429,0.234286,194.206027,0.719861,1.354737,3979.338298,0.467453,0.513879,9.200172,0.250430,0.251904,10.328998,0.849821,2.010102,17.195695,0.654306,0.933966,13.065164,0.705271,1.232748,24.787579,0.485652,0.573646,18.161784,0.740634,1.407139,50.583672,0.573887,0.727321,26.555791,0.752125,1.471396,60.774618,0.541445,0.721396,36.231517,0.632600,0.911888,17.675546,0.365299,0.426594,11.270716,0.541961,0.714764,26.193790,0.363456,0.385149,14.383374,
0.416667,0.666667,10.622835,0.406780,0.389831,16.592365,0.334951,0.378641,28.569419,0.111429,0.097143,58.846725,0.514951,0.650299,2701.724189,0.625000,1.208333,13.528846,0.559322,0.932203,36.106285,0.577670,0.742718,91.358442,0.211429,0.214286,191.432367,0.728360,1.387158,4399.189680,0.506632,0.582289,11.673885,0.276591,0.279415,9.736917,0.804854,1.744364,12.064128,0.662560,0.879635,13.669027,0.691801,1.218985,26.516364,0.486091,0.617326,18.317032,0.768588,1.476846,56.531735,0.559821,0.730904,20.117501,0.743181,1.511291,52.898795,0.551010,0.782944,36.305231,0.655091,0.921033,18.679729,0.430796,0.469476,12.214211,0.527334,0.697409,16.848903,0.323168,0.358622,13.479556,
0.500000,0.666667,11.262539,0.406780,0.423729,17.657231,0.310680,0.339806,36.661634,0.114286,0.114286,58.600544,0.522820,0.654076,3048.175665,0.500000,0.958333,13.876856,0.576271,0.864407,34.320848,0.592233,0.762136,85.584136,0.251429,0.242857,188.048420,0.740006,1.351590,4155.709771,0.489806,0.531196,8.320850,0.250798,0.254606,10.622453,0.798324,1.738697,11.653197,0.624492,0.923740,11.479305,0.688043,1.194876,33.447670,0.489214,0.595022,15.832022,0.787253,1.538370,45.117621,0.568004,0.760361,17.790525,0.739816,1.580854,65.932222,0.533874,0.698016,44.119592,0.654721,0.966263,17.469134,0.393104,0.436233,11.177437,0.554977,0.749473,21.088155,0.329614,0.363456,12.321174,
0.375000,0.541667,10.726463,0.406780,0.389831,16.388168,0.354369,0.383495,33.392323,0.148571,0.134286,58.151513,0.525024,0.648725,2784.391174,0.666667,1.250000,13.265193,0.627119,0.847458,33.174177,0.533981,0.737864,86.925604,0.260000,0.268571,190.355548,0.722065,1.342147,4189.730392,0.505773,0.575780,8.325228,0.245640,0.251044,10.560301,0.831465,1.962671,16.673294,0.616484,0.805470,12.665692,0.710932,1.246706,37.303887,0.502635,0.601415,14.873291,0.745809,1.432571,33.353347,0.545712,0.708965,19.570889,0.805570,1.639701,66.478826,0.550390,0.730606,53.988242,0.593920,0.954770,13.658209,0.382971,0.426841,13.075871,0.529813,0.749721,21.193077,0.324656,0.357878,13.945822,
