,pyrim,,,machine,,,housing,,,stock,,,abalone,,,pyrim10,,,machine10,,,housing10,,,stock10,,,abalone10,,,bank1-10,,,bank1-5,,,bank2-10,,,bank2-5,,,calhousing-10,,,calhousing-5,,,census1-10,,,census1-5,,,census2-10,,,census2-5,,,computer1-10,,,computer1-5,,,computer2-10,,,computer2-5
MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time
0.416667,0.583333,13.396181,0.508475,0.542373,19.620868,0.315534,0.359223,51.074760,0.108571,0.108571,131.220982,0.511489,0.681775,422.689538,0.750000,1.125000,16.617642,0.661017,1.135593,30.293644,0.616505,0.839806,97.503740,0.214286,0.208571,276.411525,0.723953,1.400378,895.216327,0.776836,1.109187,15.824380,0.484770,0.542250,22.978604,0.852039,2.166318,15.466253,0.703708,1.104965,10.815000,0.733138,1.357443,36.298745,0.530503,0.670229,15.069609,0.759874,1.533327,44.000021,0.550975,0.698748,16.564544,0.757129,1.591038,36.763052,0.549327,0.754251,21.017053,0.607266,1.059194,15.244482,0.390386,0.476273,11.073984,0.596876,0.877278,21.313701,0.343622,0.400025,14.474097,
0.541667,0.625000,13.854670,0.525424,0.610169,20.579081,0.412621,0.461165,50.142262,0.105714,0.105714,134.393781,0.516840,0.697199,418.261914,0.666667,1.458333,16.806185,0.711864,1.033898,30.861759,0.577670,0.912621,101.106496,0.202857,0.208571,280.209499,0.708215,1.461442,867.785407,0.675755,0.907271,15.527029,0.463400,0.511545,23.101950,0.877911,1.945177,15.467733,0.695208,1.034865,11.771512,0.752416,1.324207,22.250499,0.502147,0.611420,14.884070,0.758636,1.699191,45.237636,0.561281,0.788845,16.276452,0.784715,1.624380,60.158491,0.549283,0.752745,78.283636,0.626915,1.019525,22.733881,0.405709,0.493574,11.115411,0.563406,0.838602,20.600703,0.364696,0.402380,21.370873,
0.625000,0.666667,13.750080,0.474576,0.508475,20.523013,0.296117,0.296117,49.354857,0.102857,0.102857,132.891023,0.505508,0.655650,418.200183,0.666667,1.333333,16.529963,0.610169,1.101695,32.286264,0.601942,0.820388,95.942971,0.202857,0.214286,275.008197,0.719547,1.460812,899.240037,0.700565,0.956153,15.305946,0.427659,0.466470,8.867027,0.860293,2.163730,15.296097,0.645559,0.990883,11.574955,0.747926,1.294046,21.477192,0.482138,0.612152,48.566261,0.773099,1.616569,44.990302,0.567915,0.763147,16.502066,0.775770,1.605384,60.391505,0.608750,0.752524,36.572076,0.648665,1.159911,14.636672,0.389397,0.527187,11.326996,0.609520,0.863270,20.988222,0.420231,0.524482,21.576418,
0.541667,0.875000,13.423216,0.406780,0.389831,21.357405,0.373786,0.398058,49.511986,0.080000,0.080000,133.421495,0.504564,0.676110,412.035252,0.833333,1.416667,17.085754,0.644068,1.084746,30.887083,0.640777,0.927184,96.576423,0.185714,0.194286,280.275423,0.722694,1.404470,889.480927,0.677598,0.982560,16.085692,0.457013,0.486367,8.661248,0.850191,2.287914,23.595601,0.683504,1.023408,11.507314,0.738409,1.402879,21.500111,0.490483,0.634749,13.624560,0.817197,1.722323,26.891917,0.556548,0.802158,16.207864,0.790161,1.645103,61.123069,0.567083,0.842411,80.063238,0.630994,1.022986,14.610677,0.422887,0.459590,10.812692,0.606049,0.919053,31.876503,0.336928,0.373373,21.376839,
0.625000,0.750000,15.072231,0.423729,0.372881,19.237152,0.320388,0.407767,49.367166,0.111429,0.102857,131.748600,0.523450,0.669814,421.300240,0.791667,1.500000,17.482483,0.661017,1.152542,30.491006,0.626214,1.024272,95.405290,0.211429,0.260000,273.196111,0.724268,1.468052,898.634088,0.780029,1.044215,15.774402,0.422623,0.448907,9.030230,0.865098,2.140076,23.477126,0.700628,1.078354,10.807988,0.743241,1.368033,22.048218,0.512347,0.713031,14.890808,0.756071,1.682295,26.885018,0.540625,0.732452,16.686339,0.771874,1.649398,35.470485,0.586256,0.866631,33.773194,0.623208,1.046589,22.714399,0.411023,0.491597,16.075389,0.580637,0.890542,32.538628,0.352176,0.410066,21.428028,
0.625000,0.875000,13.661080,0.508475,0.542373,20.161313,0.368932,0.432039,50.206917,0.088571,0.108571,131.505008,0.525653,0.662260,417.693538,0.833333,1.250000,16.568402,0.593220,0.779661,31.032059,0.587379,0.995146,101.016783,0.228571,0.237143,278.755287,0.712937,1.428077,892.667839,0.675510,0.961435,15.921788,0.460329,0.500000,24.707489,0.858692,2.414932,23.457564,0.678329,1.123321,11.466654,0.724256,1.480576,36.439087,0.537042,0.663202,14.039492,0.765801,1.634128,26.703215,0.596355,0.804503,16.277316,0.768730,1.711920,36.046889,0.539807,0.780995,79.456426,0.628893,1.050297,22.888834,0.418314,0.528670,22.726807,0.602578,0.883848,21.103682,0.408330,0.528201,14.643389,
0.375000,0.541667,12.912471,0.423729,0.423729,20.156451,0.383495,0.432039,49.588175,0.111429,0.102857,131.567167,0.497954,0.652817,423.059857,0.833333,1.583333,16.961140,0.644068,1.000000,31.545148,0.548544,0.888350,96.016613,0.180000,0.191429,277.452526,0.703809,1.411394,896.473075,0.671702,0.904446,15.914594,0.404937,0.426554,8.612663,0.855981,2.294321,23.585374,0.699520,1.049033,33.349911,0.767789,1.494388,36.500950,0.501415,0.649097,14.186084,0.756071,1.599142,27.732368,0.575125,0.781414,26.522455,0.774575,1.703994,37.414121,0.552559,0.796050,20.133580,0.675482,1.030153,23.042880,0.425606,0.543253,10.723411,0.589191,0.887195,32.291621,0.348581,0.385397,13.496524,
0.500000,0.583333,14.196742,0.338983,0.338983,20.193552,0.330097,0.441748,49.236956,0.091429,0.091429,133.570270,0.497954,0.658483,419.255418,0.625000,1.208333,17.377253,0.559322,1.050847,32.474804,0.567961,0.791262,97.800721,0.191429,0.200000,275.473300,0.725527,1.418319,884.801680,0.698354,0.954557,15.445435,0.509334,0.514001,8.755364,0.844524,2.051743,23.249703,0.666995,1.021067,10.979957,0.708980,1.287555,36.042447,0.523914,0.622743,48.884329,0.750984,1.505507,26.430067,0.575921,0.775222,60.488604,0.754738,1.542685,35.749524,0.566552,0.832138,21.182929,0.613445,1.133959,14.924730,0.442289,0.490732,11.154030,0.565762,0.842321,32.759511,0.374984,0.439321,14.266809,
0.375000,0.541667,13.541722,0.355932,0.457627,20.950052,0.364078,0.388350,50.201974,0.120000,0.120000,130.927632,0.507397,0.664149,419.523191,0.666667,1.125000,17.597214,0.694915,0.864407,31.038691,0.582524,0.941748,97.678708,0.208571,0.220000,273.378962,0.697513,1.412024,921.763748,0.652542,0.982928,15.774165,0.386883,0.410587,26.025711,0.858692,2.096218,35.866984,0.690280,1.146852,32.470926,0.705124,1.360078,47.697283,0.520254,0.629429,14.444717,0.758946,1.692025,55.181366,0.560883,0.782166,26.179806,0.750886,1.676762,36.349729,0.522007,0.749247,33.734606,0.626174,1.023604,15.599054,0.414360,0.491102,28.649829,0.640263,0.992562,32.168345,0.344614,0.377712,25.905960,
0.583333,0.750000,13.039468,0.389831,0.440678,20.620295,0.349515,0.393204,50.013992,0.131429,0.131429,133.792538,0.502675,0.663204,422.459080,0.750000,1.166667,17.636449,0.644068,0.932203,31.380294,0.645631,0.786408,96.412972,0.228571,0.228571,278.745578,0.716714,1.412653,885.484998,0.694301,0.951977,15.774889,0.399165,0.434414,9.404829,0.882099,2.279783,35.203147,0.689048,1.046076,10.806240,0.763348,1.408004,36.374731,0.506393,0.639824,13.916916,0.760007,1.589809,27.172193,0.558052,0.787518,16.809499,0.762221,1.684954,36.902009,0.546892,0.785512,20.443261,0.616288,1.102570,14.873589,0.399160,0.487889,18.735919,0.599231,0.943721,32.141600,0.375356,0.390232,14.373547,
