,pyrim,,,machine,,,housing,,,stock,,,abalone,,,pyrim10,,,machine10,,,housing10,,,stock10,,,abalone10,,,bank1-10,,,bank1-5,,,bank2-10,,,bank2-5,,,calhousing-10,,,calhousing-5,,,census1-10,,,census1-5,,,census2-10,,,census2-5,,,computer1-10,,,computer1-5,,,computer2-10,,,computer2-5
MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time
0.666667,1.000000,0.982017,0.406780,0.457627,5.366653,0.300971,0.310680,29.410699,0.111429,0.111429,123.991797,0.505508,0.670129,853.212220,0.875000,1.708333,1.378414,0.728814,1.033898,10.548566,0.538835,0.718447,44.802503,0.260000,0.208571,229.274893,0.696884,1.446018,1368.419868,0.480963,0.671334,0.797226,0.317612,0.324736,0.785162,0.810398,2.072194,2.702598,0.630282,0.960577,1.277274,0.700146,1.350610,11.037734,0.487506,0.578575,6.394999,0.777699,1.583263,8.045515,0.559600,0.721040,7.274140,0.755092,1.547334,41.175941,0.543881,0.731757,5.435341,0.570564,0.914978,4.341646,0.360479,0.424864,1.813905,0.537003,0.792364,3.055869,0.326391,0.354407,1.669316,
0.416667,0.625000,0.822747,0.457627,0.542373,5.745117,0.320388,0.402913,26.383030,0.111429,0.111429,113.914156,0.515581,0.688385,857.147365,0.833333,1.541667,1.238900,0.610169,1.033898,10.019960,0.567961,0.791262,46.502737,0.257143,0.257143,241.942894,0.711678,1.471514,1177.802843,0.494227,0.625890,0.768534,0.280889,0.282363,0.764474,0.789331,1.738697,1.467287,0.649255,0.928299,0.882527,0.710395,1.312103,7.502886,0.503563,0.603367,6.762078,0.738379,1.665753,16.113137,0.563448,0.698793,4.839092,0.755668,1.631730,9.119312,0.537991,0.698858,5.289460,0.598369,0.946738,2.300544,0.403979,0.613569,1.326976,0.534771,0.745011,2.917121,0.384406,0.385521,2.928915,
0.500000,0.666667,0.887892,0.406780,0.491525,5.992624,0.271845,0.286408,28.145158,0.100000,0.100000,108.730509,0.514951,0.660057,880.124054,0.791667,1.541667,1.252321,0.661017,0.966102,11.036417,0.621359,0.669903,45.613450,0.202857,0.208571,220.386056,0.706641,1.495121,1350.131836,0.500614,0.565586,0.721632,0.278556,0.280889,0.753384,0.788592,1.778859,1.470405,0.613897,0.844524,0.857435,0.705027,1.275403,7.265692,0.487116,0.578331,6.579696,0.745013,1.629617,7.813149,0.553452,0.730992,4.875707,0.760007,1.594580,15.462543,0.538611,0.736628,5.467582,0.570440,0.863816,2.067430,0.382477,0.433144,1.351308,0.527953,0.785050,2.897034,0.373001,0.410066,2.693333,
0.541667,0.708333,0.806144,0.457627,0.610169,5.868753,0.325243,0.359223,26.464381,0.088571,0.088571,111.760165,0.504879,0.673906,893.753936,0.875000,1.250000,1.263992,0.610169,1.000000,9.463502,0.567961,0.766990,47.119011,0.211429,0.205714,230.332415,0.706641,1.453887,1253.754147,0.499509,0.581552,0.743327,0.277450,0.278556,0.770828,0.821363,1.836762,2.359295,0.662437,0.868301,1.290130,0.691118,1.257931,7.388595,0.485115,0.583114,4.076457,0.761157,1.785041,19.718485,0.558450,0.814897,7.725709,0.776213,1.623982,9.688494,0.542021,0.735786,5.585513,0.578967,0.965892,3.551655,0.385195,0.446861,1.314101,0.574439,0.728028,3.060275,0.335813,0.365439,1.658875,
0.625000,0.708333,0.797623,0.491525,0.525424,6.134071,0.315534,0.339806,28.635794,0.091429,0.114286,121.282745,0.504249,0.654706,879.673658,0.708333,1.708333,1.246457,0.661017,1.016949,10.633269,0.587379,0.932039,45.211323,0.237143,0.248571,208.798080,0.714511,1.465219,1297.692177,0.485384,0.551216,0.741117,0.285925,0.287890,0.797855,0.814956,1.803006,1.481528,0.680670,1.068375,1.333828,0.695705,1.286042,7.903136,0.493851,0.594388,6.334735,0.744615,1.580565,9.130049,0.561237,0.727808,4.780031,0.758502,1.576824,9.609197,0.546582,0.703595,5.262610,0.643846,0.869377,2.201080,0.361839,0.411888,1.309752,0.519772,0.761373,2.833992,0.343250,0.374117,1.663268,
0.583333,0.750000,0.793692,0.508475,0.559322,6.343320,0.330097,0.368932,27.925457,0.128571,0.100000,112.478495,0.514007,0.655650,903.125307,0.750000,0.916667,1.279693,0.610169,0.864407,12.149747,0.611650,0.820388,45.948813,0.257143,0.240000,219.634957,0.705697,1.445703,1248.383983,0.507492,0.584377,0.747680,0.300172,0.303365,0.751992,0.808304,2.033510,1.481080,0.669952,0.967599,0.915259,0.682333,1.255246,12.882078,0.483699,0.576720,6.509402,0.784024,1.720863,8.886248,0.529037,0.712902,8.242955,0.761645,1.722857,9.147512,0.549460,0.784715,5.282257,0.591819,0.865299,4.258474,0.436728,0.501236,1.960367,0.583240,0.842816,6.960652,0.351060,0.396306,1.698705,
0.583333,0.625000,0.861347,0.423729,0.508475,6.669844,0.300971,0.368932,28.895898,0.105714,0.105714,110.039991,0.503935,0.665093,977.849154,0.791667,1.375000,1.455067,0.694915,1.033898,10.092700,0.631068,0.771845,45.010975,0.271429,0.257143,252.891558,0.711363,1.477809,1349.926858,0.515230,0.520142,0.737218,0.279661,0.283100,0.753415,0.846741,2.118640,1.485746,0.669459,1.100530,1.330541,0.697609,1.290581,7.366775,0.496486,0.602294,4.306084,0.737273,1.595471,8.848643,0.569065,0.710248,4.645110,0.757572,1.594447,24.156092,0.547910,0.728790,8.365064,0.619377,0.983317,2.203416,0.348987,0.392116,2.014691,0.549151,0.793480,2.895566,0.318954,0.336556,2.637796,
0.416667,0.708333,0.870181,0.389831,0.389831,6.851602,0.354369,0.398058,26.884524,0.108571,0.097143,119.960155,0.506138,0.653132,988.672391,0.750000,1.250000,1.378326,0.576271,0.881356,11.594687,0.587379,0.771845,50.340843,0.217143,0.220000,233.154950,0.704753,1.494806,1381.526699,0.502579,0.584991,0.716673,0.266028,0.269467,0.778311,0.804361,1.738081,1.477676,0.663299,0.886904,1.413187,0.710005,1.233480,7.655660,0.486140,0.601367,6.462197,0.744527,1.595780,14.440115,0.531824,0.737538,4.808576,0.740037,1.526036,8.867179,0.616985,0.787726,8.172618,0.652991,0.938458,4.197321,0.414978,0.427954,1.373910,0.568861,0.738812,5.472988,0.337548,0.369654,1.772376,
0.500000,0.666667,0.892644,0.389831,0.440678,5.915664,0.330097,0.359223,28.816733,0.117143,0.117143,110.068198,0.518728,0.690589,983.642579,0.791667,1.208333,1.294579,0.644068,0.813559,11.764059,0.597087,0.815534,46.252372,0.234286,0.242857,226.754069,0.708530,1.448536,1247.488726,0.483665,0.547900,0.731985,0.259396,0.264186,0.757235,0.788222,1.913268,2.359981,0.627079,0.889984,0.856327,0.684968,1.324109,7.851244,0.492191,0.595071,6.381535,0.768897,1.668008,9.885285,0.582379,0.791543,5.425929,0.748362,1.635494,16.083273,0.567968,0.783431,4.921363,0.579090,0.827360,2.323538,0.391621,0.457736,1.291643,0.534151,0.774389,6.452830,0.353291,0.399529,2.824526,
0.500000,0.583333,0.869236,0.423729,0.440678,7.680043,0.344660,0.388350,26.906767,0.148571,0.137143,108.524357,0.518099,0.658483,847.517351,0.625000,1.083333,1.259016,0.661017,0.864407,11.002061,0.563107,0.737864,51.089316,0.265714,0.222857,230.645342,0.706327,1.468052,1225.556202,0.502825,0.588430,0.720599,0.247973,0.252518,0.769335,0.831218,1.961316,2.591065,0.617223,0.806086,1.371077,0.717033,1.326452,7.741642,0.502733,0.603563,3.985071,0.735459,1.563846,19.041294,0.541245,0.743421,4.538461,0.767756,1.768863,9.913177,0.551762,0.729322,5.028241,0.602818,0.963668,2.115397,0.382971,0.459837,1.382746,0.536879,0.782199,3.173111,0.324656,0.352176,1.770558,
