,pyrim,,,machine,,,housing,,,stock,,,abalone,,,pyrim10,,,machine10,,,housing10,,,stock10,,,abalone10,,,bank1-10,,,bank1-5,,,bank2-10,,,bank2-5,,,calhousing-10,,,calhousing-5,,,census1-10,,,census1-5,,,census2-10,,,census2-5,,,computer1-10,,,computer1-5,,,computer2-10,,,computer2-5
MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time
0.625000,0.875000,0.797970,0.406780,0.440678,0.761885,0.315534,0.354369,3.900065,0.371429,0.388571,14.492460,0.537929,0.677369,64.789608,0.833333,1.625000,1.060773,0.677966,1.067797,1.325642,0.548544,0.834951,12.473628,0.557143,0.740000,43.522144,0.750079,1.408876,277.257891,0.514493,0.589044,0.991487,0.277205,0.283960,0.503680,0.806332,2.169521,4.688049,0.629913,0.953308,1.262522,0.692679,1.207321,3.895476,0.488287,0.584285,1.022191,0.775532,1.566589,9.083742,0.608828,0.725286,2.608889,0.783165,1.626417,9.311445,0.585857,0.765409,4.635917,0.573529,0.867523,0.999020,0.367523,0.420044,0.435010,0.537746,0.830792,1.702203,0.362216,0.395190,0.528635,
0.375000,0.541667,0.502695,0.440678,0.491525,0.408057,0.325243,0.388350,3.254882,0.357143,0.368571,15.474737,0.544854,0.697513,63.164458,0.666667,1.625000,0.718241,0.728814,1.084746,1.926723,0.597087,0.922330,14.432985,0.620000,0.828571,19.473610,0.743783,1.451684,205.335715,0.466716,0.502825,1.071694,0.284574,0.288013,0.478122,0.801528,1.749661,4.816069,0.613281,0.850437,0.657324,0.712592,1.255930,4.175294,0.505661,0.607662,2.555514,0.757530,1.546685,6.361283,0.556239,0.719448,3.010190,0.780154,1.641206,18.067116,0.577046,0.759963,3.889561,0.610727,0.886555,2.925884,0.392486,0.439941,0.582533,0.513326,0.717491,3.580445,0.346225,0.377712,1.469641,
0.583333,0.750000,0.270796,0.423729,0.440678,1.121394,0.334951,0.359223,4.413853,0.345714,0.382857,13.345406,0.542336,0.688071,62.336061,0.833333,1.708333,0.875113,0.694915,1.016949,2.443303,0.558252,0.791262,6.928938,0.557143,0.774286,20.755514,0.762354,1.423355,206.986658,0.473102,0.537460,1.126317,0.270204,0.276099,0.423169,0.784280,1.812739,4.884932,0.618948,0.802267,0.689974,0.705612,1.213372,8.502930,0.503953,0.588238,1.135702,0.749082,1.482595,5.441613,0.573798,0.772745,2.884148,0.767136,1.578950,8.446866,0.577134,0.750177,4.602067,0.573529,0.828225,2.187248,0.389397,0.440188,0.785386,0.554109,0.782819,1.616447,0.311268,0.339284,1.145069,
0.541667,0.750000,0.479148,0.372881,0.389831,0.831927,0.349515,0.388350,3.445665,0.360000,0.388571,6.685045,0.538244,0.698772,59.617578,0.708333,1.500000,1.185199,0.694915,1.000000,2.891636,0.592233,0.849515,13.585736,0.577143,0.860000,19.545502,0.746616,1.440353,247.989743,0.464259,0.546672,1.102638,0.280644,0.281626,0.463207,0.794013,1.772822,2.584529,0.615252,0.844770,1.279094,0.716447,1.266862,10.451020,0.499707,0.591362,1.135445,0.751957,1.510593,5.149246,0.546552,0.774515,1.123777,0.778781,1.663656,23.292528,0.585636,0.788567,4.563759,0.576372,0.907192,1.152713,0.388408,0.442907,0.475595,0.551382,0.745878,4.093304,0.333705,0.370646,0.924616,
0.500000,0.625000,0.526246,0.406780,0.440678,0.411922,0.344660,0.378641,3.647617,0.365714,0.377143,7.570823,0.541706,0.683979,61.743505,0.791667,1.625000,0.873625,0.644068,1.067797,1.920255,0.592233,0.970874,10.099963,0.634286,0.851429,39.334532,0.752282,1.428392,222.205135,0.486613,0.559445,0.804501,0.316261,0.323139,0.555339,0.803499,1.809166,2.355932,0.683504,1.109400,1.600439,0.724451,1.227526,4.001148,0.505661,0.602635,1.108830,0.736034,1.459552,10.190128,0.554293,0.718563,2.525954,0.769129,1.542464,17.440630,0.565135,0.746059,2.306083,0.589100,0.886802,2.202313,0.386431,0.417202,0.863702,0.530928,0.732242,1.150910,0.325152,0.354407,1.067853,
0.625000,0.750000,0.297095,0.491525,0.576271,0.374848,0.368932,0.427184,1.686113,0.400000,0.402857,13.380956,0.538558,0.688071,71.574474,0.583333,1.000000,0.699588,0.728814,0.796610,2.359950,0.621359,0.932039,6.002199,0.577143,0.760000,40.903772,0.753856,1.446333,244.325102,0.500368,0.584377,1.094295,0.285802,0.307664,0.437240,0.797709,1.911790,2.204567,0.665763,0.928422,1.338809,0.710542,1.239922,10.800699,0.493216,0.585017,2.891317,0.782343,1.507939,5.251037,0.546420,0.700960,2.693226,0.792729,1.749646,10.855657,0.574522,0.772671,4.984535,0.570440,0.840583,0.813677,0.388161,0.450692,0.458909,0.545556,0.726168,3.679366,0.341515,0.387257,0.583611,
0.500000,0.625000,0.328459,0.440678,0.525424,0.864788,0.334951,0.383495,3.357862,0.357143,0.371429,13.735483,0.541706,0.681460,74.792007,0.750000,1.333333,1.083722,0.694915,0.915254,1.224361,0.587379,0.825243,6.865294,0.588571,0.822857,50.389072,0.744413,1.423041,356.723833,0.451363,0.498772,1.197107,0.262712,0.264431,0.407335,0.833682,2.011211,2.630925,0.655661,0.953924,1.694512,0.709419,1.223719,8.939898,0.483260,0.582967,2.443827,0.757707,1.464240,4.061808,0.583661,0.747667,3.514064,0.781970,1.610654,22.888240,0.581164,0.769571,2.249612,0.627163,0.916831,1.209555,0.381117,0.429436,0.457691,0.551754,0.758646,1.371436,0.348333,0.369158,0.635721,
0.416667,0.583333,0.394337,0.372881,0.406780,0.880731,0.334951,0.383495,3.605724,0.351429,0.365714,7.657052,0.528171,0.679257,85.560607,0.833333,1.666667,0.593915,0.644068,0.830508,1.138266,0.665049,0.893204,12.791368,0.571429,0.805714,21.942312,0.739062,1.437205,263.070661,0.486858,0.603414,0.905594,0.253500,0.256202,0.446646,0.766170,1.702353,2.403377,0.634471,0.868671,1.223661,0.694583,1.218302,9.581740,0.483016,0.581357,2.588587,0.779822,1.488168,5.751062,0.564996,0.717502,2.369284,0.770413,1.618004,14.924737,0.597901,0.802648,2.994673,0.588853,0.891251,1.823383,0.403238,0.432773,0.808841,0.528077,0.719722,3.472644,0.320813,0.360481,1.228906,
0.541667,0.541667,0.272764,0.355932,0.389831,0.450582,0.339806,0.373786,1.762733,0.362857,0.391429,6.320744,0.548316,0.694366,71.792394,0.583333,0.916667,0.953472,0.610169,0.864407,1.458349,0.621359,0.927184,5.551171,0.631429,0.877143,39.854231,0.745042,1.426818,275.828347,0.483051,0.551953,1.235761,0.263572,0.268730,0.430318,0.787237,1.749538,5.178897,0.621535,0.889614,1.243640,0.691166,1.200146,8.944015,0.488726,0.601513,2.889466,0.774736,1.499889,10.057077,0.568977,0.726481,1.831282,0.773734,1.636291,21.000343,0.576027,0.760981,4.065140,0.590954,0.872837,2.352207,0.385319,0.442659,0.496212,0.547044,0.735837,1.615244,0.336928,0.376224,1.499084,
0.291667,0.416667,0.327240,0.389831,0.406780,1.029778,0.368932,0.407767,1.916098,0.391429,0.434286,14.470594,0.532578,0.671703,36.194658,0.666667,1.208333,1.249650,0.610169,0.830508,2.622482,0.601942,0.878641,12.292382,0.605714,0.822857,46.048469,0.753541,1.429336,225.898086,0.484033,0.513387,0.878622,0.248219,0.253746,0.461691,0.812123,2.187508,2.213671,0.623753,0.822225,0.710819,0.729966,1.236945,7.651931,0.509956,0.623328,1.960175,0.765049,1.472644,10.230071,0.561723,0.731390,1.380345,0.783077,1.634520,21.130128,0.567703,0.761911,4.798224,0.592931,0.868636,1.343833,0.390386,0.449580,0.447851,0.526962,0.751333,3.068114,0.319326,0.345606,1.097752,
