,pyrim,,,machine,,,housing,,,stock,,,abalone,,,pyrim10,,,machine10,,,housing10,,,stock10,,,abalone10,,,bank1-10,,,bank1-5,,,bank2-10,,,bank2-5,,,calhousing-10,,,calhousing-5,,,census1-10,,,census1-5,,,census2-10,,,census2-5,,,computer1-10,,,computer1-5,,,computer2-10,,,computer2-5
MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time
0.625000,0.958333,47.338659,0.440678,0.542373,53.562001,0.300971,0.339806,72.052376,0.128571,0.108571,171.948567,0.532263,0.655965,450.397181,0.750000,1.541667,48.856661,0.728814,1.118644,50.386624,0.558252,0.747573,69.206764,0.217143,0.220000,157.802647,0.737173,1.353163,456.989495,0.718865,1.028249,39.138007,0.436011,0.470278,38.082143,0.843045,1.873599,55.080518,0.667981,0.985586,40.103881,0.731967,1.260078,52.521256,0.572670,0.678917,45.630463,0.774780,1.574771,89.621946,0.584546,0.740723,57.921247,0.759077,1.480606,39.883322,0.565489,0.732554,49.868153,0.610479,0.976396,44.279590,0.400519,0.462926,41.624302,0.588571,0.777860,36.001349,0.358869,0.390108,45.058770,
0.416667,0.583333,49.977070,0.457627,0.542373,55.540261,0.368932,0.412621,75.059800,0.114286,0.085714,167.407813,0.535411,0.666981,449.628491,0.791667,1.166667,48.624619,0.694915,1.203390,55.277861,0.582524,0.805825,70.857207,0.234286,0.237143,165.563671,0.739062,1.388102,395.844646,0.631786,0.694424,56.177171,0.505404,0.373127,39.683432,0.791179,1.686830,44.177961,0.675249,0.837009,49.960380,0.719717,1.327477,61.798815,0.521864,0.614495,53.760903,0.768676,1.582379,56.274874,0.605467,0.799460,50.165541,0.770678,1.506775,57.783579,0.555216,0.721927,51.882327,0.628646,0.948220,31.886737,0.473925,0.533243,41.251473,0.632453,0.786786,42.326646,0.387753,0.416016,42.722710,
0.625000,0.875000,51.242545,0.389831,0.457627,50.509641,0.296117,0.296117,72.947643,0.122857,0.100000,184.042111,0.529430,0.649669,455.427973,0.833333,1.500000,49.807405,0.745763,0.983051,53.515902,0.553398,0.762136,69.858958,0.214286,0.220000,160.452013,0.743469,1.381492,428.622529,0.592238,0.727094,40.730978,0.347089,0.355318,83.520411,0.796723,1.849329,44.154619,0.622644,0.809166,39.706324,0.711323,1.239043,52.007942,0.511957,0.596291,47.920796,0.757884,1.533283,56.733154,0.589632,0.772701,38.465064,0.754782,1.442836,66.293429,0.551364,0.726355,60.815852,0.597380,0.884825,33.347839,0.411023,0.469352,35.428642,0.587703,0.800298,41.201566,0.382298,0.414652,32.567337,
0.500000,0.791667,51.495026,0.491525,0.576271,55.548205,0.368932,0.402913,73.351020,0.097143,0.142857,169.656328,0.528801,0.665408,454.086378,0.833333,1.541667,47.989245,0.627119,1.220339,54.172894,0.582524,0.834951,69.539877,0.234286,0.237143,155.130452,0.739062,1.390935,413.237299,0.535863,0.652051,62.296846,0.334439,0.337632,46.908974,0.846618,1.893310,43.697498,0.659726,0.868671,48.626435,0.727916,1.307418,62.085635,0.491459,0.603416,39.277231,0.786943,1.518864,56.201106,0.569198,0.748773,59.562384,0.773069,1.619155,68.030406,0.586566,0.754428,98.528618,0.635566,1.024345,31.490488,0.416461,0.467499,49.526861,0.600595,0.772654,48.891659,0.359241,0.383166,42.644820,
0.583333,0.833333,51.115404,0.457627,0.542373,54.830967,0.368932,0.349515,73.761870,0.085714,0.105714,176.075588,0.538558,0.668870,455.339130,0.791667,1.541667,49.563596,0.610169,1.101695,52.018198,0.606796,0.873786,69.687803,0.234286,0.242857,158.122189,0.738432,1.379603,413.318371,0.627610,0.822280,39.597063,0.342913,0.351879,47.428101,0.803868,1.887520,68.740002,0.679192,1.054454,49.067048,0.741581,1.266764,44.782110,0.521230,0.619619,36.854444,0.764607,1.588129,62.943419,0.579636,0.733779,40.583361,0.774929,1.457049,79.854103,0.579392,0.746369,49.336470,0.633465,0.957242,55.816136,0.408675,0.478497,49.300791,0.569976,0.804512,55.193534,0.357506,0.387257,43.963104,
0.541667,0.833333,51.117419,0.491525,0.542373,55.367626,0.339806,0.388350,73.897182,0.105714,0.105714,170.664740,0.525024,0.663519,437.099889,0.791667,1.208333,48.883309,0.593220,1.016949,53.965002,0.626214,0.839806,71.071298,0.265714,0.268571,162.168629,0.736229,1.391564,388.661154,0.565586,0.751412,41.796906,0.393147,0.404569,47.130331,0.820623,1.837255,57.716684,0.672786,0.948626,49.150057,0.721523,1.206345,71.146733,0.548804,0.641581,54.562419,0.769251,1.448450,60.750200,0.590959,0.769118,47.818881,0.798796,1.575186,41.277276,0.610388,0.783962,51.767878,0.603559,0.942165,53.556578,0.476026,0.469600,41.430429,0.578654,0.866617,36.243511,0.382298,0.421470,43.985363,
0.583333,0.541667,50.835473,0.525424,0.525424,50.365437,0.364078,0.364078,71.013844,0.108571,0.108571,170.676477,0.524394,0.647781,441.745656,0.833333,1.333333,48.584126,0.627119,1.033898,50.680866,0.669903,0.820388,70.358094,0.208571,0.222857,158.827192,0.734026,1.364180,374.311176,0.527880,0.602186,42.222690,0.374232,0.388725,69.157823,0.855981,1.966613,38.454196,0.669213,1.045460,49.020200,0.714251,1.217667,57.770870,0.524012,0.588824,55.110701,0.763236,1.520633,68.318745,0.572692,0.716927,58.638543,0.754826,1.482067,42.460592,0.565799,0.742074,61.671323,0.644711,1.054375,39.417218,0.394093,0.446120,44.340550,0.564770,0.799306,33.428195,0.378579,0.395438,34.157030,
0.416667,0.750000,51.260729,0.389831,0.406780,56.121666,0.349515,0.407767,70.155219,0.117143,0.100000,174.863965,0.519987,0.650299,437.862973,0.833333,1.166667,49.715309,0.677966,0.881356,53.321185,0.572816,0.728155,69.645073,0.228571,0.231429,159.915501,0.738747,1.406043,389.920439,0.557480,0.654385,40.922797,0.307418,0.313314,39.350397,0.798941,1.693236,83.358336,0.666010,0.920044,41.873082,0.705759,1.187360,51.807406,0.513324,0.683163,55.062615,0.767969,1.494405,91.698250,0.579902,0.754921,50.776618,0.760760,1.512575,51.349516,0.571112,0.781925,52.929401,0.711073,0.958354,71.239608,0.447479,0.539545,35.848817,0.566753,0.780216,37.030417,0.372753,0.385025,50.075224,
0.458333,0.583333,48.627960,0.423729,0.440678,55.363951,0.305825,0.364078,76.112926,0.117143,0.114286,176.043195,0.544224,0.661630,447.736914,0.708333,1.125000,49.982190,0.576271,1.457627,55.691995,0.597087,0.864078,70.096545,0.220000,0.225714,159.083773,0.738118,1.368272,390.566568,0.559936,0.691968,65.707647,0.311963,0.316507,45.988341,0.815572,1.856597,53.390224,0.663546,0.936553,45.757399,0.710932,1.267692,83.540225,0.511371,0.598878,54.880825,0.776549,1.578840,46.101051,0.587377,0.762174,38.025954,0.757173,1.594137,42.872442,0.564559,0.727595,53.362291,0.627657,0.929436,80.559571,0.401137,0.476767,48.996635,0.584480,0.913847,46.796702,0.385397,0.403124,43.061177,
0.416667,0.500000,47.627195,0.372881,0.423729,51.865590,0.373786,0.393204,74.702812,0.131429,0.131429,173.942597,0.527227,0.656280,436.161432,0.666667,1.083333,47.146974,0.627119,0.949153,53.861982,0.577670,0.757282,71.781852,0.251429,0.254286,157.160050,0.738747,1.386528,394.910735,0.600221,0.774503,58.088348,0.363670,0.321297,38.624199,0.818899,2.048171,43.961614,0.630159,0.821855,44.807484,0.719717,1.314348,53.256324,0.513324,0.600342,35.457474,0.774868,1.587288,56.414129,0.624132,0.721748,48.321291,0.760583,1.563452,42.328892,0.555925,0.706296,51.660362,0.612086,1.019773,45.631434,0.401384,0.482823,50.451133,0.561175,0.856576,36.522684,0.349076,0.373621,49.682512,
