,contact-lenses,,,pasture,,,squash-stored,,,squash-unstored,,,tae,,,newthyroid,,,balance-scale,,,SWD,,,car,,,bondrate,,,toy,,,eucalyptus,,,LEV,,,automobile,,,winequality-red,,,ESL,,,ERA
MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time
0.333333,0.333333,13.975204,0.222222,0.222222,11.713205,0.461538,0.615385,8.522971,0.230769,0.307692,7.974178,0.447368,0.500000,15.698740,0.037037,0.037037,8.480395,0.038217,0.038217,29.844022,0.384000,0.412000,55.342625,0.011574,0.013889,206.621618,0.400000,0.466667,12.534369,0.053333,0.053333,11.138951,0.440217,0.510870,163.951478,0.376000,0.408000,50.846288,0.326923,0.480769,48.286764,0.392500,0.412500,215.697133,0.336066,0.368852,27.548132,0.784000,1.828000,78.166782,
0.500000,0.833333,10.958367,0.333333,0.333333,20.471893,0.230769,0.307692,16.739673,0.230769,0.230769,23.994381,0.368421,0.342105,15.839757,0.000000,0.000000,8.662374,0.038217,0.038217,31.213548,0.400000,0.436000,63.773660,0.004630,0.004630,210.975284,0.400000,0.466667,9.408877,0.120000,0.120000,11.349896,0.429348,0.510870,166.316716,0.380000,0.440000,32.204337,0.250000,0.326923,21.566843,0.352500,0.387500,242.641440,0.311475,0.319672,63.477047,0.756000,1.980000,181.631187,
0.166667,0.333333,11.761191,0.333333,0.333333,12.027061,0.538462,0.538462,14.629285,0.076923,0.153846,26.374949,0.368421,0.447368,15.107747,0.018519,0.018519,23.461897,0.006369,0.006369,28.983800,0.480000,0.520000,62.452712,0.016204,0.018519,144.537305,0.400000,0.533333,12.448141,0.066667,0.066667,18.864600,0.440217,0.494565,165.091952,0.396000,0.424000,32.663601,0.173077,0.250000,50.883470,0.337500,0.427500,245.389257,0.319672,0.360656,27.747550,0.796000,1.664000,170.774077,
0.166667,0.333333,14.664594,0.333333,0.333333,7.835032,0.384615,0.538462,15.981407,0.307692,0.230769,17.432952,0.421053,0.578947,12.974408,0.092593,0.092593,11.965870,0.019108,0.019108,30.505755,0.448000,0.472000,65.098424,0.023148,0.032407,207.290214,0.400000,0.600000,7.891123,0.053333,0.053333,17.202346,0.418478,0.538043,164.815760,0.356000,0.376000,57.427755,0.230769,0.307692,21.333507,0.357500,0.425000,137.877405,0.327869,0.319672,27.327568,0.836000,1.820000,81.626455,
0.333333,0.500000,12.628919,0.333333,0.333333,10.223522,0.307692,0.307692,17.079309,0.384615,0.000000,16.147122,0.394737,0.500000,18.075449,0.055556,0.055556,9.195106,0.038217,0.038217,29.708879,0.424000,0.500000,62.153563,0.011574,0.011574,258.591932,0.600000,0.333333,7.861798,0.040000,0.040000,17.474162,0.467391,0.548913,164.449860,0.336000,0.348000,57.593243,0.288462,0.423077,21.487626,0.357500,0.387500,138.040081,0.278689,0.344262,28.280023,0.748000,1.984000,82.021177,
0.166667,0.500000,11.373492,0.333333,0.333333,10.196733,0.230769,0.307692,8.111473,0.230769,0.846154,15.140714,0.447368,0.526316,13.705723,0.018519,0.018519,11.132658,0.025478,0.025478,31.259952,0.460000,0.456000,55.989794,0.009259,0.011574,209.427782,0.533333,0.733333,7.903076,0.013333,0.013333,36.641036,0.461957,0.538043,164.838124,0.328000,0.360000,130.633795,0.288462,0.403846,21.619373,0.345000,0.402500,246.795867,0.311475,0.336066,28.399041,0.756000,2.112000,76.006634,
0.166667,0.166667,15.529045,0.333333,0.444444,25.718543,0.538462,0.538462,20.973284,0.000000,0.153846,14.725934,0.421053,0.526316,15.042569,0.018519,0.018519,12.107820,0.038217,0.038217,29.452259,0.404000,0.460000,62.902702,0.016204,0.018519,227.509686,0.466667,0.466667,14.310379,0.053333,0.053333,17.980162,0.440217,0.510870,162.960465,0.388000,0.432000,119.065690,0.326923,0.384615,20.439014,0.405000,0.462500,137.715826,0.303279,0.327869,27.906630,0.804000,1.972000,79.167097,
0.000000,0.500000,14.912141,0.222222,0.222222,7.620793,0.538462,0.615385,23.509634,0.769231,0.307692,14.307190,0.289474,0.473684,15.258306,0.018519,0.018519,12.072928,0.025478,0.025478,28.580085,0.416000,0.532000,66.676889,0.016204,0.016204,226.994726,0.400000,0.600000,18.444669,0.053333,0.053333,15.482560,0.407609,0.472826,165.885596,0.368000,0.412000,119.693870,0.307692,0.423077,21.616650,0.365000,0.395000,607.919493,0.303279,0.327869,28.044976,0.784000,1.680000,80.141967,
0.333333,0.333333,16.313548,0.333333,0.333333,25.550677,0.384615,0.461538,25.336048,0.153846,0.153846,20.121493,0.447368,0.473684,17.299693,0.055556,0.055556,11.634555,0.025478,0.025478,30.763326,0.480000,0.484000,55.000972,0.025463,0.027778,227.249245,0.400000,0.466667,19.105323,0.040000,0.040000,17.823549,0.461957,0.554348,165.120875,0.356000,0.392000,50.252987,0.307692,0.576923,20.400060,0.347500,0.397500,613.986773,0.278689,0.319672,27.959275,0.836000,2.108000,71.615115,
0.333333,0.666667,20.546112,0.333333,0.333333,8.231763,0.384615,0.384615,25.599963,0.230769,0.307692,12.392924,0.342105,0.368421,16.499702,0.074074,0.074074,8.538439,0.044586,0.044586,30.288867,0.448000,0.488000,62.453593,0.006944,0.006944,227.976097,0.400000,0.533333,17.514782,0.080000,0.080000,11.589874,0.396739,0.472826,166.946309,0.376000,0.404000,137.486551,0.288462,0.423077,20.685144,0.360000,0.405000,651.591862,0.311475,0.344262,24.209705,0.752000,1.692000,79.252267,
