,contact-lenses,,,pasture,,,squash-stored,,,squash-unstored,,,tae,,,newthyroid,,,balance-scale,,,SWD,,,car,,,bondrate,,,toy,,,eucalyptus,,,LEV,,,automobile,,,winequality-red,,,ESL,,,ERA
MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time
0.333333,0.333333,1.280053,0.777778,0.555556,1.584394,0.461538,0.615385,1.660721,0.307692,0.538462,2.096703,0.684211,0.815789,3.080685,0.074074,0.074074,3.121587,0.050955,0.089172,3.270549,0.416000,0.460000,5.224010,0.152778,0.173611,7.140323,0.466667,0.533333,2.944544,0.080000,0.120000,2.011434,0.413043,0.489130,6.720108,0.376000,0.424000,4.867661,0.365385,0.538462,4.512951,0.407500,0.450000,7.100456,0.254098,0.303279,5.403286,0.780000,1.264000,5.102244,
0.500000,0.500000,0.582168,0.111111,0.111111,1.483544,0.230769,0.461538,2.255667,0.384615,0.307692,1.042609,0.421053,0.526316,1.913675,0.018519,0.018519,2.871094,0.133758,0.121019,4.109123,0.392000,0.440000,6.711556,0.157407,0.171296,7.862956,0.733333,0.266667,2.185096,0.093333,0.146667,2.216056,0.483696,0.619565,7.329987,0.384000,0.420000,4.869036,0.307692,0.403846,4.709509,0.380000,0.412500,8.930705,0.303279,0.295082,4.591419,0.740000,1.216000,4.666107,
0.500000,0.333333,1.194002,0.222222,0.333333,1.182672,0.384615,0.461538,1.315874,0.384615,0.307692,1.041621,0.421053,0.684211,3.594954,0.037037,0.018519,3.934818,0.101911,0.063694,4.320222,0.436000,0.468000,4.728485,0.152778,0.192130,7.562315,0.533333,0.600000,2.041470,0.093333,0.053333,2.394064,0.451087,0.521739,6.220794,0.396000,0.420000,4.517512,0.384615,0.557692,4.831787,0.397500,0.430000,8.332508,0.344262,0.352459,4.718359,0.720000,1.208000,5.561710,
0.833333,0.666667,0.561898,0.555556,0.333333,1.618817,0.384615,0.538462,2.261378,0.538462,0.384615,1.381616,0.394737,0.736842,2.160454,0.055556,0.074074,2.279726,0.050955,0.070064,3.940179,0.440000,0.456000,5.952717,0.148148,0.168981,7.500812,0.466667,0.666667,2.035256,0.093333,0.093333,2.558923,0.375000,0.505435,4.757213,0.372000,0.420000,4.572916,0.365385,0.653846,3.995774,0.397500,0.455000,6.396906,0.303279,0.270492,4.733343,0.744000,1.332000,5.903425,
0.166667,0.666667,0.590082,0.333333,0.444444,1.080963,0.384615,0.307692,1.323399,0.461538,0.384615,1.000863,0.500000,0.578947,3.534342,0.037037,0.074074,3.601022,0.057325,0.089172,4.489968,0.460000,0.412000,5.785351,0.173611,0.182870,8.918799,0.400000,0.800000,1.875238,0.133333,0.106667,3.043527,0.461957,0.538043,6.705914,0.336000,0.388000,5.069096,0.403846,0.557692,4.406627,0.405000,0.417500,8.009609,0.286885,0.327869,5.503055,0.760000,1.232000,6.037704,
0.333333,0.500000,0.835829,0.555556,0.333333,0.985930,0.692308,0.384615,1.549080,0.153846,0.153846,1.836594,0.526316,0.815789,2.574944,0.092593,0.074074,3.663582,0.070064,0.095541,4.511048,0.432000,0.468000,4.490214,0.185185,0.192130,8.229055,0.600000,0.866667,1.400499,0.093333,0.053333,3.001646,0.451087,0.619565,5.726586,0.316000,0.336000,4.581731,0.365385,0.461538,5.550038,0.370000,0.405000,7.875489,0.237705,0.237705,4.666703,0.736000,1.172000,6.142927,
0.333333,0.500000,0.555486,0.111111,0.222222,1.274007,0.692308,1.000000,1.229786,0.307692,0.153846,1.093673,0.421053,0.315789,2.970546,0.074074,0.074074,3.302077,0.095541,0.095541,3.900051,0.412000,0.392000,6.186070,0.134259,0.187500,7.572167,0.533333,0.666667,1.288710,0.026667,0.053333,3.209717,0.418478,0.538043,6.308311,0.364000,0.408000,4.841601,0.423077,0.557692,4.598537,0.422500,0.462500,7.234476,0.254098,0.295082,4.856564,0.784000,1.240000,5.970239,
0.500000,1.166667,0.840888,0.222222,0.333333,1.249442,0.461538,0.538462,2.036728,0.769231,0.692308,1.220948,0.421053,0.605263,3.878306,0.037037,0.018519,2.609184,0.057325,0.076433,4.595328,0.424000,0.396000,6.905206,0.157407,0.171296,7.975832,0.800000,0.333333,1.677981,0.080000,0.080000,3.048167,0.385870,0.461957,5.345144,0.368000,0.392000,4.148292,0.346154,0.538462,4.989269,0.372500,0.397500,7.355083,0.319672,0.319672,4.455300,0.732000,1.196000,6.528093,
0.166667,0.333333,0.664062,0.333333,0.444444,1.033725,0.461538,0.307692,1.411265,0.307692,0.538462,1.595485,0.500000,0.684211,2.335688,0.092593,0.092593,3.315425,0.095541,0.057325,4.631729,0.448000,0.500000,6.903926,0.164352,0.185185,8.518130,0.466667,0.533333,2.030090,0.040000,0.026667,2.295588,0.440217,0.445652,6.325812,0.356000,0.372000,4.345244,0.307692,0.769231,5.806621,0.392500,0.400000,8.630573,0.213115,0.237705,4.826886,0.728000,1.240000,6.262618,
0.333333,0.833333,0.756550,0.555556,0.333333,1.217406,0.692308,0.384615,1.667361,0.230769,0.461538,2.241995,0.394737,0.657895,3.686428,0.074074,0.074074,2.474067,0.095541,0.127389,4.077673,0.408000,0.412000,6.979010,0.150463,0.157407,8.601022,0.600000,0.533333,1.355400,0.093333,0.093333,3.311477,0.478261,0.521739,6.814507,0.384000,0.400000,4.386431,0.365385,0.500000,4.810285,0.390000,0.430000,8.314933,0.303279,0.344262,5.932356,0.772000,1.320000,6.558121,
0.333333,0.500000,0.645402,0.333333,0.333333,1.235381,0.461538,0.461538,2.044259,0.461538,0.461538,1.793420,0.500000,0.605263,2.654864,0.037037,0.055556,3.498019,0.089172,0.076433,2.903995,0.408000,0.468000,3.941340,0.192130,0.162037,7.884095,0.400000,0.733333,1.882437,0.026667,0.053333,1.884270,0.429348,0.586957,4.681808,0.380000,0.448000,4.689606,0.500000,0.634615,3.842900,0.410000,0.417500,9.189595,0.344262,0.311475,4.043595,0.748000,1.276000,6.400108,
