,contact-lenses,,,pasture,,,squash-stored,,,squash-unstored,,,tae,,,newthyroid,,,balance-scale,,,SWD,,,car,,,bondrate,,,toy,,,eucalyptus,,,LEV,,,automobile,,,winequality-red,,,ESL,,,ERA
MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time
0.500000,0.500000,38.397000,0.333333,0.333333,149.309000,0.307692,0.384615,419.246000,0.461538,0.461539,440.723000,0.473684,0.657895,1284.886000,0.000000,0.000000,236.267000,0.108280,0.140127,593.088000,0.424000,0.448000,2760.867000,0.104167,0.118056,9386.733000,0.400000,0.600000,695.111000,0.080000,0.080000,400.966000,0.445652,0.635870,22591.579000,0.388000,0.424000,1870.780000,0.519231,0.903846,5981.607000,0.427500,0.452500,8075.624000,0.295082,0.319672,2024.085000,0.764000,1.336000,3854.593000,
0.333333,0.833333,34.159000,0.222222,0.222222,146.889000,0.769231,0.846154,418.657000,0.307692,0.307692,417.389000,0.315789,0.421053,1136.151000,0.018519,0.018519,233.797000,0.082803,0.089172,611.827000,0.412000,0.444000,2765.566000,0.067130,0.069444,9554.309000,0.400000,0.533333,667.706000,0.040000,0.040000,401.778000,0.440217,0.532609,22490.009000,0.372000,0.408000,1902.087000,0.500000,0.807692,5658.959000,0.400000,0.437500,8182.196000,0.303279,0.368853,2127.224000,0.696000,1.200000,3817.479000,
0.500000,0.666667,33.710000,0.222222,0.222222,145.806000,0.538462,0.538462,443.502000,0.000000,0.461539,413.485000,0.473684,0.500000,1280.298000,0.018519,0.018519,252.623000,0.038217,0.038217,616.601000,0.496000,0.544000,2771.172000,0.087963,0.092593,9391.214000,0.533333,0.666667,682.920000,0.160000,0.160000,390.653000,0.434783,0.456522,22460.727000,0.420000,0.444000,1874.908000,0.596154,0.961538,5776.495000,0.407500,0.437500,8132.331000,0.311475,0.327869,2052.925000,0.696000,1.188000,3809.969000,
0.500000,0.500000,36.756000,0.555556,0.777778,153.352000,0.461538,0.615385,454.774000,0.461538,0.538462,451.080000,0.342105,0.421053,1179.647000,0.018519,0.018519,237.690000,0.031847,0.031847,644.864000,0.492000,0.460000,2792.486000,0.092593,0.115741,9393.328000,0.466667,0.466667,683.625000,0.066667,0.066667,402.005000,0.407609,0.472826,23174.372000,0.412000,0.424000,1905.900000,0.711538,0.634615,5897.264000,0.392500,0.440000,8030.747000,0.336066,0.352459,2073.358000,0.764000,1.368000,3837.054000,
0.166667,0.500000,35.231000,0.333333,0.333333,146.315000,0.615385,0.615385,426.888000,0.461538,0.461539,426.663000,0.394737,0.473684,1371.366000,0.018519,0.018519,236.246000,0.063694,0.076433,610.386000,0.476000,0.484000,2749.870000,0.092593,0.106482,9372.964000,0.800000,1.000000,675.662000,0.066667,0.066667,397.739000,0.451087,0.543478,22184.923000,0.364000,0.392000,1871.629000,0.480769,0.826923,5665.519000,0.410000,0.452500,8118.180000,0.319672,0.344262,2067.802000,0.712000,1.284000,3815.747000,
0.333333,0.333333,35.043000,0.333333,0.444444,151.588000,0.538462,0.615385,404.839000,0.307692,0.307692,445.887000,0.447368,0.631579,1130.693000,0.018519,0.018519,236.151000,0.050955,0.057325,636.032000,0.456000,0.488000,2722.681000,0.101852,0.120370,9176.375000,0.533333,0.800000,676.451000,0.026667,0.026667,392.558000,0.532609,0.739130,21821.713000,0.360000,0.356000,1881.629000,0.596154,0.846154,5727.172000,0.380000,0.410000,8242.543000,0.311475,0.336066,2087.966000,0.756000,1.236000,3801.535000,
0.333333,0.500000,35.782000,0.333333,0.333333,146.609000,0.538462,0.538462,441.174000,0.461538,0.461539,404.813000,0.526316,0.605263,1177.937000,0.037037,0.037037,245.349000,0.044586,0.044586,598.802000,0.468000,0.512000,3085.345000,0.138889,0.148148,9466.555000,0.466667,0.800000,627.185000,0.120000,0.120000,389.404000,0.500000,0.641304,21880.306000,0.364000,0.404000,1900.740000,0.557692,0.903846,5502.097000,0.405000,0.455000,8077.506000,0.311475,0.344262,1902.006000,0.744000,1.268000,3808.749000,
0.166667,0.333333,33.778000,0.333333,0.333333,158.259000,0.538462,0.615385,412.701000,0.461538,0.538462,429.788000,0.500000,0.631579,1211.806000,0.037037,0.037037,239.433000,0.019108,0.025478,621.217000,0.496000,0.520000,2820.822000,0.127315,0.148148,9212.717000,0.666667,1.000000,661.892000,0.080000,0.080000,393.551000,0.391304,0.494565,22273.452000,0.384000,0.416000,1897.022000,0.538462,0.750000,5586.271000,0.385000,0.435000,8166.647000,0.352459,0.368853,1892.841000,0.772000,1.352000,3792.848000,
0.500000,0.666667,32.858000,0.111111,0.222222,150.748000,0.384615,0.384615,419.799000,0.461538,0.538462,415.145000,0.552632,0.868421,1227.018000,0.074074,0.074074,237.267000,0.038217,0.038217,596.178000,0.472000,0.512000,2747.072000,0.120370,0.125000,9490.098000,0.733333,0.866667,638.834000,0.026667,0.026667,401.282000,0.445652,0.576087,22264.520000,0.356000,0.392000,1864.209000,0.538462,0.903846,5944.954000,0.412500,0.437500,8011.459000,0.221311,0.229508,1890.502000,0.712000,1.248000,3796.293000,
0.166667,0.333333,33.287000,0.111111,0.111111,146.911000,0.692308,0.615385,403.665000,0.384615,0.384615,415.594000,0.342105,0.473684,1291.060000,0.018519,0.018519,239.817000,0.050955,0.057325,629.317000,0.404000,0.420000,2739.375000,0.092593,0.099537,9460.111000,0.600000,0.733333,675.967000,0.093333,0.093333,409.209000,0.554348,0.690217,23112.422000,0.400000,0.416000,1877.593000,0.519231,0.711538,5817.600000,0.427500,0.475000,8385.731000,0.319672,0.344262,1877.887000,0.740000,1.264000,3870.169000,
0.333333,0.666667,33.023000,0.111111,0.111111,150.362000,0.692308,0.692308,437.006000,0.307692,0.307692,418.832000,0.394737,0.526316,1305.135000,0.037037,0.037037,237.362000,0.280255,0.477707,592.200000,0.432000,0.464000,2888.479000,0.104167,0.113426,9391.990000,0.866667,0.866667,674.163000,0.053333,0.053333,408.930000,0.423913,0.494565,22326.653000,0.404000,0.440000,1902.232000,0.634615,0.884615,5721.795000,0.400000,0.472500,8067.266000,0.319672,0.344262,2003.273000,0.776000,1.292000,3823.121000,
