,contact-lenses,,,pasture,,,squash-stored,,,squash-unstored,,,tae,,,newthyroid,,,balance-scale,,,SWD,,,car,,,bondrate,,,toy,,,eucalyptus,,,LEV,,,automobile,,,winequality-red,,,ESL,,,ERA
MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time
0.500000,0.333333,12.149406,0.333333,0.222222,12.758512,0.384615,0.461538,14.856077,0.307692,0.384615,13.398026,0.421053,0.500000,17.932039,0.037037,0.037037,15.106878,0.044586,0.044586,52.320875,0.420000,0.416000,111.380747,0.000000,0.000000,488.853043,0.466667,0.533333,14.253370,0.093333,0.080000,28.045826,0.375000,0.429348,382.197325,0.368000,0.404000,117.076272,0.269231,0.423077,40.036328,0.355000,0.405000,565.150055,0.295082,0.295082,60.879847,0.772000,1.240000,235.030034,
0.333333,0.666667,11.900896,0.222222,0.222222,13.003456,0.230769,0.384615,13.708010,0.153846,0.153846,13.882526,0.447368,0.447368,17.083993,0.000000,0.018519,15.484942,0.031847,0.031847,53.276252,0.396000,0.416000,110.484337,0.002315,0.002315,496.846802,0.400000,0.333333,14.872639,0.080000,0.120000,27.630595,0.353261,0.391304,374.346296,0.384000,0.408000,118.608641,0.230769,0.384615,39.995632,0.360000,0.382500,562.662128,0.286885,0.278689,61.873693,0.784000,1.244000,245.079049,
0.333333,0.333333,12.733217,0.333333,0.333333,12.627649,0.461538,0.461538,13.548555,0.153846,0.153846,13.488697,0.421053,0.500000,17.916021,0.018519,0.037037,14.863998,0.038217,0.006369,52.094239,0.476000,0.484000,111.247901,0.000000,0.002315,493.912097,0.533333,0.600000,14.205351,0.053333,0.053333,30.302726,0.315217,0.342391,376.023326,0.392000,0.424000,120.513086,0.230769,0.250000,40.310085,0.315000,0.377500,569.647139,0.262295,0.295082,61.805087,0.700000,1.212000,239.121964,
0.333333,0.166667,12.128217,0.333333,0.333333,13.040669,0.384615,0.615385,13.666798,0.384615,0.384615,13.535033,0.447368,0.605263,18.333326,0.074074,0.037037,17.695421,0.019108,0.044586,51.454811,0.428000,0.428000,113.314647,0.004630,0.013889,497.421943,0.266667,0.533333,14.338897,0.093333,0.093333,30.200581,0.331522,0.413043,371.572817,0.336000,0.356000,119.157250,0.211538,0.192308,40.970743,0.357500,0.397500,565.695727,0.270492,0.270492,61.586319,0.756000,1.272000,235.587278,
0.333333,0.500000,13.303339,0.333333,0.333333,12.923940,0.307692,0.307692,13.830702,0.307692,0.230769,13.667644,0.473684,0.710526,19.130854,0.018519,0.018519,15.411210,0.025478,0.025478,52.951678,0.408000,0.428000,115.956562,0.000000,0.000000,497.498039,0.466667,0.600000,14.197878,0.120000,0.066667,26.861510,0.326087,0.358696,375.782179,0.340000,0.376000,119.864547,0.269231,0.423077,41.137284,0.360000,0.407500,569.967407,0.270492,0.303279,62.282352,0.776000,1.272000,238.619486,
0.333333,0.500000,13.454286,0.444444,0.555556,13.218016,0.461538,0.538462,13.427576,0.230769,0.230769,13.811831,0.421053,0.500000,18.453953,0.074074,0.055556,15.821408,0.044586,0.019108,51.178768,0.416000,0.440000,111.083791,0.000000,0.000000,486.727692,0.533333,0.666667,14.374581,0.080000,0.080000,27.334073,0.385870,0.440217,372.010303,0.332000,0.364000,117.601218,0.173077,0.326923,42.863372,0.360000,0.415000,571.043463,0.221311,0.213115,62.683239,0.716000,1.240000,237.592268,
0.500000,0.500000,13.262603,0.444444,0.111111,13.167830,0.384615,0.384615,13.706074,0.153846,0.153846,13.567557,0.473684,0.421053,17.833018,0.037037,0.037037,15.685195,0.057325,0.038217,51.047069,0.388000,0.404000,112.128586,0.000000,0.000000,496.890926,0.533333,0.733333,14.289530,0.026667,0.053333,27.323539,0.385870,0.445652,366.077446,0.352000,0.372000,118.092465,0.326923,0.461538,41.093429,0.392500,0.432500,558.256828,0.245902,0.262295,62.379769,0.740000,1.304000,242.042458,
0.166667,0.333333,13.135927,0.333333,0.222222,12.972136,0.461538,0.461538,14.043727,0.538462,0.538462,13.555083,0.368421,0.473684,18.907322,0.055556,0.129630,15.608784,0.025478,0.025478,51.357479,0.408000,0.420000,110.826767,0.006944,0.006944,498.372345,0.533333,0.800000,14.332681,0.093333,0.093333,26.715453,0.320652,0.391304,374.350382,0.356000,0.420000,119.408180,0.192308,0.307692,42.513417,0.332500,0.387500,564.332821,0.262295,0.319672,62.264073,0.748000,1.220000,242.898590,
0.333333,0.333333,12.641045,0.444444,0.333333,13.122260,0.384615,0.230769,13.604894,0.153846,0.153846,13.716344,0.473684,0.473684,21.130300,0.055556,0.074074,16.016103,0.025478,0.012739,51.808113,0.488000,0.536000,117.170404,0.000000,0.000000,494.756749,0.333333,0.466667,14.773965,0.026667,0.026667,27.427728,0.358696,0.445652,379.462101,0.332000,0.368000,116.511491,0.307692,0.365385,41.788025,0.337500,0.370000,571.480026,0.229508,0.254098,63.819392,0.732000,1.204000,236.057465,
0.333333,0.500000,13.048480,0.222222,0.333333,13.264450,0.384615,0.384615,13.875746,0.153846,0.153846,13.329832,0.368421,0.500000,17.851302,0.055556,0.055556,16.595202,0.031847,0.031847,52.292375,0.392000,0.404000,109.924085,0.000000,0.002315,489.108084,0.466667,0.600000,14.565878,0.066667,0.066667,27.738779,0.315217,0.358696,384.288084,0.424000,0.460000,119.058452,0.269231,0.442308,41.651790,0.367500,0.435000,571.200374,0.311475,0.352459,67.685568,0.768000,1.280000,245.146851,
0.333333,0.666667,13.553585,0.333333,0.333333,13.345003,0.384615,0.384615,13.669722,0.307692,0.307692,13.662494,0.473684,0.526316,17.660186,0.055556,0.055556,15.984813,0.044586,0.012739,52.013712,0.420000,0.464000,112.325558,0.011574,0.006944,495.910805,0.333333,0.600000,14.255862,0.040000,0.040000,27.580012,0.369565,0.407609,372.751821,0.400000,0.432000,115.604570,0.269231,0.423077,41.205654,0.387500,0.385000,570.835708,0.311475,0.278689,60.670197,0.792000,1.316000,233.194613,
0.333333,0.333333,12.071823,0.333333,0.444444,13.210014,0.384615,0.461538,13.627862,0.307692,0.230769,13.387814,0.394737,0.657895,17.067093,0.018519,0.037037,15.721119,0.012739,0.012739,50.870237,0.488000,0.496000,108.495131,0.000000,0.000000,500.175042,0.733333,0.466667,11.519030,0.040000,0.040000,26.616200,0.331522,0.375000,378.482748,0.348000,0.396000,124.099078,0.326923,0.519231,40.185913,0.317500,0.420000,563.448717,0.311475,0.319672,61.327483,0.704000,1.164000,233.157795,
0.500000,0.666667,12.686388,0.222222,0.222222,13.221646,0.384615,0.461538,13.443626,0.307692,0.307692,13.568013,0.473684,0.473684,18.630158,0.037037,0.037037,16.324543,0.012739,0.063694,52.113583,0.400000,0.384000,118.704401,0.000000,0.000000,489.890488,0.400000,0.666667,11.752203,0.053333,0.053333,27.163766,0.375000,0.418478,419.563923,0.372000,0.416000,119.218070,0.230769,0.480769,45.402637,0.360000,0.440000,566.773864,0.303279,0.286885,61.855648,0.748000,1.168000,465.577973,
0.333333,0.500000,11.972213,0.333333,0.333333,13.283383,0.461538,0.461538,13.687431,0.307692,0.384615,13.054094,0.500000,0.447368,18.400519,0.055556,0.055556,15.691098,0.038217,0.050955,53.242559,0.388000,0.432000,110.105098,0.000000,0.000000,500.858824,0.533333,0.533333,11.820710,0.080000,0.093333,26.661034,0.342391,0.385870,376.071457,0.340000,0.392000,120.798230,0.250000,0.365385,41.465924,0.360000,0.385000,583.655670,0.344262,0.368852,60.585587,0.744000,1.244000,443.726947,
0.166667,0.333333,12.808304,0.111111,0.111111,13.162327,0.461538,0.461538,13.837645,0.307692,0.307692,12.921582,0.500000,0.552632,17.586150,0.037037,0.037037,15.848452,0.050955,0.050955,53.353551,0.364000,0.396000,120.800761,0.002315,0.002315,526.238556,0.333333,0.333333,11.294135,0.040000,0.040000,26.839113,0.353261,0.451087,371.495148,0.364000,0.404000,117.561157,0.326923,0.346154,41.027298,0.387500,0.427500,610.065441,0.278689,0.295082,62.925305,0.756000,1.224000,235.413318,
