,contact-lenses,,,pasture,,,squash-stored,,,squash-unstored,,,tae,,,newthyroid,,,balance-scale,,,SWD,,,car,,,bondrate,,,toy,,,eucalyptus,,,LEV,,,automobile,,,winequality-red,,,ESL,,,ERA
MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time
0.166667,0.333333,0.479989,0.333333,0.444444,0.505180,0.461538,0.538462,0.616685,0.230769,0.307692,0.606363,0.394737,0.421053,4.235461,0.018519,0.018519,1.464570,0.000000,0.000000,38.878605,0.444000,0.460000,778.101380,0.013889,0.009259,1770.589589,0.400000,0.333333,0.649714,0.013333,0.013333,7.943607,0.369565,0.413043,125.281685,0.400000,0.404000,771.405082,0.307692,0.423077,6.681519,0.392500,0.460000,1855.295142,0.303279,0.319672,126.897564,0.740000,1.280000,1728.940250,
0.333333,0.666667,0.461126,0.222222,0.222222,0.518253,0.384615,0.461538,0.616421,0.076923,0.076923,0.605133,0.289474,0.394737,4.110431,0.000000,0.000000,1.499680,0.000000,0.000000,38.167251,0.420000,0.440000,754.827985,0.016204,0.016204,1777.642952,0.400000,0.466667,0.689788,0.026667,0.026667,8.414876,0.320652,0.353261,125.339251,0.396000,0.432000,799.370590,0.326923,0.346154,6.793981,0.342500,0.380000,1852.773059,0.303279,0.303279,129.656415,0.692000,1.200000,1298.958521,
0.500000,0.333333,0.462645,0.333333,0.333333,0.521490,0.230769,0.384615,0.640597,0.000000,0.000000,0.621437,0.473684,0.578947,3.969008,0.018519,0.037037,1.435861,0.000000,0.000000,39.972993,0.476000,0.456000,752.965678,0.009259,0.009259,1758.970171,0.466667,0.600000,0.643951,0.000000,0.000000,8.062757,0.347826,0.385870,122.527225,0.416000,0.424000,773.529931,0.307692,0.346154,7.411173,0.332500,0.380000,1864.141728,0.286885,0.303279,121.735670,0.684000,1.132000,1511.355837,
0.166667,0.333333,0.461035,0.444444,0.333333,0.514027,0.615385,0.615385,0.618170,0.153846,0.153846,0.596132,0.342105,0.526316,3.748516,0.055556,0.055556,1.421941,0.000000,0.000000,39.189832,0.396000,0.420000,784.280915,0.018519,0.018519,1779.378165,0.400000,0.600000,0.634603,0.000000,0.000000,7.555135,0.336957,0.385870,125.324279,0.332000,0.392000,802.681193,0.365385,0.250000,6.759273,0.362500,0.402500,1878.883382,0.270492,0.295082,108.066520,0.744000,1.300000,1569.899010,
0.333333,0.333333,0.460780,0.333333,0.333333,0.495587,0.307692,0.307692,0.606663,0.230769,0.230769,0.603043,0.473684,0.421053,3.552086,0.037037,0.037037,1.429041,0.012739,0.012739,39.303066,0.420000,0.436000,776.893598,0.020833,0.020833,1751.247031,0.400000,0.600000,0.646068,0.013333,0.013333,8.188830,0.375000,0.396739,121.374587,0.392000,0.424000,819.959924,0.307692,0.365385,6.823247,0.377500,0.407500,1989.101200,0.286885,0.319672,128.841266,0.732000,1.176000,1456.975452,
0.333333,0.500000,0.459321,0.444444,0.333333,0.525113,0.384615,0.307692,0.598343,0.230769,0.230769,0.614952,0.473684,0.500000,3.800265,0.074074,0.018519,1.451044,0.000000,0.000000,39.313156,0.440000,0.472000,755.236426,0.006944,0.006944,1738.893392,0.466667,0.733333,0.675627,0.000000,0.000000,7.978035,0.402174,0.402174,126.616580,0.312000,0.388000,815.997840,0.250000,0.384615,6.467334,0.377500,0.405000,1790.809927,0.311475,0.229508,133.379807,0.672000,1.144000,1533.676572,
0.333333,0.500000,0.468642,0.222222,0.444444,0.516236,0.538462,0.538462,0.599573,0.307692,0.230769,0.642070,0.500000,0.552632,4.075306,0.055556,0.055556,1.429713,0.000000,0.000000,38.745665,0.420000,0.428000,757.408789,0.011574,0.011574,1775.032286,0.466667,0.733333,0.661695,0.013333,0.013333,7.917329,0.385870,0.451087,117.397734,0.360000,0.408000,778.928134,0.461538,0.557692,6.871670,0.405000,0.440000,1794.957245,0.286885,0.270492,101.048870,0.708000,1.244000,1548.715464,
0.333333,0.333333,0.463048,0.444444,0.333333,0.516325,0.461538,0.461538,0.611007,0.461538,0.461538,0.602998,0.289474,0.421053,4.102297,0.037037,0.055556,1.448094,0.000000,0.000000,39.675291,0.404000,0.416000,824.851670,0.013889,0.013889,1771.171263,0.466667,0.666667,0.641758,0.013333,0.013333,7.894085,0.434783,0.440217,123.488685,0.372000,0.396000,789.866896,0.346154,0.365385,6.680453,0.357500,0.402500,1862.429279,0.303279,0.295082,107.897396,0.732000,1.232000,1337.474557,
0.166667,0.333333,0.472315,0.222222,0.222222,0.497573,0.307692,0.307692,0.599745,0.153846,0.153846,0.598639,0.447368,0.447368,4.004090,0.037037,0.055556,1.476048,0.000000,0.000000,40.074185,0.472000,0.492000,754.073451,0.027778,0.023148,1760.971147,0.466667,0.533333,0.672037,0.013333,0.013333,7.906526,0.380435,0.445652,122.531763,0.360000,0.376000,866.108597,0.307692,0.480769,7.253374,0.355000,0.415000,1938.049331,0.229508,0.229508,121.852869,0.764000,1.172000,1533.255388,
0.333333,0.500000,0.459878,0.333333,0.333333,0.527110,0.307692,0.307692,0.600079,0.076923,0.076923,0.606139,0.447368,0.421053,3.602646,0.055556,0.055556,1.444961,0.000000,0.000000,39.896535,0.404000,0.412000,808.246286,0.009259,0.006944,1755.332041,0.400000,0.533333,0.654936,0.026667,0.026667,7.862483,0.364130,0.413043,127.501206,0.376000,0.428000,759.062529,0.346154,0.423077,7.018523,0.375000,0.407500,1840.406501,0.286885,0.311475,156.600793,0.732000,1.296000,1900.554266,
