Dataset,MZE,MAE,Time
contact-lenses,0.4222221666666667,0.5222222666666667,0.7443692666666667
pasture,0.3999998666666667,0.4037036,1.1773380666666668
squash-stored,0.4435895666666666,0.4846153333333333,1.7635262666666667
squash-unstored,0.3871793,0.42307670000000014,1.5660522999999997
tae,0.4359649666666667,0.6245613333333335,2.6847951666666665
newthyroid,0.056790333333333325,0.051852066666666655,2.970558666666667
balance-scale,0.0870488,0.08853506666666666,4.1007837
SWD,0.42613333333333336,0.45199999999999996,5.570937500000001
car,0.15933640000000002,0.17523143333333335,7.9142768666666665
bondrate,0.5666667666666666,0.6488889,2.0513218999999996
toy,0.07111100000000001,0.08266656666666666,2.6232382666666667
eucalyptus,0.4280797,0.5309782333333334,6.261138533333333
LEV,0.3674666666666667,0.4062666666666667,4.555497900000001
automobile,0.3807692333333333,0.5442307000000001,4.762231866666667
winequality-red,0.3973333333333333,0.4324166666666666,7.595105633333334
ESL,0.3019126,0.3221312,4.8447442
ERA,0.7457333333333334,1.2432,5.767646466666665
