Dataset,MZE,MAE,Time
contact-lenses,0.27777769999999996,0.5222222666666667,11.783219966666666
pasture,0.30740713333333336,0.2962960666666667,15.275747299999999
squash-stored,0.3589740333333334,0.37692289999999995,13.965857300000001
squash-unstored,0.22051263333333335,0.21538443333333335,13.074254566666662
tae,0.43947366666666665,0.5429824666666666,13.790854500000002
newthyroid,0.03456803333333333,0.035185333333333325,16.782288700000002
balance-scale,0.028450066666666666,0.03014863333333333,19.20419213333333
SWD,0.4224,0.43973333333333336,35.00968793333333
car,0.005632733333333333,0.0070987666666666675,101.7594796
bondrate,0.42888899999999996,0.6399999666666668,12.4789297
toy,0.049777700000000015,0.051555500000000004,14.949926366666665
eucalyptus,0.36014493333333325,0.4096015333333334,58.95323546666667
LEV,0.36800000000000005,0.4016000000000001,32.3054632
automobile,0.2455127,0.3615385666666666,16.092874499999997
winequality-red,0.35158333333333336,0.4114166666666666,101.91907226666666
ESL,0.30737706666666664,0.32131143333333334,17.3691227
ERA,0.7355999999999999,1.2857333333333334,37.65963586666667
