Dataset,MZE,MAE,Time
contact-lenses,0.35555546666666665,0.4833333,0.4667531333333334
pasture,0.3481478333333334,0.3333330666666667,0.5145732333333333
squash-stored,0.3743587666666667,0.3666665,0.614834
squash-unstored,0.26410230000000007,0.26153820000000005,0.6093143333333334
tae,0.4105262333333332,0.4657894666666667,3.8095935666666665
newthyroid,0.03395083333333333,0.031481699999999994,1.4461885666666665
balance-scale,0.0021231333333333333,0.0021231333333333333,39.337373733333344
SWD,0.43213333333333337,0.44639999999999996,778.2553474000001
car,0.0121914,0.012577166666666665,1732.2282948000002
bondrate,0.45333336666666657,0.6222221666666669,0.6523292999999999
toy,0.020444433333333338,0.0173333,8.0124647
eucalyptus,0.3643116333333333,0.40307966666666667,123.47429859999998
LEV,0.3754666666666668,0.4105333333333333,795.3495677999999
automobile,0.31602559999999996,0.4160257,6.830219099999999
winequality-red,0.3731666666666668,0.41675,1889.0174457333335
ESL,0.29016393333333335,0.30191263333333335,114.98666276666668
ERA,0.7135999999999999,1.2086666666666666,1477.0495781999998
