Dataset,MZE,MAE,Time
contact-lenses,0.3166664666666666,0.3777777,44.35840573333335
pasture,0.33703673333333334,0.3222219333333334,48.248035833333326
squash-stored,0.3871792666666666,0.3692305666666666,49.08325849999999
squash-unstored,0.2435895,0.26923050000000004,48.6407641
tae,0.3956139999999999,0.47982450000000004,51.15242393333333
newthyroid,0.04444466666666667,0.04876566666666666,62.682596100000005
balance-scale,0.16475583333333335,0.16794060000000002,173.08118686666666
SWD,0.4348,0.4513333333333333,134.68022113333333
car,0.02692913333333333,0.02700626666666666,1828.8861126
bondrate,0.4577777999999999,0.5933333333333335,46.7719053
toy,0.06799996666666668,0.060444500000000005,82.12029023333334
eucalyptus,0.3605072666666666,0.40054343333333337,204.9339337
LEV,0.3750666666666667,0.4086666666666667,170.52204713333333
automobile,0.3205128666666667,0.39423080000000005,58.76180886666666
winequality-red,0.37224999999999997,0.41616666666666663,592.7756193333333
ESL,0.29617486666666665,0.3117486333333334,102.43128496666667
ERA,0.7502666666666666,1.2195999999999998,126.77254439999999
