,contact-lenses,,,pasture,,,squash-stored,,,squash-unstored,,,tae,,,newthyroid,,,balance-scale,,,SWD,,,car,,,bondrate,,,toy,,,eucalyptus,,,LEV,,,automobile,,,winequality-red,,,ESL,,,ERA
MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time
0.333333,0.333333,0.000000,0.777778,0.777778,4.000000,0.615385,0.769231,5.000000,0.538462,0.538462,14.000000,0.710526,1.078947,48.000000,0.018519,0.018519,131.000000,0.044586,0.044586,941.000000,0.448000,0.460000,6136.000000,0.037037,0.037037,333855.000000,0.400000,0.600000,6.000000,0.053333,0.053333,89.000000,0.369565,0.402174,56800.000000,0.408000,0.448000,4968.000000,0.557692,0.788462,808.000000,0.410000,0.450000,39689.000000,0.295082,0.319672,457.000000,0.696000,1.248000,6266.000000,
0.333333,0.666667,1.000000,0.666667,0.666667,12.000000,0.538462,0.538462,10.000000,0.307692,0.307692,21.000000,0.657895,0.868421,109.000000,0.000000,0.000000,250.000000,0.031847,0.031847,1570.000000,0.392000,0.412000,6742.000000,0.039352,0.039352,66891.000000,0.400000,0.466667,10.000000,0.040000,0.040000,236.000000,0.331522,0.342391,14501.000000,0.436000,0.468000,8482.000000,0.288462,0.500000,1021.000000,0.382500,0.417500,41524.000000,0.311475,0.319672,472.000000,0.672000,1.236000,5111.000000,
0.333333,0.333333,1.000000,0.444444,0.444444,6.000000,0.538462,0.538462,8.000000,0.153846,0.153846,23.000000,0.684211,1.026316,124.000000,0.018519,0.018519,124.000000,0.025478,0.025478,898.000000,0.472000,0.500000,7853.000000,0.030093,0.030093,287991.000000,0.466667,0.733333,7.000000,0.040000,0.040000,226.000000,0.277174,0.293478,90510.000000,0.396000,0.420000,4427.000000,0.423077,0.673077,2973.000000,0.395000,0.425000,60951.000000,0.303279,0.303279,875.000000,0.680000,1.148000,4854.000000,
0.333333,0.500000,0.000000,0.444444,0.444444,8.000000,0.615385,0.615385,9.000000,0.461538,0.461538,6.000000,0.684211,0.684211,52.000000,0.055556,0.055556,149.000000,0.019108,0.019108,2977.000000,0.428000,0.456000,11197.000000,0.043981,0.043981,189783.000000,0.400000,0.600000,19.000000,0.080000,0.080000,446.000000,0.282609,0.293478,17496.000000,0.356000,0.384000,4144.000000,0.326923,0.596154,3943.000000,0.392500,0.417500,32220.000000,0.286885,0.286885,656.000000,0.748000,1.324000,5469.000000,
0.333333,0.500000,0.000000,0.555556,0.555556,7.000000,0.538462,0.692308,82.000000,0.538462,0.538462,24.000000,0.657895,0.684211,83.000000,0.037037,0.037037,128.000000,0.031847,0.031847,2725.000000,0.428000,0.436000,10388.000000,0.060185,0.060185,212650.000000,0.400000,0.600000,4.000000,0.026667,0.026667,75.000000,0.298913,0.298913,29260.000000,0.396000,0.432000,3649.000000,0.365385,0.500000,1157.000000,0.390000,0.417500,44417.000000,0.327869,0.336066,365.000000,0.736000,1.236000,7802.000000,
0.333333,0.333333,1.000000,0.222222,0.222222,2.000000,0.615385,0.615385,6.000000,0.153846,0.153846,22.000000,0.763158,1.131579,215.000000,0.055556,0.055556,115.000000,0.031847,0.031847,895.000000,0.436000,0.464000,16558.000000,0.041667,0.041667,81515.000000,0.466667,0.666667,7.000000,0.026667,0.026667,90.000000,0.331522,0.347826,158891.000000,0.348000,0.392000,2995.000000,0.384615,0.615385,6136.000000,0.375000,0.397500,35374.000000,0.245902,0.270492,265.000000,0.700000,1.180000,5457.000000,
0.500000,0.500000,1.000000,0.666667,0.666667,13.000000,0.538462,0.538462,9.000000,0.230769,0.230769,78.000000,0.789474,1.184211,58.000000,0.018519,0.018519,195.000000,0.025478,0.025478,852.000000,0.400000,0.412000,15711.000000,0.046296,0.048611,104868.000000,0.466667,0.666667,15.000000,0.013333,0.013333,41.000000,0.336957,0.364130,63658.000000,0.416000,0.444000,5010.000000,0.423077,0.692308,408.000000,0.415000,0.445000,59676.000000,0.245902,0.262295,372.000000,0.740000,1.288000,5671.000000,
0.333333,0.500000,0.000000,0.111111,0.111111,4.000000,0.538462,0.692308,7.000000,0.384615,0.384615,6.000000,0.710526,0.736842,55.000000,0.000000,0.000000,142.000000,0.025478,0.025478,1092.000000,0.388000,0.404000,12561.000000,0.030093,0.030093,80592.000000,0.400000,0.600000,5.000000,0.026667,0.026667,107.000000,0.326087,0.375000,46946.000000,0.396000,0.424000,5991.000000,0.480769,0.711538,1373.000000,0.360000,0.390000,32700.000000,0.278689,0.303279,571.000000,0.700000,1.252000,7472.000000,
0.333333,0.333333,0.000000,0.555556,0.555556,3.000000,0.538462,0.538462,6.000000,0.538462,0.538462,45.000000,0.657895,0.657895,153.000000,0.074074,0.074074,282.000000,0.031847,0.031847,852.000000,0.444000,0.452000,8344.000000,0.034722,0.034722,100400.000000,0.466667,0.600000,14.000000,0.013333,0.013333,104.000000,0.277174,0.309783,26604.000000,0.324000,0.360000,3379.000000,0.346154,0.615385,462.000000,0.385000,0.420000,35866.000000,0.237705,0.237705,298.000000,0.700000,1.264000,6981.000000,
0.333333,0.500000,0.275862,0.444444,0.555556,5.862069,0.538462,0.538462,16.000000,0.307692,0.307692,17.758621,0.605263,0.868421,153.241379,0.055556,0.055556,152.206897,0.038217,0.038217,1983.620690,0.400000,0.404000,11586.517241,0.025463,0.025463,332220.517241,0.400000,0.600000,16.586207,0.040000,0.040000,151.758621,0.277174,0.304348,56038.620690,0.404000,0.436000,4965.517241,0.403846,0.538462,2127.586207,0.385000,0.410000,48272.862069,0.311475,0.336066,586.172414,0.712000,1.264000,6217.137931,
