,contact-lenses,,,pasture,,,squash-stored,,,squash-unstored,,,tae,,,newthyroid,,,balance-scale,,,SWD,,,car,,,bondrate,,,toy,,,eucalyptus,,,LEV,,,automobile,,,winequality-red,,,ESL,,,ERA
MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time
0.333333,0.500000,5.854000,0.000000,0.000000,22.304000,0.307692,0.307692,45.567000,0.307692,0.307692,45.372000,0.447368,0.605263,144.165000,0.018519,0.018519,29.790000,0.031847,0.031847,234.560000,0.428000,0.440000,584.768000,0.013889,0.013889,1829.473000,0.600000,0.533333,69.396000,0.040000,0.053333,43.156000,0.402174,0.445652,5661.736000,0.392000,0.428000,427.961000,0.403846,0.653846,1291.454000,0.402500,0.465000,2237.741000,0.303279,0.327869,700.171000,0.681333,1.174667,736.071000,
0.333333,0.666667,6.200000,0.111111,0.111111,21.700000,0.153846,0.153846,42.340000,0.307692,0.307692,41.327000,0.368421,0.526316,129.979000,0.018519,0.018519,29.068000,0.044586,0.044586,201.395000,0.388000,0.408000,572.630000,0.020833,0.062500,1825.849000,0.466667,0.333333,69.135000,0.093333,0.093333,47.344000,0.434783,0.472826,5651.002000,0.392000,0.416000,444.154000,0.442308,0.500000,1291.047000,0.377500,0.390000,2237.717000,0.336066,0.336066,702.053000,0.704000,1.157333,583.553000,
0.333333,0.500000,5.632000,0.111111,0.333333,20.346000,0.615385,0.615385,47.253000,0.230769,0.153846,42.624000,0.447368,0.500000,123.830000,0.000000,0.000000,28.418000,0.038217,0.038217,195.396000,0.440000,0.464000,370.360000,0.039352,0.048611,1899.260000,0.533333,0.666667,73.263000,0.053333,0.053333,47.644000,0.434783,0.375000,5574.413000,0.396000,0.424000,421.976000,0.307692,0.576923,1294.622000,0.400000,0.425000,2210.751000,0.352459,0.344262,703.654000,0.756000,1.228000,745.817000,
0.166667,0.333333,5.726000,0.222222,0.333333,20.459000,0.307692,0.307692,42.776000,0.153846,0.153846,42.320000,0.500000,0.736842,135.819000,0.037037,0.037037,29.100000,0.025478,0.031847,236.066000,0.432000,0.448000,573.649000,0.027778,0.034722,1693.882000,0.666667,0.800000,78.738000,0.080000,0.080000,50.373000,0.380435,0.434783,5534.812000,0.356000,0.376000,430.689000,0.480769,0.500000,1254.591000,0.375000,0.410000,2282.821000,0.319672,0.286885,688.554000,0.682667,1.150667,686.202000,
0.166667,0.666667,5.554000,0.333333,0.333333,21.854000,0.384615,0.461539,44.621000,0.461538,0.461539,47.990000,0.447368,0.605263,125.886000,0.055556,0.055556,29.309000,0.038217,0.038217,190.495000,0.428000,0.440000,525.875000,0.018519,0.016204,1884.689000,0.400000,0.466667,78.469000,0.040000,0.013333,48.845000,0.380435,0.434783,5641.233000,0.336000,0.376000,437.800000,0.384615,0.461539,1292.048000,0.425000,0.450000,2250.274000,0.286885,0.311475,704.131000,0.728000,1.218667,691.511000,
0.333333,0.333333,6.096000,0.222222,0.222222,21.158000,0.384615,0.384615,48.054000,0.384615,0.384615,41.102000,0.500000,0.657895,155.082000,0.055556,0.055556,28.423000,0.044586,0.050955,189.171000,0.416000,0.448000,377.297000,0.016204,0.030093,1546.991000,0.600000,1.000000,78.445000,0.000000,0.000000,58.219000,0.451087,0.516304,5707.870000,0.364000,0.348000,441.338000,0.326923,0.384615,1272.830000,0.417500,0.450000,2315.673000,0.254098,0.270492,704.971000,0.697333,1.182667,820.203000,
0.166667,0.166667,6.593000,0.222222,0.222222,21.562000,0.384615,0.461539,45.397000,0.307692,0.307692,44.178000,0.394737,0.526316,119.807000,0.037037,0.037037,29.031000,0.057325,0.063694,179.026000,0.392000,0.412000,572.810000,0.039352,0.039352,1966.196000,0.400000,0.466667,76.114000,0.013333,0.013333,58.682000,0.483696,0.500000,5605.029000,0.380000,0.412000,318.086000,0.500000,0.596154,1267.605000,0.430000,0.480000,2236.379000,0.303279,0.352459,703.016000,0.678667,1.206667,583.603000,
0.333333,0.166667,5.840000,0.333333,0.222222,20.381000,0.461538,0.615385,46.964000,0.538462,0.384615,46.632000,0.342105,0.578947,178.800000,0.037037,0.037037,28.370000,0.031847,0.031847,171.692000,0.380000,0.408000,561.718000,0.009259,0.009259,1903.439000,0.466667,0.466667,82.189000,0.106667,0.106667,56.079000,0.380435,0.467391,5628.739000,0.396000,0.428000,316.961000,0.384615,0.461539,1301.430000,0.397500,0.457500,2211.806000,0.303279,0.327869,704.129000,0.726667,1.228000,827.112000,
0.333333,0.333333,5.800000,0.222222,0.222222,22.382000,0.461538,0.461539,44.570000,0.230769,0.230769,46.359000,0.473684,0.631579,119.267000,0.074074,0.074074,26.542000,0.031847,0.031847,184.128000,0.496000,0.524000,568.413000,0.027778,0.027778,1571.545000,0.600000,0.866667,80.978000,0.066667,0.066667,62.741000,0.407609,0.500000,5637.875000,0.336000,0.372000,311.575000,0.346154,0.403846,1318.552000,0.420000,0.422500,2231.723000,0.221311,0.229508,694.025000,0.692000,1.198667,817.615000,
0.333333,0.666667,5.879000,0.000000,0.111111,22.246000,0.461538,0.384615,41.983000,0.538462,0.230769,43.191000,0.421053,0.447368,209.222000,0.018519,0.018519,29.014000,0.031847,0.044586,172.685000,0.404000,0.420000,562.476000,0.020833,0.020833,1671.658000,0.533333,0.533333,85.337000,0.053333,0.053333,55.320000,0.451087,0.494565,5652.101000,0.428000,0.464000,316.007000,0.346154,0.480769,1317.879000,0.380000,0.417500,2231.949000,0.336066,0.360656,698.200000,0.714667,1.154667,682.187000,
