,contact-lenses,,,pasture,,,squash-stored,,,squash-unstored,,,tae,,,newthyroid,,,balance-scale,,,SWD,,,car,,,bondrate,,,toy,,,eucalyptus,,,LEV,,,automobile,,,winequality-red,,,ESL,,,ERA
MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time
0.166667,0.333333,11.361925,0.444444,0.444444,9.645481,0.461538,0.384615,10.425068,0.230769,0.307692,10.393026,0.394737,0.421053,13.585769,0.018519,0.018519,11.029389,0.000000,0.000000,33.753614,0.452000,0.440000,1966.269620,0.013889,0.013889,133.578421,0.400000,0.333333,10.641710,0.026667,0.026667,17.129583,0.364130,0.402174,168.591336,0.344000,0.376000,2884.004017,0.307692,0.423077,19.590138,0.395000,0.455000,331.849647,0.278689,0.278689,55.241065,0.748000,1.208000,8980.329120,
0.333333,0.666667,11.630620,0.222222,0.222222,9.680766,0.384615,0.461538,9.906581,0.076923,0.076923,10.366669,0.263158,0.394737,19.562453,0.000000,0.000000,11.514759,0.000000,0.000000,29.945828,0.396000,0.388000,1555.055259,0.013889,0.013889,134.022567,0.400000,0.466667,12.076048,0.026667,0.026667,17.647214,0.336957,0.391304,221.739204,0.400000,0.440000,3848.663083,0.288462,0.365385,20.684285,0.347500,0.387500,408.202739,0.311475,0.319672,55.545232,0.764000,1.200000,10816.784289,
0.333333,0.333333,11.785038,0.333333,0.333333,9.665045,0.230769,0.230769,10.444963,0.000000,0.000000,10.745552,0.500000,0.578947,22.316729,0.018519,0.018519,11.141018,0.000000,0.000000,30.324512,0.436000,0.468000,2236.605562,0.009259,0.009259,132.798984,0.400000,0.600000,11.253303,0.013333,0.013333,17.579175,0.320652,0.347826,203.452426,0.428000,0.424000,4117.969644,0.307692,0.346154,21.813161,0.332500,0.380000,392.182565,0.278689,0.286885,52.600061,0.712000,1.124000,14270.449572,
0.166667,0.333333,11.285982,0.444444,0.333333,11.135525,0.615385,0.615385,11.297202,0.153846,0.153846,9.859419,0.315789,0.500000,16.072164,0.055556,0.037037,11.397991,0.000000,0.000000,30.670197,0.408000,0.420000,1706.230515,0.013889,0.013889,131.748813,0.400000,0.666667,11.954961,0.013333,0.013333,16.968867,0.347826,0.391304,145.812048,0.352000,0.376000,3327.932811,0.346154,0.403846,21.377989,0.382500,0.402500,375.066120,0.311475,0.311475,55.572402,0.756000,1.320000,8661.655299,
0.333333,0.166667,11.632857,0.333333,0.333333,10.252813,0.307692,0.307692,11.452193,0.230769,0.230769,10.832245,0.473684,0.421053,18.201764,0.037037,0.037037,11.660316,0.006369,0.006369,29.623609,0.432000,0.464000,1795.125103,0.020833,0.020833,132.314262,0.333333,0.600000,11.902295,0.013333,0.013333,17.248288,0.369565,0.396739,175.268713,0.368000,0.400000,3559.753191,0.307692,0.365385,21.554191,0.342500,0.402500,375.837633,0.286885,0.336066,52.313097,0.736000,1.160000,8938.948338,
0.333333,0.500000,10.698216,0.222222,0.333333,9.936190,0.384615,0.307692,10.699434,0.230769,0.153846,10.793096,0.473684,0.500000,16.646909,0.074074,0.018519,11.056565,0.000000,0.000000,30.608789,0.432000,0.448000,1861.480139,0.009259,0.009259,134.085839,0.466667,0.666667,11.990062,0.013333,0.013333,17.184658,0.353261,0.391304,167.387731,0.316000,0.384000,2510.750081,0.230769,0.384615,24.289663,0.380000,0.402500,388.208011,0.196721,0.286885,54.909337,0.744000,1.188000,11149.484230,
0.500000,0.500000,11.847194,0.444444,0.444444,9.715761,0.538462,0.538462,9.867882,0.307692,0.153846,10.131395,0.447368,0.500000,14.510557,0.055556,0.055556,11.369333,0.000000,0.000000,32.332126,0.408000,0.408000,1961.548550,0.013889,0.011574,134.385344,0.466667,0.666667,12.253600,0.026667,0.026667,17.901810,0.402174,0.456522,130.208286,0.360000,0.400000,4654.638652,0.365385,0.576923,23.732957,0.407500,0.442500,340.105257,0.254098,0.278689,51.559756,0.732000,1.212000,8260.681367,
0.333333,0.500000,11.591269,0.333333,0.222222,10.387651,0.461538,0.461538,10.120219,0.461538,0.461538,10.146152,0.263158,0.421053,14.652429,0.000000,0.055556,11.465649,0.000000,0.000000,31.442252,0.400000,0.408000,1747.452057,0.013889,0.013889,132.979190,0.466667,0.600000,12.066588,0.013333,0.013333,17.465641,0.456522,0.385870,205.730039,0.364000,0.396000,3089.105905,0.288462,0.480769,23.261092,0.350000,0.407500,332.974699,0.278689,0.352459,54.351697,0.752000,1.160000,10822.342468,
0.333333,0.333333,10.999445,0.222222,0.222222,9.679892,0.307692,0.307692,10.407050,0.153846,0.153846,10.810668,0.421053,0.473684,30.785873,0.037037,0.037037,11.661396,0.000000,0.000000,34.051251,0.488000,0.496000,2312.477463,0.016204,0.016204,133.946911,0.466667,0.533333,12.271023,0.026667,0.026667,17.792909,0.336957,0.391304,158.238918,0.380000,0.380000,2708.705365,0.403846,0.480769,25.080293,0.355000,0.400000,375.657995,0.221311,0.213115,51.845449,0.728000,1.264000,8661.020306,
0.333333,0.500000,11.171609,0.000000,0.333333,10.327976,0.307692,0.307692,9.965823,0.076923,0.076923,10.363462,0.368421,0.473684,44.901095,0.055556,0.037037,12.444018,0.000000,0.000000,32.231004,0.400000,0.408000,2162.186747,0.006944,0.006944,134.970077,0.400000,0.533333,11.745211,0.026667,0.026667,17.385182,0.353261,0.396739,147.988133,0.404000,0.416000,2406.668403,0.326923,0.346154,22.413895,0.367500,0.397500,348.275662,0.336066,0.377049,51.023369,0.784000,1.296000,8538.604436,
