,contact-lenses,,,pasture,,,squash-stored,,,squash-unstored,,,tae,,,newthyroid,,,balance-scale,,,SWD,,,car,,,bondrate,,,toy,,,eucalyptus,,,LEV,,,automobile,,,winequality-red,,,ESL,,,ERA
MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time
0.333333,0.333333,10.018520,0.222222,0.222222,18.166582,0.615385,0.461538,20.500454,0.230769,0.307692,12.775005,0.447368,0.500000,17.065359,0.037037,0.055556,19.718369,0.038217,0.038217,27.506773,0.384000,0.404000,64.706266,0.006944,0.002315,225.814934,0.400000,0.600000,10.387963,0.040000,0.053333,18.449522,0.429348,0.505435,175.258089,0.356000,0.416000,56.362720,0.250000,0.365385,21.882076,0.375000,0.415000,245.330167,0.327869,0.368852,26.631254,0.808000,1.876000,68.066764,
0.500000,0.500000,10.069461,0.333333,0.333333,14.735407,0.230769,0.307692,14.603473,0.230769,0.153846,13.205429,0.368421,0.552632,13.879814,0.000000,0.000000,18.219314,0.050955,0.038217,26.832572,0.404000,0.480000,62.612964,0.006944,0.004630,223.405447,0.400000,0.466667,10.700487,0.080000,0.080000,17.451351,0.423913,0.500000,160.906954,0.380000,0.400000,57.067692,0.250000,0.403846,21.763185,0.355000,0.410000,246.124650,0.303279,0.319672,25.912664,0.800000,1.828000,71.513515,
0.166667,0.333333,9.958174,0.444444,0.333333,20.294630,0.615385,0.384615,13.623263,0.076923,0.076923,14.985427,0.421053,0.500000,15.711580,0.037037,0.018519,22.112009,0.031847,0.006369,27.283001,0.468000,0.548000,56.489941,0.013889,0.013889,223.761214,0.400000,0.533333,10.617864,0.066667,0.053333,17.738840,0.451087,0.510870,161.231639,0.388000,0.444000,57.122328,0.173077,0.250000,21.826889,0.337500,0.407500,242.866543,0.368852,0.450820,26.987215,0.812000,2.044000,68.049197,
0.166667,0.333333,10.095269,0.333333,0.333333,13.486597,0.384615,0.538462,15.014859,0.307692,0.230769,11.048341,0.447368,0.578947,14.210330,0.111111,0.037037,21.404880,0.019108,0.019108,27.123277,0.460000,0.508000,57.691515,0.023148,0.020833,224.819403,0.400000,0.400000,10.486497,0.053333,0.053333,18.006216,0.500000,0.472826,161.557189,0.332000,0.352000,55.500135,0.230769,0.307692,21.795938,0.357500,0.417500,240.604984,0.319672,0.319672,27.083755,0.840000,1.912000,70.379426,
0.333333,0.333333,9.894857,0.333333,0.333333,11.920070,0.307692,0.615385,12.123853,0.384615,0.384615,12.795579,0.447368,0.578947,14.102063,0.055556,0.018519,22.572191,0.038217,0.038217,27.850230,0.424000,0.472000,62.367684,0.011574,0.011574,224.286284,0.600000,0.400000,10.697291,0.040000,0.040000,17.342730,0.467391,0.467391,161.151878,0.328000,0.348000,56.225256,0.288462,0.423077,21.934150,0.345000,0.402500,245.007592,0.311475,0.352459,26.325309,0.836000,2.224000,70.589148,
0.166667,0.500000,9.982475,0.333333,0.333333,11.792176,0.153846,0.384615,14.886464,0.230769,0.230769,12.588346,0.447368,0.526316,14.565034,0.092593,0.037037,21.647179,0.038217,0.025478,27.180383,0.452000,0.480000,57.679925,0.011574,0.011574,224.037311,0.466667,0.666667,10.443063,0.026667,0.040000,19.227035,0.461957,0.538043,160.936783,0.336000,0.376000,59.294966,0.288462,0.480769,21.958880,0.345000,0.397500,250.721052,0.303279,0.311475,27.235351,0.800000,2.188000,67.743686,
0.166667,0.500000,9.983891,0.333333,0.333333,16.420828,0.538462,0.615385,15.286019,0.000000,0.000000,15.504117,0.421053,0.394737,15.474667,0.018519,0.037037,18.950948,0.038217,0.031847,27.005907,0.440000,0.444000,58.235952,0.016204,0.018519,224.478141,0.466667,0.666667,10.381678,0.053333,0.026667,18.565391,0.434783,0.521739,159.966595,0.404000,0.436000,56.889378,0.307692,0.500000,21.458545,0.412500,0.465000,244.294820,0.295082,0.327869,26.797761,0.820000,1.864000,72.544325,
0.166667,0.333333,9.825407,0.333333,0.222222,20.588356,0.538462,0.692308,13.953638,0.769231,0.846154,12.368630,0.394737,0.500000,14.874154,0.018519,0.111111,17.083050,0.031847,0.025478,27.452029,0.424000,0.452000,59.531198,0.011574,0.011574,223.525769,0.400000,0.600000,10.359949,0.053333,0.053333,19.088168,0.407609,0.494565,162.375758,0.360000,0.396000,57.723509,0.288462,0.250000,21.910998,0.362500,0.392500,250.729671,0.295082,0.327869,27.228411,0.800000,2.000000,71.590716,
0.333333,0.333333,9.912632,0.444444,0.333333,12.857343,0.384615,0.461538,17.274743,0.153846,0.153846,14.784273,0.500000,0.473684,15.559966,0.055556,0.055556,23.714487,0.025478,0.031847,27.404807,0.476000,0.528000,60.826357,0.025463,0.027778,224.233249,0.400000,0.600000,10.730685,0.026667,0.026667,18.120399,0.467391,0.559783,161.038399,0.356000,0.396000,54.771991,0.288462,0.557692,21.530283,0.342500,0.410000,248.036716,0.278689,0.319672,27.317931,0.792000,1.964000,66.710686,
0.333333,0.666667,9.882399,0.222222,0.222222,13.129129,0.461538,0.692308,15.840575,0.230769,0.307692,14.533318,0.394737,0.421053,14.266807,0.074074,0.074074,18.624749,0.031847,0.031847,27.388366,0.440000,0.436000,58.929097,0.006944,0.006944,224.570890,0.400000,0.533333,10.467830,0.066667,0.066667,19.034350,0.451087,0.489130,161.648293,0.380000,0.420000,55.971474,0.288462,0.423077,21.859878,0.360000,0.407500,249.901159,0.319672,0.344262,26.581436,0.800000,2.084000,67.346479,
