,contact-lenses,,,pasture,,,squash-stored,,,squash-unstored,,,tae,,,newthyroid,,,balance-scale,,,SWD,,,car,,,bondrate,,,toy,,,eucalyptus,,,LEV,,,automobile,,,winequality-red,,,ESL,,,ERA
MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time
0.333333,0.333333,0.457171,0.333333,0.333333,0.980561,0.461538,0.461538,0.581199,0.230769,0.307692,0.530816,0.394737,0.421053,13.457201,0.018519,0.018519,1.893995,0.000000,0.000000,19.274763,0.464000,0.472000,901.467667,0.013889,0.013889,554.014243,0.400000,0.600000,0.648613,0.013333,0.013333,15.847082,0.364130,0.402174,109.221336,0.368000,0.376000,1071.609022,0.307692,0.423077,8.522519,0.392500,0.442500,2449.645826,0.286885,0.311475,191.230154,0.760000,1.224000,4502.047966,
0.333333,0.666667,0.459620,0.222222,0.222222,0.535057,0.384615,0.384615,0.559826,0.076923,0.076923,0.537159,0.263158,0.447368,15.655046,0.000000,0.000000,1.541006,0.000000,0.000000,19.629952,0.420000,0.440000,814.109673,0.016204,0.016204,291.899194,0.400000,0.400000,0.675372,0.026667,0.026667,16.358034,0.331522,0.364130,105.010179,0.400000,0.428000,1043.800529,0.326923,0.365385,9.550756,0.347500,0.387500,1298.211053,0.344262,0.303279,180.180378,0.764000,1.244000,3825.389336,
0.166667,0.333333,0.476879,0.333333,0.333333,0.534395,0.230769,0.230769,0.565212,0.000000,0.000000,0.553188,0.473684,0.578947,12.459165,0.018519,0.018519,1.501304,0.000000,0.000000,20.337918,0.444000,0.488000,963.659043,0.009259,0.009259,575.505069,0.400000,0.600000,0.630364,0.000000,0.000000,14.843786,0.320652,0.347826,107.738397,0.428000,0.460000,1071.423676,0.307692,0.346154,10.010199,0.332500,0.397500,2594.854211,0.295082,0.295082,160.696051,0.700000,1.128000,4503.692495,
0.333333,0.333333,0.439653,0.444444,0.444444,0.465461,0.615385,0.615385,0.545409,0.153846,0.153846,0.536459,0.315789,0.447368,12.411813,0.055556,0.055556,1.477298,0.000000,0.000000,19.803116,0.408000,0.428000,974.093944,0.018519,0.018519,291.558317,0.400000,0.666667,0.617280,0.000000,0.000000,15.845163,0.331522,0.380435,110.188246,0.348000,0.376000,1041.968631,0.307692,0.346154,9.208110,0.380000,0.420000,1144.694366,0.295082,0.262295,183.856327,0.784000,1.296000,4249.909540,
0.333333,0.500000,0.442331,0.333333,0.333333,0.463226,0.307692,0.307692,0.567152,0.230769,0.230769,0.555340,0.473684,0.552632,14.723101,0.037037,0.037037,1.472225,0.012739,0.012739,19.686338,0.424000,0.436000,2374.782656,0.020833,0.020833,290.261449,0.333333,0.466667,0.623882,0.013333,0.013333,16.856389,0.364130,0.391304,105.709226,0.392000,0.424000,1127.852835,0.307692,0.365385,9.250625,0.342500,0.375000,1154.049471,0.270492,0.295082,182.472189,0.740000,1.200000,4466.645124,
0.333333,0.333333,0.448953,0.222222,0.222222,0.472156,0.384615,0.461538,0.539954,0.230769,0.230769,0.559744,0.473684,0.526316,13.422757,0.074074,0.074074,1.546947,0.000000,0.000000,19.685415,0.432000,0.448000,918.884033,0.006944,0.006944,285.136706,0.466667,0.600000,0.636796,0.000000,0.000000,16.583356,0.347826,0.423913,111.362797,0.352000,0.388000,1195.258891,0.250000,0.288462,8.423349,0.380000,0.395000,1256.923571,0.245902,0.336066,180.256661,0.740000,1.172000,4523.483444,
0.500000,0.500000,0.458275,0.444444,0.444444,0.463386,0.538462,0.538462,0.558562,0.307692,0.307692,1.215046,0.500000,0.526316,14.462751,0.055556,0.055556,1.497463,0.000000,0.000000,19.481472,0.420000,0.436000,895.622914,0.011574,0.011574,290.524852,0.466667,0.666667,0.632731,0.013333,0.013333,15.878106,0.402174,0.456522,100.906923,0.360000,0.392000,1147.357366,0.461538,0.500000,9.144027,0.415000,0.450000,969.249970,0.262295,0.270492,307.478570,0.724000,1.200000,4384.167863,
0.333333,0.500000,0.459532,0.333333,0.333333,0.480244,0.461538,0.461538,0.558303,0.461538,0.461538,0.542602,0.289474,0.368421,15.988978,0.037037,0.037037,1.476116,0.000000,0.000000,20.028922,0.400000,0.408000,1002.223401,0.013889,0.013889,289.726025,0.466667,0.666667,0.622900,0.013333,0.013333,15.825025,0.434783,0.413043,101.707554,0.364000,0.400000,1105.458578,0.288462,0.461538,9.062127,0.362500,0.405000,1040.750855,0.311475,0.336066,176.693298,0.756000,1.216000,4440.780833,
0.166667,0.333333,0.435834,0.222222,0.222222,0.472697,0.230769,0.230769,0.565698,0.153846,0.153846,0.547357,0.473684,0.447368,15.710136,0.037037,0.037037,1.561595,0.000000,0.000000,19.834314,0.476000,0.492000,886.591521,0.027778,0.027778,292.898211,0.533333,0.466667,0.672439,0.013333,0.013333,16.500521,0.336957,0.391304,102.766971,0.380000,0.428000,1092.667971,0.346154,0.480769,9.988815,0.355000,0.400000,1163.278559,0.229508,0.229508,182.916948,0.716000,1.200000,4609.632620,
0.500000,0.500000,0.442182,0.333333,0.333333,0.471819,0.307692,0.307692,0.563642,0.076923,0.076923,0.539672,0.368421,0.421053,12.979198,0.055556,0.055556,1.516443,0.000000,0.000000,19.725940,0.400000,0.408000,1054.393706,0.009259,0.009259,289.418159,0.400000,0.533333,0.630181,0.026667,0.026667,15.725568,0.358696,0.391304,111.749046,0.404000,0.428000,876.833739,0.346154,0.403846,9.972062,0.380000,0.400000,1254.450924,0.303279,0.327869,172.490474,0.788000,1.256000,4379.041800,
0.333333,0.500000,0.432841,0.333333,0.333333,0.482587,0.384615,0.384615,0.561275,0.307692,0.307692,0.539179,0.421053,0.500000,16.223470,0.037037,0.037037,1.515656,0.000000,0.000000,19.481447,0.424000,0.460000,890.633578,0.016204,0.016204,289.920602,0.400000,0.600000,0.651540,0.000000,0.000000,15.686076,0.413043,0.440217,103.708012,0.408000,0.444000,910.592893,0.519231,0.461538,9.548246,0.357500,0.400000,989.394862,0.278689,0.295082,166.242376,0.732000,1.228000,4009.159912,
0.333333,0.500000,0.452193,0.333333,0.333333,0.476523,0.384615,0.384615,1.243328,0.307692,0.307692,0.539518,0.473684,0.447368,13.597456,0.037037,0.037037,1.496648,0.000000,0.000000,19.888518,0.492000,0.512000,2155.870700,0.016204,0.016204,290.768153,0.533333,0.533333,1.669596,0.013333,0.013333,16.190420,0.380435,0.407609,112.921452,0.368000,0.396000,990.046186,0.384615,0.692308,9.582080,0.372500,0.412500,1302.179007,0.245902,0.254098,181.425984,0.740000,1.208000,4422.867487,
0.500000,0.666667,0.472546,0.444444,0.444444,0.473280,0.307692,0.307692,0.558554,0.153846,0.153846,0.554840,0.473684,0.473684,15.038374,0.055556,0.055556,1.517864,0.000000,0.000000,19.744907,0.420000,0.424000,932.358611,0.006944,0.006944,293.530879,0.400000,0.600000,1.212896,0.026667,0.026667,16.508695,0.336957,0.369565,106.204777,0.372000,0.420000,1059.712489,0.384615,0.480769,7.737226,0.385000,0.430000,1036.144666,0.295082,0.295082,175.043446,0.736000,1.180000,7621.885253,
0.333333,0.666667,0.411015,0.333333,0.333333,0.465348,0.307692,0.307692,0.546497,0.307692,0.307692,0.552629,0.394737,0.394737,11.895575,0.018519,0.018519,1.509135,0.025478,0.025478,19.465608,0.388000,0.424000,941.803881,0.009259,0.009259,516.778123,0.400000,0.600000,1.626186,0.053333,0.053333,16.157297,0.353261,0.407609,105.045777,0.364000,0.400000,981.812919,0.307692,0.346154,9.477208,0.365000,0.432500,1116.852166,0.311475,0.311475,170.758322,0.780000,1.272000,4106.388566,
0.333333,0.333333,0.433657,0.111111,0.111111,0.474085,0.692308,0.692308,0.551511,0.384615,0.384615,0.549528,0.447368,0.526316,13.541139,0.037037,0.037037,2.065574,0.006369,0.006369,19.995176,0.404000,0.416000,1004.951645,0.018519,0.018519,288.410938,0.533333,0.666667,1.651295,0.026667,0.026667,16.023565,0.358696,0.385870,110.655402,0.380000,0.416000,995.976175,0.288462,0.307692,10.008127,0.390000,0.427500,1056.766045,0.278689,0.278689,168.010591,0.744000,1.228000,4366.404593,
0.500000,0.666667,0.448433,0.333333,0.333333,0.495847,0.307692,0.307692,0.561563,0.307692,0.307692,0.554039,0.394737,0.368421,12.777178,0.055556,0.055556,1.489973,0.000000,0.000000,19.551753,0.444000,0.488000,2216.404698,0.009259,0.009259,233.885925,0.466667,0.666667,1.574066,0.013333,0.013333,16.755280,0.342391,0.385870,108.002697,0.392000,0.420000,983.917285,0.307692,0.365385,10.107855,0.427500,0.457500,963.617151,0.278689,0.278689,181.065589,0.748000,1.168000,7629.892089,
0.500000,0.666667,0.941756,0.333333,0.333333,0.465899,0.307692,0.307692,0.564480,0.461538,0.461538,0.553077,0.421053,0.526316,11.326094,0.074074,0.074074,1.468623,0.000000,0.000000,19.746541,0.428000,0.440000,2271.758650,0.013889,0.013889,283.805680,0.400000,0.600000,1.327937,0.040000,0.040000,15.738974,0.331522,0.353261,105.969578,0.376000,0.400000,1022.073175,0.365385,0.403846,8.981750,0.380000,0.437500,1197.685699,0.270492,0.286885,173.534810,0.760000,1.216000,4392.384556,
0.500000,0.666667,0.437811,0.333333,0.333333,0.465135,0.461538,0.461538,0.563625,0.230769,0.230769,0.533449,0.342105,0.473684,13.729374,0.018519,0.018519,1.918014,0.000000,0.000000,19.563362,0.384000,0.392000,977.871679,0.004630,0.004630,561.794992,0.400000,0.600000,0.647967,0.013333,0.013333,16.576925,0.358696,0.418478,106.490372,0.380000,0.408000,1082.389567,0.307692,0.365385,9.948200,0.375000,0.420000,2677.159206,0.278689,0.286885,174.174080,0.764000,1.240000,4260.528618,
0.333333,0.500000,0.408004,0.333333,0.333333,0.467408,0.153846,0.153846,0.549549,0.461538,0.461538,0.536988,0.421053,0.578947,11.841727,0.037037,0.037037,1.518721,0.000000,0.000000,19.971756,0.472000,0.476000,827.377349,0.013889,0.013889,569.841444,0.400000,0.600000,0.670183,0.026667,0.026667,16.136624,0.402174,0.391304,101.919527,0.396000,0.444000,1020.045828,0.288462,0.403846,8.900081,0.347500,0.440000,2537.737331,0.286885,0.295082,185.362538,0.772000,1.232000,4158.747517,
0.166667,0.333333,0.896250,0.222222,0.222222,0.468216,0.461538,0.461538,0.560780,0.384615,0.384615,0.563189,0.315789,0.342105,15.415307,0.092593,0.092593,1.503726,0.000000,0.000000,19.580804,0.440000,0.460000,820.304352,0.013889,0.013889,565.082985,0.533333,0.666667,0.648870,0.026667,0.026667,15.679144,0.326087,0.364130,105.369151,0.376000,0.424000,1085.304717,0.384615,0.480769,9.212009,0.385000,0.417500,2445.442587,0.319672,0.344262,160.125169,0.776000,1.200000,4372.229912,
0.333333,0.666667,0.439903,0.444444,0.444444,0.481141,0.230769,0.230769,0.576775,0.307692,0.307692,0.565633,0.447368,0.447368,14.222536,0.018519,0.018519,1.489968,0.000000,0.000000,19.864505,0.408000,0.436000,877.351703,0.009259,0.009259,578.997255,0.333333,0.466667,0.693415,0.040000,0.040000,15.872128,0.375000,0.396739,107.275529,0.388000,0.436000,1056.397637,0.288462,0.384615,8.918343,0.380000,0.425000,2461.797423,0.303279,0.336066,166.858670,0.764000,1.216000,4666.340038,
0.500000,0.666667,0.640573,0.444444,0.444444,0.473801,0.307692,0.307692,0.547643,0.307692,0.307692,0.598426,0.315789,0.368421,14.507148,0.000000,0.000000,1.517689,0.000000,0.012739,19.744253,0.420000,0.428000,923.213250,0.004630,0.004630,565.143020,0.600000,0.666667,0.646111,0.013333,0.013333,15.788945,0.423913,0.451087,108.954602,0.368000,0.420000,1021.282918,0.192308,0.269231,8.568873,0.355000,0.465000,2568.822343,0.295082,0.311475,279.312649,0.764000,1.188000,4297.523476,
0.333333,0.166667,0.444339,0.222222,0.222222,0.543684,0.538462,0.538462,1.213724,0.230769,0.230769,0.563273,0.447368,0.500000,12.516097,0.018519,0.018519,1.503015,0.000000,0.000000,20.089619,0.448000,0.492000,997.018036,0.006944,0.006944,559.792167,0.533333,0.666667,0.654815,0.026667,0.026667,16.218559,0.391304,0.423913,101.860631,0.376000,0.408000,1133.469370,0.269231,0.365385,10.141841,0.365000,0.420000,2659.408733,0.237705,0.245902,369.899401,0.736000,1.224000,4420.674192,
0.500000,0.500000,0.414882,0.222222,0.222222,0.509165,0.538462,0.615385,0.548314,0.307692,0.307692,0.557301,0.289474,0.552632,15.040361,0.000000,0.000000,1.947637,0.000000,0.000000,19.925021,0.444000,0.464000,834.497463,0.004630,0.004630,292.600582,0.333333,0.466667,0.619938,0.040000,0.040000,16.180016,0.320652,0.342391,109.738621,0.380000,0.392000,1029.768155,0.326923,0.346154,10.808076,0.370000,0.415000,1122.342168,0.286885,0.295082,171.993145,0.732000,1.232000,4043.299588,
0.500000,0.500000,0.455071,0.222222,0.222222,0.475683,0.230769,0.230769,0.556295,0.153846,0.153846,0.532801,0.394737,0.500000,11.721489,0.018519,0.018519,1.530557,0.000000,0.000000,19.722352,0.468000,0.480000,843.254770,0.018519,0.018519,290.430174,0.466667,0.600000,0.621655,0.026667,0.026667,16.136149,0.353261,0.375000,113.385822,0.404000,0.452000,991.720936,0.288462,0.423077,8.015578,0.362500,0.420000,1081.555095,0.360656,0.385246,177.771921,0.732000,1.184000,4540.632545,
0.666667,1.000000,1.088581,0.777778,0.777778,0.480309,0.307692,0.307692,0.590286,0.307692,0.307692,0.617059,0.368421,0.447368,12.421219,0.000000,0.000000,1.533608,0.019108,0.019108,19.390149,0.464000,0.468000,899.936517,0.013889,0.013889,288.270656,0.600000,0.733333,0.634620,0.026667,0.026667,16.278495,0.336957,0.353261,108.668487,0.396000,0.400000,1067.457917,0.307692,0.403846,8.939377,0.387500,0.425000,1086.208465,0.278689,0.286885,160.769898,0.764000,1.256000,4552.683769,
0.333333,0.333333,0.753540,0.444444,0.444444,0.504923,0.384615,0.384615,0.567268,0.230769,0.230769,0.586503,0.447368,0.473684,12.281559,0.018519,0.018519,1.924303,0.000000,0.000000,20.071898,0.428000,0.444000,959.588089,0.004630,0.004630,289.929019,0.466667,0.733333,0.635052,0.013333,0.013333,16.059216,0.298913,0.336957,102.271690,0.372000,0.400000,1207.397359,0.250000,0.269231,8.376888,0.357500,0.410000,1288.949163,0.262295,0.286885,192.004850,0.752000,1.168000,3742.834608,
0.333333,0.666667,0.431227,0.333333,0.333333,0.530708,0.384615,0.384615,0.570925,0.307692,0.307692,0.550996,0.368421,0.526316,14.424009,0.037037,0.037037,1.952966,0.000000,0.000000,19.541824,0.420000,0.456000,939.458931,0.013889,0.013889,294.265380,0.466667,0.733333,0.620872,0.000000,0.000000,16.057807,0.369565,0.396739,112.223453,0.372000,0.408000,1081.202692,0.230769,0.346154,8.644827,0.387500,0.427500,1166.727520,0.303279,0.336066,176.883657,0.752000,1.176000,4219.654601,
0.500000,0.500000,0.453662,0.444444,0.444444,0.490506,0.384615,0.384615,0.543410,0.307692,0.307692,0.542477,0.289474,0.368421,13.933132,0.037037,0.037037,1.881002,0.000000,0.000000,19.885452,0.412000,0.428000,869.967105,0.013889,0.013889,284.156983,0.533333,0.666667,0.610575,0.040000,0.040000,15.956952,0.375000,0.407609,105.374148,0.364000,0.392000,1145.253298,0.288462,0.326923,8.868271,0.377500,0.425000,1030.149417,0.213115,0.254098,165.332200,0.744000,1.224000,3861.905392,
0.333333,0.666667,0.466344,0.444444,0.444444,0.487016,0.153846,0.307692,0.549157,0.384615,0.384615,0.567405,0.526316,0.526316,12.717670,0.018519,0.018519,1.532343,0.000000,0.000000,20.003820,0.444000,0.472000,890.500313,0.011574,0.011574,277.369745,0.466667,0.733333,0.628665,0.026667,0.026667,16.219702,0.391304,0.423913,105.220952,0.360000,0.392000,1069.522896,0.461538,0.423077,9.080334,0.372500,0.402500,1215.473618,0.303279,0.319672,163.588738,0.772000,1.240000,4002.025365,
