,contact-lenses,,,pasture,,,squash-stored,,,squash-unstored,,,tae,,,newthyroid,,,balance-scale,,,SWD,,,car,,,bondrate,,,toy,,,eucalyptus,,,LEV,,,automobile,,,winequality-red,,,ESL,,,ERA
MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time
0.333333,0.333333,40.993504,0.333333,0.333333,47.783500,0.461538,0.461538,49.139070,0.230769,0.230769,49.342839,0.394737,0.473684,49.652486,0.055556,0.055556,57.796234,0.152866,0.152866,165.200082,0.440000,0.492000,135.326711,0.020833,0.020833,1749.584586,0.400000,0.400000,48.781255,0.026667,0.026667,83.122786,0.369565,0.423913,205.650794,0.360000,0.424000,172.642589,0.326923,0.442308,55.390761,0.385000,0.430000,583.470920,0.270492,0.286885,98.959564,0.784000,1.340000,127.428555,
0.333333,0.666667,43.271261,0.333333,0.333333,46.571652,0.461538,0.461538,50.634212,0.076923,0.076923,51.066221,0.368421,0.394737,50.205621,0.018519,0.018519,62.699762,0.184713,0.216561,172.097930,0.404000,0.428000,131.928688,0.030093,0.030093,1732.950895,0.400000,0.466667,48.411846,0.053333,0.026667,79.700312,0.320652,0.336957,203.763333,0.404000,0.412000,168.367452,0.307692,0.326923,55.845743,0.347500,0.377500,591.947754,0.286885,0.286885,106.333705,0.764000,1.220000,128.084562,
0.333333,0.333333,43.827126,0.111111,0.111111,47.987356,0.384615,0.384615,48.838623,0.153846,0.230769,48.331953,0.447368,0.552632,52.641860,0.037037,0.037037,59.517699,0.140127,0.133758,161.025376,0.468000,0.480000,133.844960,0.018519,0.018519,1800.184803,0.533333,0.600000,47.044409,0.093333,0.053333,85.048409,0.347826,0.364130,197.065858,0.392000,0.424000,173.840146,0.288462,0.365385,55.147654,0.335000,0.397500,586.763835,0.319672,0.303279,102.804172,0.684000,1.116000,125.320248,
0.333333,0.333333,45.642052,0.444444,0.333333,48.130652,0.538462,0.538462,48.796811,0.153846,0.153846,49.175632,0.342105,0.578947,52.098814,0.018519,0.037037,62.681094,0.140127,0.140127,162.043133,0.436000,0.448000,135.427817,0.027778,0.027778,1867.637801,0.533333,0.600000,44.703110,0.120000,0.120000,81.055437,0.326087,0.375000,204.487892,0.332000,0.380000,162.445079,0.326923,0.250000,74.934222,0.380000,0.407500,579.497146,0.286885,0.278689,101.351570,0.756000,1.268000,128.803263,
0.333333,0.166667,42.185688,0.333333,0.444444,48.592630,0.384615,0.307692,49.693027,0.230769,0.153846,47.369877,0.368421,0.421053,49.909298,0.018519,0.018519,63.639432,0.191083,0.184713,167.951186,0.428000,0.436000,134.336259,0.025463,0.025463,1843.728306,0.400000,0.533333,46.666754,0.013333,0.026667,83.170782,0.331522,0.375000,202.267801,0.384000,0.428000,168.970457,0.307692,0.365385,73.254927,0.367500,0.402500,586.226488,0.262295,0.336066,99.764934,0.756000,1.196000,124.885296,
0.333333,0.333333,46.443880,0.333333,0.222222,46.653820,0.307692,0.384615,48.699003,0.307692,0.230769,49.050227,0.421053,0.473684,51.055145,0.055556,0.074074,62.525949,0.210191,0.210191,167.583429,0.452000,0.444000,132.607589,0.027778,0.027778,1855.331573,0.533333,0.666667,49.576313,0.093333,0.040000,80.239982,0.380435,0.456522,200.456887,0.328000,0.388000,164.554286,0.269231,0.384615,58.416718,0.387500,0.405000,584.155557,0.295082,0.311475,100.712590,0.732000,1.144000,125.036814,
0.500000,0.500000,46.591621,0.444444,0.333333,49.190688,0.615385,0.615385,48.676167,0.307692,0.153846,47.860397,0.447368,0.500000,51.653417,0.037037,0.037037,63.667668,0.191083,0.191083,166.272491,0.396000,0.416000,132.665510,0.025463,0.025463,2001.169872,0.466667,0.733333,49.605993,0.040000,0.053333,83.000393,0.429348,0.489130,208.864536,0.356000,0.380000,160.288968,0.403846,0.519231,58.703690,0.400000,0.442500,600.745599,0.254098,0.303279,100.278466,0.768000,1.236000,130.104999,
0.333333,0.500000,46.231702,0.222222,0.222222,48.605834,0.461538,0.461538,48.650919,0.384615,0.461538,49.162522,0.342105,0.500000,52.624241,0.055556,0.074074,62.332707,0.127389,0.127389,159.188974,0.428000,0.400000,132.093575,0.025463,0.025463,1801.991567,0.466667,0.666667,46.722429,0.106667,0.106667,85.548565,0.326087,0.413043,209.057184,0.368000,0.408000,170.442026,0.307692,0.346154,56.713499,0.347500,0.397500,598.291402,0.327869,0.327869,110.525935,0.728000,1.192000,128.045168,
0.166667,0.333333,42.308465,0.333333,0.333333,48.551545,0.384615,0.230769,49.621637,0.230769,0.230769,49.603267,0.473684,0.526316,52.759247,0.037037,0.055556,63.297666,0.121019,0.121019,168.882035,0.472000,0.440000,138.198771,0.020833,0.020833,1797.352171,0.466667,0.533333,44.856320,0.066667,0.066667,82.832837,0.336957,0.396739,206.651616,0.360000,0.376000,169.274270,0.384615,0.461538,58.493628,0.362500,0.410000,607.532943,0.229508,0.229508,99.731339,0.736000,1.224000,125.743087,
0.333333,0.333333,43.203246,0.333333,0.444444,49.221283,0.384615,0.384615,49.636636,0.076923,0.153846,46.743233,0.368421,0.473684,52.792002,0.074074,0.055556,65.563614,0.146497,0.146497,174.940605,0.396000,0.404000,135.332165,0.030093,0.030093,2014.465889,0.466667,0.533333,49.751125,0.080000,0.080000,78.714011,0.391304,0.440217,207.196908,0.376000,0.400000,172.950935,0.365385,0.423077,53.258297,0.387500,0.417500,597.781389,0.327869,0.377049,99.439024,0.784000,1.308000,126.499163,
0.333333,0.333333,44.370291,0.333333,0.333333,46.743980,0.384615,0.307692,48.116608,0.384615,0.153846,50.274898,0.447368,0.473684,51.553708,0.018519,0.018519,65.010998,0.140127,0.140127,172.798795,0.424000,0.504000,134.158672,0.027778,0.027778,1955.340754,0.400000,0.600000,50.168670,0.026667,0.026667,80.014577,0.380435,0.413043,206.303405,0.436000,0.428000,175.150131,0.365385,0.403846,55.042537,0.357500,0.417500,588.569514,0.270492,0.303279,103.566439,0.760000,1.292000,124.385969,
0.333333,0.333333,46.202577,0.333333,0.222222,49.695418,0.307692,0.384615,49.083273,0.230769,0.153846,46.402862,0.342105,0.473684,50.385632,0.074074,0.074074,62.861465,0.178344,0.178344,164.730506,0.492000,0.512000,134.975452,0.027778,0.027778,2007.827968,0.533333,0.666667,48.147756,0.040000,0.040000,82.881159,0.396739,0.451087,202.050021,0.368000,0.400000,168.420794,0.576923,0.673077,55.465342,0.377500,0.417500,598.414155,0.237705,0.295082,99.999368,0.760000,1.148000,128.469575,
0.166667,0.166667,44.719669,0.333333,0.222222,47.067062,0.384615,0.384615,47.183910,0.153846,0.384615,47.359579,0.368421,0.473684,49.885983,0.092593,0.055556,65.743148,0.178344,0.178344,315.196605,0.424000,0.440000,138.869828,0.030093,0.030093,2039.898900,0.400000,0.600000,46.127702,0.040000,0.040000,77.920761,0.342391,0.375000,205.203595,0.372000,0.400000,179.415330,0.288462,0.403846,55.344827,0.380000,0.430000,590.251562,0.336066,0.270492,111.391422,0.752000,1.164000,125.291334,
0.333333,0.500000,46.525004,0.333333,0.333333,49.070746,0.307692,0.307692,50.388389,0.384615,0.384615,46.535805,0.315789,0.394737,50.884260,0.037037,0.037037,63.715560,0.203822,0.191083,167.663667,0.412000,0.448000,135.155054,0.018519,0.018519,1868.542864,0.333333,0.866667,47.642248,0.040000,0.040000,80.165440,0.380435,0.396739,206.861403,0.368000,0.404000,175.298821,0.326923,0.384615,54.887055,0.370000,0.430000,600.738950,0.295082,0.336066,101.648525,0.752000,1.228000,127.551833,
0.333333,0.333333,45.934029,0.111111,0.111111,49.202324,0.615385,0.538462,49.647885,0.384615,0.307692,49.018204,0.552632,0.526316,50.865386,0.037037,0.092593,67.045617,0.210191,0.210191,176.326915,0.380000,0.412000,135.155589,0.027778,0.027778,1845.067794,0.400000,0.600000,42.410354,0.026667,0.026667,79.141302,0.358696,0.402174,201.522320,0.388000,0.404000,168.059366,0.307692,0.346154,55.680745,0.370000,0.405000,589.616481,0.311475,0.319672,106.757786,0.756000,1.252000,128.635016,
0.500000,0.166667,42.223543,0.111111,0.333333,49.160414,0.307692,0.230769,50.524778,0.384615,0.230769,48.566122,0.236842,0.368421,48.990678,0.037037,0.037037,64.657706,0.152866,0.152866,170.386771,0.448000,0.452000,138.717109,0.027778,0.027778,1794.788013,0.400000,0.533333,45.341012,0.093333,0.066667,81.154649,0.315217,0.413043,201.094558,0.384000,0.412000,176.525768,0.250000,0.346154,54.795837,0.417500,0.442500,583.039132,0.286885,0.295082,104.614067,0.732000,1.172000,128.143510,
