Dataset,MZE,MAE,Time
contact-lenses,0.5111110666666667,0.2758620666666667,0.4777777333333334
pasture,0.48888886666666675,5.8620689666666665,0.5487182999999999
squash-stored,0.6256413000000001,16.0,0.35641023333333344
squash-unstored,0.35641023333333344,17.758620699999998,0.6719300333333333
tae,0.8614035666666666,153.2413793,0.03395083333333333
newthyroid,0.03395083333333333,152.20689656666667,0.03418263333333333
balance-scale,0.03418263333333333,1983.6206896666665,0.4222666666666666
SWD,0.4401333333333334,11586.517241366666,0.03711416666666666
car,0.03757716666666667,332220.51724136673,0.42222233333333326
bondrate,0.6244444333333334,16.5862069,0.04622226666666667
toy,0.04622226666666667,151.7586207,0.31449279999999996
eucalyptus,0.33097816666666663,56038.62068966667,0.3877333333333334
LEV,0.4218666666666666,4965.517241366667,0.3891024999999999
automobile,0.5942308666666667,2127.5862069,0.3941666666666666
winequality-red,0.4248333333333333,48272.862068966664,0.2868853
ESL,0.30081966666666665,586.1724138000001,0.7121333333333334
ERA,1.2413333333333334,6217.137931033333,
