Dataset,MZE,MAE,Time
contact-lenses,0.5166667,9.337470466666668,0.32592566666666667
pasture,0.3407405,9.314630999999999,0.3923075666666667
squash-stored,0.37435879999999994,5.6988406000000005,0.2641023
squash-unstored,0.2512818333333333,6.1010053666666675,0.4333333
tae,0.4605263333333333,70.41214966666668,0.025926166666666663
newthyroid,0.024691599999999994,73.56022730000001,0.16029730000000003
balance-scale,0.16369436666666667,383.0563728333334,0.5137333333333334
SWD,0.5785333333333332,726.2554206000001,0.0469136
car,0.04645056666666667,2436.7909980666673,0.4733334333333333
bondrate,0.6288889,9.241688133333332,0.10711113333333334
toy,0.11422216666666667,109.46073123333333,0.37173913333333336
eucalyptus,0.40054350000000005,912.5491108666666,0.4577333333333333
LEV,0.5122666666666666,762.3098879666667,0.30064103333333325
automobile,0.38782049999999996,70.79130526666668,0.34975
winequality-red,0.3926666666666666,3072.3474948999997,0.3554645333333334
ESL,0.36530056666666677,240.98874646666667,0.8053333333333333
ERA,1.7830666666666668,811.2194911999999,
