Dataset,NNOP,GPOR,NNPOM,REDSVM,ELMOP,POM,SVOREX,SVMOP,ORBALL,SVORIM,KDLOR,SVR,CSSVC,SVORIMLin,SCV1V1,SVC1VA
contact-lenses,0.4555556,0.5111110666666667,0.4833333666666667,0.46111113333333337,0.5222222666666667,0.5333332666666667,0.4833333,0.49999996666666663,0.41666670000000006,0.5166666999999999,0.5166667,0.3777777,0.45555563333333343,0.47777780000000003,0.5222222666666667,0.4611111666666667
pasture,0.2407405,0.48888886666666675,0.3703703000000001,0.3296293666666667,0.4037036,0.5851853000000001,0.3333330666666667,0.2925924,0.2999997333333333,0.3444441333333334,0.3407405,0.3222219333333334,0.33703679999999997,0.33703683333333323,0.2962960666666667,0.32222196666666675
squash-stored,0.42051289999999997,0.6256413000000001,0.5384617333333334,0.3461536666666667,0.4846153333333333,0.8128205333333333,0.3666665,0.41025616666666664,0.36410233333333336,0.38205106666666666,0.37435879999999994,0.3692305666666666,0.43333329999999987,0.3769228666666667,0.37692289999999995,0.4589743333333332
squash-unstored,0.27692289999999997,0.35641023333333344,0.4230769666666667,0.2615382,0.42307670000000014,0.8256411333333332,0.26153820000000005,0.2692305333333333,0.30512789999999995,0.2717946,0.2512818333333333,0.26923050000000004,0.2820511,0.3179484666666666,0.21538443333333335,0.28205113333333337
tae,0.5403509333333332,0.8614035666666666,0.5807018333333333,0.46140346666666676,0.6245613333333335,0.6280701666666667,0.4657894666666667,0.4999999666666667,0.5043858999999999,0.46929819999999994,0.4605263333333333,0.47982450000000004,0.5210526,0.5798245666666667,0.5429824666666666,0.495614
newthyroid,0.03518543333333333,0.03395083333333333,0.033333499999999995,0.029012566666666663,0.051852066666666655,0.02777803333333333,0.031481699999999994,0.041358233333333334,0.04197549999999999,0.03395083333333333,0.024691599999999994,0.04876566666666666,0.038271833333333324,0.0314816,0.035185333333333325,0.04012363333333333
balance-scale,0.04373673333333332,0.03418263333333333,0.10530793333333334,0.0012738666666666668,0.08853506666666666,0.10679409999999999,0.0021231333333333333,0.0316348,0.032484133333333325,0.0025477666666666667,0.16369436666666667,0.16794060000000002,0.030573366666666664,0.10679409999999999,0.03014863333333333,0.030573299999999994
SWD,0.44653333333333334,0.4401333333333334,0.4789333333333334,0.44506666666666655,0.45199999999999996,0.4501333333333334,0.44639999999999996,0.4464,0.4628,0.4505333333333334,0.5785333333333332,0.4513333333333333,0.4777333333333333,0.45013333333333333,0.43973333333333336,0.47573333333333334
car,0.0291667,0.03757716666666667,0.11658949999999998,0.012654333333333332,0.17523143333333335,1.4505400999999998,0.012577166666666665,0.0036265,0.0119598,0.012422899999999999,0.04645056666666667,0.02700626666666666,0.015432199999999998,0.08086423333333333,0.0070987666666666675,0.014351966666666665
bondrate,0.6711111333333334,0.6244444333333334,0.7977777666666667,0.6133333666666665,0.6488889,0.9466667,0.6222221666666669,0.5888888333333334,0.5311110666666666,0.6088889666666667,0.6288889,0.5933333333333335,0.5711111,0.5955555333333334,0.6399999666666668,0.6000000000000002
toy,0.06266663333333335,0.04622226666666667,0.06400000000000002,0.02355556666666667,0.08266656666666666,0.9808889000000002,0.0173333,0.06577773333333334,0.05155553333333334,0.020444433333333338,0.11422216666666667,0.060444500000000005,0.05688883333333335,0.963555766666667,0.051555500000000004,0.05688886666666667
eucalyptus,0.47572453333333337,0.33097816666666663,0.5749999666666668,0.39510870000000003,0.5309782333333334,1.938768133333333,0.40307966666666667,0.40452886666666665,0.41467396666666667,0.3931159,0.40054350000000005,0.40054343333333337,0.5054348333333334,0.3840579666666667,0.4096015333333334,0.5072463666666667
LEV,0.4084000000000001,0.4218666666666666,0.4165333333333333,0.4101333333333333,0.4062666666666667,0.4093333333333334,0.4105333333333333,0.40080000000000016,0.43439999999999995,0.4124,0.5122666666666666,0.4086666666666667,0.4061333333333334,0.42573333333333335,0.4016000000000001,0.4094666666666667
automobile,0.5032051333333334,0.5942308666666667,0.8512819666666667,0.40320513333333335,0.5442307000000001,0.9532051000000001,0.4160257,0.37115390000000004,0.3480770666666668,0.39487183333333326,0.38782049999999996,0.39423080000000005,0.39294866666666667,0.47179493333333333,0.3615385666666666,0.3884615333333334
winequality-red,0.43933333333333324,0.4248333333333333,0.44683333333333325,0.4174999999999999,0.4324166666666666,0.43508333333333327,0.41675,0.40708333333333335,0.36550000000000005,0.4194166666666667,0.3926666666666666,0.41616666666666663,0.41899999999999993,0.44475000000000003,0.4114166666666666,0.42033333333333345
ESL,0.32185800000000003,0.30081966666666665,0.4557377333333334,0.3057378,0.3221312,0.3103825333333334,0.30191263333333335,0.3013661666666667,0.3404371666666666,0.2983606666666667,0.36530056666666677,0.3117486333333334,0.3434426333333333,0.313388,0.32131143333333334,0.3483606333333334
ERA,1.1787111,1.2413333333333334,1.2593333333333334,1.2189333333333334,1.2432,1.2184,1.2086666666666666,1.2366666666666666,1.249866666666667,1.2138666666666669,1.7830666666666668,1.2195999999999998,1.9103999999999999,1.221466666666667,1.2857333333333334,2.0185333333333335
