Dataset,MZE,MAE,Time
contact-lenses,0.4555556,6.1454666666666675,0.2370368
pasture,0.2407405,20.93413333333333,0.3948716
squash-stored,0.42051289999999997,45.49926666666667,0.2948715666666667
squash-unstored,0.27692289999999997,43.04223333333333,0.4149121333333333
tae,0.5403509333333332,149.96149999999997,0.03518543333333333
newthyroid,0.03518543333333333,29.447566666666656,0.039278233333333336
balance-scale,0.04373673333333332,180.2296333333333,0.42279999999999995
SWD,0.44653333333333334,473.59673333333325,0.0255402
car,0.0291667,1909.1496333333334,0.5333333000000001
bondrate,0.6711111333333334,79.11203333333333,0.06177773333333335
toy,0.06266663333333335,56.96316666666666,0.42318843333333334
eucalyptus,0.47572453333333337,5332.853366666666,0.37466666666666665
LEV,0.4084000000000001,377.8614,0.3891025
automobile,0.5032051333333334,1250.6441333333335,0.4021666666666667
winequality-red,0.43933333333333324,2052.8567,0.3079235666666667
ESL,0.32185800000000003,653.8050333333334,0.7081777333333332
ERA,1.1787111,799.5000666666667,
