Dataset,MZE,MAE,Time
contact-lenses,0.4833333666666667,34.16566666666666,0.3444443333333334
pasture,0.3703703000000001,148.91693333333336,0.5
squash-stored,0.5384617333333334,423.9709333333333,0.3897434000000001
squash-unstored,0.4230769666666667,413.59470000000005,0.4526316333333334
tae,0.5807018333333333,1257.8200666666664,0.033333499999999995
newthyroid,0.033333499999999995,252.50753333333338,0.061995766666666646
balance-scale,0.10530793333333334,615.3733,0.45559999999999995
SWD,0.4789333333333334,2787.1430333333333,0.10609580000000002
car,0.11658949999999998,9420.7686,0.6177778000000002
bondrate,0.7977777666666667,668.323,0.06222223333333334
toy,0.06400000000000002,398.47743333333335,0.46177539999999995
eucalyptus,0.5749999666666668,22529.58076666667,0.38200000000000006
LEV,0.4165333333333333,1890.7838666666669,0.5499999999999997
automobile,0.8512819666666667,5811.637400000001,0.4013333333333333
winequality-red,0.44683333333333325,8196.27,0.34125676666666677
ESL,0.4557377333333334,1970.9691,0.7273333333333334
ERA,1.2593333333333334,3815.2802666666666,
