Dataset,MZE,MAE,Time
contact-lenses,0.5333332666666667,0.28785489999999997,0.5037037333333333
pasture,0.5851853000000001,0.41292966666666675,0.6179489
squash-stored,0.8128205333333333,0.6158896666666667,0.6512822333333335
squash-unstored,0.8256411333333332,0.5967841666666668,0.49561403333333337
tae,0.6280701666666667,1.2943578666666666,0.02777803333333333
newthyroid,0.02777803333333333,0.3612839666666667,0.09447986666666666
balance-scale,0.10679409999999999,0.5082702666666666,0.43213333333333337
SWD,0.4501333333333334,0.4716326333333333,0.8425152999999999
car,1.4505400999999998,2.989336399999999,0.6555555333333334
bondrate,0.9466667,0.5367696666666665,0.7106667333333331
toy,0.9808889000000002,0.28701693333333334,0.8507248666666666
eucalyptus,1.938768133333333,9.031175033333334,0.3766666666666667
LEV,0.4093333333333334,0.8090738666666668,0.5333334000000001
automobile,0.9532051000000001,7.632926799999999,0.40283333333333343
winequality-red,0.43508333333333327,0.7635341666666665,0.2945355333333333
ESL,0.3103825333333334,0.5055522,0.7438666666666667
ERA,1.2184,0.47488166666666676,
