Dataset,MZE,MAE,Time
contact-lenses,0.5222222666666667,11.783219966666666,0.30740713333333336
pasture,0.2962960666666667,15.275747299999999,0.3589740333333334
squash-stored,0.37692289999999995,13.965857300000001,0.22051263333333335
squash-unstored,0.21538443333333335,13.074254566666662,0.43947366666666665
tae,0.5429824666666666,13.790854500000002,0.03456803333333333
newthyroid,0.035185333333333325,16.782288700000002,0.028450066666666666
balance-scale,0.03014863333333333,19.20419213333333,0.4224
SWD,0.43973333333333336,35.00968793333333,0.005632733333333333
car,0.0070987666666666675,101.7594796,0.42888899999999996
bondrate,0.6399999666666668,12.4789297,0.049777700000000015
toy,0.051555500000000004,14.949926366666665,0.36014493333333325
eucalyptus,0.4096015333333334,58.95323546666667,0.36800000000000005
LEV,0.4016000000000001,32.3054632,0.2455127
automobile,0.3615385666666666,16.092874499999997,0.35158333333333336
winequality-red,0.4114166666666666,101.91907226666666,0.30737706666666664
ESL,0.32131143333333334,17.3691227,0.7355999999999999
ERA,1.2857333333333334,37.65963586666667,
