Dataset,MZE,MAE,Time
contact-lenses,0.4611111666666667,9.986619633333332,0.32962936666666665
pasture,0.32222196666666675,15.353032600000002,0.4025639333333334
squash-stored,0.4589743333333332,15.022688766666665,0.2794869666666667
squash-unstored,0.28205113333333337,14.254035466666666,0.4482455666666666
tae,0.495614,15.264945666666666,0.04135823333333332
newthyroid,0.04012363333333333,20.2486673,0.03312106666666667
balance-scale,0.030573299999999994,27.32321853333333,0.43679999999999997
SWD,0.47573333333333334,59.80447173333333,0.013888866666666664
car,0.014351966666666665,229.97503489999994,0.43111119999999997
bondrate,0.6000000000000002,10.574948533333334,0.054666633333333325
toy,0.05688886666666667,17.840121333333336,0.4452898666666666
eucalyptus,0.5072463666666667,172.7523047666667,0.372
LEV,0.4094666666666667,56.6210548,0.2602565
automobile,0.3884615333333334,21.888769433333337,0.36133333333333334
winequality-red,0.42033333333333345,246.00104623333337,0.32841530000000013
ESL,0.3483606333333334,26.928378700000007,0.8248000000000001
ERA,2.0185333333333335,69.89647773333333,
