Dataset,MZE,MAE,Time
contact-lenses,0.4833333,0.4667531333333334,0.3481478333333334
pasture,0.3333330666666667,0.5145732333333333,0.3743587666666667
squash-stored,0.3666665,0.614834,0.26410230000000007
squash-unstored,0.26153820000000005,0.6093143333333334,0.4105262333333332
tae,0.4657894666666667,3.8095935666666665,0.03395083333333333
newthyroid,0.031481699999999994,1.4461885666666665,0.0021231333333333333
balance-scale,0.0021231333333333333,39.337373733333344,0.43213333333333337
SWD,0.44639999999999996,778.2553474000001,0.0121914
car,0.012577166666666665,1732.2282948000002,0.45333336666666657
bondrate,0.6222221666666669,0.6523292999999999,0.020444433333333338
toy,0.0173333,8.0124647,0.3643116333333333
eucalyptus,0.40307966666666667,123.47429859999998,0.3754666666666668
LEV,0.4105333333333333,795.3495677999999,0.31602559999999996
automobile,0.4160257,6.830219099999999,0.3731666666666668
winequality-red,0.41675,1889.0174457333335,0.29016393333333335
ESL,0.30191263333333335,114.98666276666668,0.7135999999999999
ERA,1.2086666666666666,1477.0495781999998,
