Dataset,MZE,MAE,Time
contact-lenses,0.5166666999999999,0.5147685999999999,0.3444441333333334
pasture,0.3444441333333334,0.5016755333333334,0.37179466666666666
squash-stored,0.38205106666666666,0.6043305333333334,0.26923050000000004
squash-unstored,0.2717946,0.5758564333333334,0.40087713333333325
tae,0.46929819999999994,13.681368666666668,0.03395083333333333
newthyroid,0.03395083333333333,1.6100471333333333,0.0021231333333333333
balance-scale,0.0025477666666666667,19.7572305,0.4313333333333334
SWD,0.4505333333333334,1095.3316626,0.012422899999999999
car,0.012422899999999999,368.8572309,0.45111109999999993
bondrate,0.6088889666666667,0.8145604000000001,0.020444433333333338
toy,0.020444433333333338,16.082799966666666,0.3610507666666667
eucalyptus,0.3931159,106.92071183333334,0.37960000000000005
LEV,0.4124,1056.985855,0.3230769
automobile,0.39487183333333326,9.233259299999999,0.3729166666666666
winequality-red,0.4194166666666667,1511.0173823666667,0.28442633333333334
ESL,0.2983606666666667,189.2809694666667,0.7511999999999996
ERA,1.2138666666666669,4519.095103266666,
