Dataset,MZE,MAE,Time
contact-lenses,0.47777780000000003,0.2177832,0.3444442666666666
pasture,0.33703683333333323,0.22531360000000003,0.3717946666666666
squash-stored,0.3769228666666667,0.22607519999999998,0.3153843666666667
squash-unstored,0.3179484666666666,0.22700710000000004,0.4763158
tae,0.5798245666666667,0.6613337333333333,0.0314816
newthyroid,0.0314816,0.26971870000000003,0.09447986666666666
balance-scale,0.10679409999999999,5.896412000000001,0.43106666666666665
SWD,0.45013333333333333,12.387520033333336,0.07970683333333332
car,0.08086423333333333,16.318769800000002,0.43333339999999987
bondrate,0.5955555333333334,0.2620718,0.7364442
toy,0.963555766666667,12.326321633333333,0.3559782666666667
eucalyptus,0.3840579666666667,7.664293566666667,0.3906666666666668
LEV,0.42573333333333335,12.160512033333335,0.40833336666666664
automobile,0.47179493333333333,1.7846464333333334,0.4105833333333333
winequality-red,0.44475000000000003,52.9359862,0.29125686666666667
ESL,0.313388,3.117998833333333,0.7588
ERA,1.221466666666667,56.32189150000001,
