Dataset,MZE,MAE,Time
contact-lenses,0.3777777,44.35840573333335,0.33703673333333334
pasture,0.3222219333333334,48.248035833333326,0.3871792666666666
squash-stored,0.3692305666666666,49.08325849999999,0.2435895
squash-unstored,0.26923050000000004,48.6407641,0.3956139999999999
tae,0.47982450000000004,51.15242393333333,0.04444466666666667
newthyroid,0.04876566666666666,62.682596100000005,0.16475583333333335
balance-scale,0.16794060000000002,173.08118686666666,0.4348
SWD,0.4513333333333333,134.68022113333333,0.02692913333333333
car,0.02700626666666666,1828.8861126,0.4577777999999999
bondrate,0.5933333333333335,46.7719053,0.06799996666666668
toy,0.060444500000000005,82.12029023333334,0.3605072666666666
eucalyptus,0.40054343333333337,204.9339337,0.3750666666666667
LEV,0.4086666666666667,170.52204713333333,0.3205128666666667
automobile,0.39423080000000005,58.76180886666666,0.37224999999999997
winequality-red,0.41616666666666663,592.7756193333333,0.29617486666666665
ESL,0.3117486333333334,102.43128496666667,0.7502666666666666
ERA,1.2195999999999998,126.77254439999999,
