,pyrim,,,machine,,,housing,,,stock,,,abalone,,,pyrim10,,,machine10,,,housing10,,,stock10,,,abalone10,,,bank1-10,,,bank1-5,,,bank2-10,,,bank2-5,,,calhousing-10,,,calhousing-5,,,census1-10,,,census1-5,,,census2-10,,,census2-5,,,computer1-10,,,computer1-5,,,computer2-10,,,computer2-5
MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time
0.500000,1.125000,1.658580,0.406780,0.508475,2.866616,0.373786,0.402913,4.268367,0.108571,0.111429,5.801045,0.509915,0.645263,8.267874,0.791667,2.000000,1.251156,0.644068,1.000000,3.045515,0.597087,0.849515,6.005570,0.251429,0.228571,4.060746,0.726472,1.384954,7.310402,0.826824,2.189634,1.044597,0.593098,0.708548,1.078743,0.883701,2.860416,1.335531,0.716767,1.575336,1.752966,0.757833,1.410347,2.282496,0.546364,0.689117,2.200146,0.774957,1.618028,3.913857,0.587863,0.738025,1.503239,0.793172,1.642667,1.197509,0.589001,0.801585,2.193541,0.673010,1.174740,1.704648,0.469970,0.558329,2.224667,0.623528,0.932937,2.374812,0.417875,0.484319,2.344277,
0.791667,0.958333,1.322796,0.457627,0.457627,4.217376,0.383495,0.446602,3.917654,0.094286,0.097143,5.776125,0.531634,0.675165,5.942764,0.833333,2.250000,2.230642,0.661017,0.932203,3.662758,0.582524,0.936893,5.105084,0.222857,0.237143,6.850405,0.730563,1.400692,7.148581,0.844387,1.699705,2.184249,0.568411,0.740359,0.767363,0.844770,2.406554,1.577262,0.718246,1.246766,2.779451,0.718497,1.376720,2.505088,0.555490,0.700781,1.603528,0.769561,1.591977,2.132759,0.583573,0.784157,1.991800,0.799238,1.753542,2.658560,0.574345,0.802072,3.310688,0.716263,1.212061,1.801471,0.457983,0.555487,2.310096,0.666543,1.004463,1.622015,0.469815,0.543697,1.680867,
0.625000,1.500000,1.912140,0.372881,0.508475,1.814443,0.315534,0.334951,2.302642,0.111429,0.137143,5.230345,0.526283,0.652817,6.883670,0.791667,1.791667,1.427288,0.644068,0.932203,1.879947,0.601942,0.825243,3.561012,0.217143,0.242857,7.877070,0.726786,1.377085,8.909707,0.736551,1.769221,1.155958,0.561778,0.730410,1.041987,0.870519,2.270913,2.374252,0.713811,1.239374,0.829540,0.736652,1.410005,2.861554,0.522987,0.662469,3.043994,0.773188,1.637534,2.018880,0.595913,0.792649,1.685157,0.798220,1.738310,4.603882,0.579658,0.792995,1.698874,0.659911,1.125680,1.866640,0.441300,0.556228,1.047315,0.621669,0.979050,2.131399,0.524358,0.647824,1.928101,
0.583333,1.416667,2.014884,0.423729,0.372881,2.663878,0.393204,0.383495,3.608851,0.140000,0.108571,3.791676,0.519673,0.675795,4.923130,0.666667,2.000000,1.660955,0.576271,1.067797,3.046935,0.631068,0.854369,4.573413,0.225714,0.242857,5.522213,0.731508,1.388102,9.271153,0.810612,1.138909,0.843657,0.612994,0.587202,1.352350,0.878403,2.956265,1.305204,0.729949,1.340766,2.396716,0.743875,1.467740,2.249171,0.532211,0.682577,0.975984,0.781414,1.642134,2.199513,0.584723,0.814322,1.204682,0.786397,1.763151,2.753589,0.600292,0.864107,1.618463,0.670168,1.098369,2.014546,0.462926,0.559441,1.630699,0.703607,0.954382,1.874342,0.426925,0.507128,1.796499,
0.625000,1.083333,0.914975,0.406780,0.559322,2.827008,0.364078,0.373786,3.630714,0.108571,0.097143,3.402127,0.528171,0.667611,6.843099,0.833333,3.041667,2.198382,0.627119,1.118644,2.798948,0.572816,1.009709,3.945945,0.268571,0.277143,6.912784,0.734026,1.396915,9.560698,0.760992,1.422255,1.995154,0.524932,0.620118,1.164127,0.896390,2.287545,1.337865,0.749784,1.426512,2.240533,0.742216,1.363397,1.486363,0.530112,0.691947,1.877410,0.770136,1.610465,3.743679,0.578000,0.749967,2.329417,0.785290,1.654977,3.377004,0.592145,0.813629,1.591048,0.657316,1.108131,2.356433,0.450692,0.546960,2.506599,0.655634,1.059378,2.715930,0.416760,0.480724,1.915440,
0.708333,1.083333,0.822539,0.525424,0.559322,1.743574,0.398058,0.456311,1.671399,0.082857,0.105714,5.736159,0.514322,0.658483,4.270738,0.625000,2.208333,1.724205,0.525424,0.932203,4.026266,0.597087,0.917476,4.160148,0.254286,0.248571,6.521823,0.727101,1.390620,7.256748,0.721813,1.508352,1.654861,0.580079,0.763694,0.622785,0.860170,2.358260,1.746968,0.715043,1.293828,0.872605,0.765837,1.477452,1.836579,0.546706,0.716301,2.014304,0.793268,1.580123,3.586924,0.587156,0.800964,1.437016,0.795298,1.825407,1.132253,0.593916,0.836920,1.426119,0.628151,1.250371,3.048940,0.421033,0.488384,1.560735,0.647081,1.046114,1.579059,0.558696,0.528201,1.968076,
0.541667,1.500000,1.333850,0.406780,0.457627,1.843213,0.359223,0.402913,3.690010,0.100000,0.088571,6.038150,0.512118,0.654076,6.728080,0.916667,1.750000,2.674960,0.593220,0.864407,4.238774,0.631068,0.898058,6.118463,0.222857,0.214286,7.242277,0.723639,1.384640,5.196400,0.752027,1.330877,1.335121,0.548023,0.771432,1.541010,0.856844,3.197610,1.873962,0.726377,1.342121,1.136947,0.757443,1.473743,2.439249,0.557003,0.713177,3.065282,0.786191,1.657305,3.066578,0.636163,0.821000,1.662968,0.800035,1.773955,2.012979,0.570271,0.781128,2.188318,0.686851,1.200939,1.896629,0.403114,0.539298,1.602791,0.668030,1.013140,1.886575,0.491013,0.613611,2.397541,
0.583333,1.250000,1.707904,0.406780,0.457627,2.940319,0.334951,0.378641,4.369658,0.097143,0.120000,6.518555,0.516840,0.655650,6.254853,0.791667,2.458333,2.197141,0.610169,0.966102,3.753203,0.606796,0.888350,4.154266,0.234286,0.245714,7.037636,0.736859,1.427447,8.285170,0.737411,1.151560,1.280222,0.506632,0.595185,1.549385,0.854872,2.380929,2.236101,0.778366,1.134779,2.626850,0.746901,1.381845,1.934227,0.570327,0.773646,1.165547,0.813216,1.714937,2.434544,0.598478,0.778009,1.291939,0.778294,1.728082,2.663931,0.609679,0.865303,1.603966,0.690064,1.148171,2.099718,0.485665,0.567227,1.752243,0.619065,1.212595,2.179496,0.454072,0.570224,2.568088,
0.708333,0.791667,2.516972,0.372881,0.440678,2.784225,0.368932,0.422330,1.492922,0.111429,0.128571,4.871319,0.527542,0.685238,4.215667,0.833333,3.416667,1.212795,0.559322,0.762712,3.554859,0.621359,0.893204,5.409951,0.260000,0.268571,7.409052,0.723639,1.391250,6.100203,0.704864,1.140015,1.520857,0.557603,0.666053,0.953050,0.851300,2.245780,1.567056,0.732783,1.091659,1.221182,0.723036,1.368668,2.104760,0.529429,0.698097,1.713887,0.767438,1.589942,2.265678,0.588836,0.852581,1.950447,0.791268,1.689869,2.419250,0.612380,0.868535,2.573636,0.684380,1.106401,1.670579,0.483811,0.577113,1.767897,0.663940,1.068055,3.492150,0.501797,0.503285,3.256457,
0.625000,1.250000,1.139016,0.355932,0.440678,3.756203,0.402913,0.432039,2.089356,0.128571,0.128571,5.669962,0.523765,0.673277,5.192091,0.750000,1.166667,2.495675,0.694915,0.762712,2.821698,0.597087,0.805825,5.722598,0.231429,0.240000,6.554466,0.722694,1.372993,8.896132,0.718128,1.277819,1.868108,0.480717,0.579219,0.636807,0.872243,2.617223,1.284746,0.775410,1.135764,1.352248,0.766081,1.494729,1.948817,0.537872,0.648511,1.213182,0.779159,1.587952,2.402300,0.600469,0.804635,2.978032,0.785025,1.657678,2.613451,0.597724,0.822706,1.329512,0.647800,1.184627,1.917143,0.430919,0.524716,1.709878,0.642122,0.993306,3.194481,0.440560,0.515433,2.073344,
