,pyrim,,,machine,,,housing,,,stock,,,abalone,,,pyrim10,,,machine10,,,housing10,,,stock10,,,abalone10,,,bank1-10,,,bank1-5,,,bank2-10,,,bank2-5,,,calhousing-10,,,calhousing-5,,,census1-10,,,census1-5,,,census2-10,,,census2-5,,,computer1-10,,,computer1-5,,,computer2-10,,,computer2-5
MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time
0.458333,0.750000,33.000000,0.423729,0.474576,27.000000,0.296117,0.315534,454.000000,0.114286,0.114286,2083.000000,0.503620,0.668870,48911.000000,0.583333,1.291667,10.000000,0.627119,1.050847,93.000000,0.524272,0.723301,3464.000000,0.217143,0.222857,897.000000,0.707586,1.507712,144386.000716,0.479858,0.559813,4.000000,0.294522,0.298207,7.000000,0.787483,1.866330,15.000000,0.592337,0.837748,253.000000,0.704392,1.336213,63.000000,0.500537,0.617423,74.000000,0.740944,1.629174,23.000000,0.532266,0.720156,50.000000,0.741676,1.606934,263.000000,0.543039,0.744598,108.000000,0.589842,0.940188,6.000000,0.359244,0.410776,27.000000,0.515681,0.717367,183.000000,0.299492,0.326391,70.000000,
0.416667,0.541667,27.000000,0.457627,0.525424,23.000000,0.330097,0.383495,925.000000,0.082857,0.082857,4105.000000,0.520302,0.689330,12493.000000,0.833333,1.791667,82.000000,0.644068,1.050847,68.000000,0.529126,0.796117,2096.000000,0.260000,0.265714,1576.000000,0.707901,1.502361,26995.582654,0.466102,0.547286,3.000000,0.277696,0.281749,8.000000,0.758778,1.656523,6.000000,0.573241,0.768757,130.000000,0.689995,1.295315,46.000000,0.494485,0.619180,33.000000,0.732452,1.618780,21.000000,0.545756,0.755938,148.000000,0.752790,1.623893,65.000000,0.542154,0.727728,309.000000,0.583663,0.892486,6.000000,0.368018,0.405462,34.000000,0.538242,0.761250,297.000000,0.331846,0.355646,95.000000,
0.541667,0.625000,9.000000,0.406780,0.423729,45.000000,0.291262,0.291262,1817.000000,0.117143,0.117143,1430.000000,0.512118,0.669814,25890.000000,0.875000,1.291667,5.000000,0.661017,0.966102,20.000000,0.558252,0.762136,1661.000000,0.242857,0.245714,764.000000,0.716084,1.533522,15847.333259,0.484156,0.535986,2.000000,0.276099,0.282977,9.000000,0.767402,1.657139,20.000000,0.558950,0.741777,136.000000,0.691069,1.281064,14.000000,0.498292,0.609468,62.000000,0.731479,1.633553,25.000000,0.535627,0.750232,356.000000,0.754516,1.665250,110.000000,0.552338,0.766649,137.000000,0.591819,0.919427,38.000000,0.389026,0.447355,14.000000,0.529565,0.735961,165.000000,0.316970,0.338416,461.000000,
0.625000,0.708333,58.000000,0.372881,0.389831,153.000000,0.296117,0.344660,1439.000000,0.122857,0.122857,2094.000000,0.502361,0.666667,12416.000000,0.791667,1.708333,49.000000,0.644068,1.067797,52.000000,0.524272,0.762136,2114.000000,0.214286,0.214286,3553.000000,0.704753,1.465534,13504.030348,0.482805,0.563129,3.000000,0.254114,0.255588,20.000000,0.779229,1.830972,22.000000,0.598497,0.829863,42.000000,0.678380,1.246169,29.000000,0.462860,0.556027,38.000000,0.744350,1.734973,80.000000,0.530895,0.747357,165.000000,0.744908,1.619952,187.000000,0.539586,0.735919,127.000000,0.571058,0.878522,19.000000,0.372343,0.423505,124.000000,0.511219,0.689476,70.000000,0.307673,0.330854,373.000000,
0.541667,0.708333,63.000000,0.355932,0.423729,29.000000,0.291262,0.315534,1115.000000,0.114286,0.114286,3345.000000,0.522506,0.694051,12519.000000,0.833333,1.791667,57.000000,0.728814,1.152542,59.000000,0.563107,0.868932,1051.000000,0.268571,0.274286,2677.000000,0.706956,1.484734,14653.941792,0.473348,0.548391,8.000000,0.249324,0.251658,13.000000,0.781693,1.721202,32.000000,0.645559,0.982999,14.000000,0.707272,1.363348,20.000000,0.506686,0.635432,199.000000,0.727984,1.524658,23.000000,0.540847,0.722677,58.000000,0.756863,1.704525,68.000000,0.518774,0.709573,175.000000,0.575754,0.867153,64.000000,0.391498,0.433762,47.000000,0.526590,0.745630,39.000000,0.319450,0.343374,218.000000,
0.708333,0.791667,10.000000,0.508475,0.593220,33.000000,0.281553,0.315534,1125.000000,0.082857,0.082857,1011.000000,0.510859,0.686182,16411.000000,0.750000,1.458333,8.000000,0.559322,0.745763,26.000000,0.572816,0.839806,757.000000,0.274286,0.274286,3076.000000,0.715455,1.502046,21758.113349,0.485016,0.556620,7.000000,0.294031,0.295750,42.000000,0.779475,1.901195,17.000000,0.593569,0.915486,81.000000,0.678136,1.218448,59.000000,0.484627,0.615861,63.000000,0.726436,1.526295,120.000000,0.528329,0.719315,105.000000,0.766915,1.769748,68.000000,0.532014,0.728259,417.000000,0.569204,0.882353,9.000000,0.392857,0.443401,61.000000,0.559564,0.774885,101.000000,0.313128,0.339903,177.000000,
0.458333,0.625000,26.000000,0.474576,0.508475,40.000000,0.330097,0.368932,322.000000,0.108571,0.108571,2169.000000,0.512433,0.674850,32931.000000,0.875000,1.750000,14.000000,0.694915,1.033898,48.000000,0.553398,0.718447,2511.000000,0.234286,0.240000,4595.000000,0.713566,1.496380,95953.408993,0.473102,0.549128,11.000000,0.261852,0.265414,7.000000,0.780091,1.865344,10.000000,0.603918,0.893680,51.000000,0.706052,1.381552,14.000000,0.477892,0.575549,72.000000,0.727321,1.502632,27.000000,0.528241,0.732363,82.000000,0.737823,1.585503,75.000000,0.543792,0.751107,843.000000,0.604795,0.906204,50.000000,0.359862,0.401878,38.000000,0.514442,0.716499,23.000000,0.361721,0.384901,251.000000,
0.666667,0.916667,19.000000,0.355932,0.372881,75.000000,0.305825,0.339806,762.000000,0.094286,0.094286,1864.000000,0.499843,0.666037,11716.000000,0.750000,1.708333,21.000000,0.677966,0.949153,30.000000,0.529126,0.718447,1253.000000,0.277143,0.280000,1560.000000,0.706012,1.479383,11676.546325,0.479735,0.534635,3.000000,0.250676,0.254606,41.000000,0.760749,1.679315,32.000000,0.588641,0.822718,58.000000,0.681113,1.265398,38.000000,0.507857,0.643680,38.000000,0.728161,1.559998,84.000000,0.529568,0.725286,51.000000,0.743137,1.578153,82.000000,0.544191,0.742118,387.000000,0.566362,0.893104,6.000000,0.403485,0.441547,94.000000,0.541713,0.791620,218.000000,0.302839,0.333829,104.000000,
0.583333,0.708333,22.000000,0.423729,0.457627,50.000000,0.286408,0.315534,471.000000,0.128571,0.128571,4317.000000,0.515266,0.680516,11918.000000,0.791667,1.125000,11.000000,0.661017,0.881356,84.000000,0.548544,0.781553,2519.000000,0.254286,0.262857,955.000000,0.705697,1.504564,23089.378321,0.483911,0.555515,7.368421,0.251658,0.256939,16.526316,0.777258,1.865221,24.684211,0.572502,0.773685,64.421053,0.685456,1.302977,39.210526,0.508199,0.652465,85.105263,0.747401,1.682560,112.421053,0.555266,0.804016,113.157895,0.741764,1.636070,179.000000,0.529490,0.711654,291.578947,0.570687,0.889026,27.578947,0.373085,0.433144,65.421053,0.519896,0.706334,123.315789,0.310029,0.336804,208.421053,
0.375000,0.541667,35.000000,0.372881,0.406780,55.631579,0.344660,0.378641,824.631579,0.122857,0.122857,2837.789474,0.507397,0.674850,24041.052632,0.916667,1.458333,33.947368,0.627119,0.915254,56.263158,0.533981,0.718447,1701.157895,0.245714,0.245714,2995.368421,0.705382,1.499843,30650.763076,0.480963,0.558217,24.000000,0.261484,0.268239,10.000000,0.799803,2.198965,8.000000,0.541456,0.733769,17.000000,0.711762,1.341142,93.000000,0.502343,0.616105,178.000000,0.731036,1.593702,56.000000,0.539785,0.747048,109.000000,0.764701,1.897051,68.000000,0.536929,0.748052,346.000000,0.612210,0.990979,7.000000,0.367276,0.422516,52.000000,0.538738,0.774761,58.000000,0.312508,0.336804,195.000000,
