,pyrim,,,machine,,,housing,,,stock,,,abalone,,,pyrim10,,,machine10,,,housing10,,,stock10,,,abalone10,,,bank1-10,,,bank1-5,,,bank2-10,,,bank2-5,,,calhousing-10,,,calhousing-5,,,census1-10,,,census1-5,,,census2-10,,,census2-5,,,computer1-10,,,computer1-5,,,computer2-10,,,computer2-5
MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time
0.541667,1.166667,598.177000,0.474576,0.525424,502.114000,0.412621,0.480583,1922.880000,0.140000,0.140000,2808.246000,0.515895,0.694995,4897.006000,0.666667,1.625000,1389.102000,0.661017,1.271186,1156.611000,0.597087,0.883495,4331.625000,0.248571,0.257143,6647.584000,0.719232,1.494492,11701.876000,0.880987,2.959224,515.663000,0.760010,1.134611,273.978000,0.887890,2.949858,5636.299000,0.777011,1.321671,2673.106000,0.688629,1.326452,1852.611000,0.506345,0.655393,1174.170000,0.794418,1.798310,2519.698000,0.603167,0.871821,1357.618000,0.814559,2.137044,5956.582000,0.638328,0.992118,3731.176000,0.637173,1.066980,1525.069000,0.431661,0.550791,732.424000,0.609520,0.975332,3425.102000,0.434734,0.453452,1701.378000,
0.750000,1.416667,601.979000,0.542373,0.559322,482.372000,0.402913,0.490291,1970.191000,0.094286,0.105714,2843.102000,0.524079,0.701291,4927.464000,0.958333,2.291667,1653.665000,0.711864,1.322034,1172.271000,0.640777,1.092233,4261.602000,0.231429,0.231429,6736.368000,0.736229,1.502046,11528.150000,0.873864,2.703390,524.572000,0.794645,1.484156,263.304000,0.905384,2.998768,6372.878000,0.771344,1.397438,2569.276000,0.708102,1.436701,1888.416000,0.515471,0.688336,1049.862000,0.759963,1.785218,2022.345000,0.573710,0.816047,1412.394000,0.819253,2.077577,5469.791000,0.633236,0.906261,3660.914000,0.680178,1.062037,1522.715000,0.468117,0.594167,794.417000,0.628610,1.284616,3923.900000,0.415768,0.480228,1437.229000,
0.541667,0.791667,608.957000,0.338983,0.474576,527.762000,0.359223,0.393204,1913.277000,0.102857,0.102857,2916.874000,0.522191,0.706956,5060.530000,0.791667,2.500000,1586.526000,0.593220,0.966102,1162.601000,0.621359,1.009709,4216.208000,0.271429,0.291429,6685.463000,0.708215,1.466793,11306.578000,0.875461,2.881110,696.667000,0.777327,1.413412,261.653000,0.897376,3.070223,2771.006000,0.772206,1.591228,2297.728000,0.734407,1.359688,1555.929000,0.523377,0.687799,1032.277000,0.796409,1.826043,2238.434000,0.588350,0.824760,1178.040000,0.828020,1.979986,10574.244000,0.637620,0.939426,3675.987000,0.682155,1.040287,1183.954000,0.437593,0.541399,746.818000,0.614727,0.929962,2981.735000,0.411305,0.476633,1391.618000,
0.666667,0.750000,620.036000,0.440678,0.542373,527.727000,0.339806,0.354369,1888.281000,0.117143,0.120000,2882.373000,0.522191,0.711678,4891.479000,0.833333,2.250000,1573.530000,0.627119,1.000000,1177.469000,0.650485,0.839806,4455.147000,0.248571,0.265714,6812.205000,0.726786,1.504564,11762.586000,0.896340,4.500983,514.282000,0.777450,1.469541,266.641000,0.896637,3.255513,2710.712000,0.794629,1.488358,2285.398000,0.716935,1.376427,1798.275000,0.494827,0.626745,806.598000,0.784068,1.892742,2971.497000,0.578177,0.846521,1179.680000,0.804065,1.933936,10109.510000,0.628631,0.953551,3484.427000,0.674493,1.258033,1198.368000,0.509516,0.668191,705.174000,0.621173,1.040536,6904.146000,0.406347,0.481096,1453.209000,
0.666667,1.041667,655.819000,0.474576,0.525424,511.729000,0.398058,0.427185,1871.730000,0.105714,0.111429,2840.257000,0.506138,0.706642,5101.597000,0.916667,2.291667,1563.163000,0.694915,1.135593,1171.801000,0.645631,1.087379,4292.419000,0.285714,0.294286,6648.616000,0.716399,1.488826,11595.583000,0.892041,3.046672,516.636000,0.761361,1.392410,259.274000,0.892202,3.199951,2850.817000,0.796723,1.584329,2249.343000,0.705271,1.268668,1832.309000,0.528941,0.594631,1016.118000,0.768853,1.718254,2207.360000,0.587421,0.863860,1440.306000,0.818943,2.081872,3643.535000,0.602905,0.917508,3580.869000,0.642239,1.133589,1336.964000,0.449580,0.541523,703.557000,0.690715,1.029255,6423.166000,0.440312,0.514070,1427.458000,
0.583333,0.625000,565.344000,0.542373,0.593220,506.181000,0.349515,0.422330,1880.793000,0.100000,0.100000,2852.462000,0.520617,0.714825,4917.661000,0.750000,1.666667,1496.562000,0.576271,0.847458,1219.730000,0.665049,0.922330,4301.395000,0.274286,0.297143,6665.212000,0.722694,1.485678,11380.669000,0.857406,2.775362,588.640000,0.759764,1.292803,259.220000,0.906000,2.981151,3318.217000,0.804238,1.512628,2323.214000,0.728160,1.423280,2267.974000,0.506637,0.628014,805.542000,0.798355,1.738688,2286.794000,0.609536,0.935026,1439.738000,0.838824,1.962009,4597.804000,0.678091,0.923397,3370.369000,0.667449,1.375185,1357.463000,0.511369,0.605660,721.044000,0.653031,1.075865,2862.192000,0.375356,0.456551,1438.506000,
0.750000,0.791667,610.742000,0.457627,0.508475,491.621000,0.339806,0.393204,1899.040000,0.122857,0.125714,2809.071000,0.510230,0.690589,4985.710000,0.791667,5.000000,1511.653000,0.661017,1.305085,1162.354000,0.572816,0.849515,4427.414000,0.251429,0.265714,6574.836000,0.715140,1.536355,11705.066000,0.893761,2.709776,541.718000,0.783591,0.747359,288.692000,0.893187,2.892325,3184.650000,0.788222,1.436861,1630.448000,0.726647,1.314885,1838.491000,0.527379,0.691850,813.285000,0.773586,1.815339,2652.449000,0.632403,0.979433,1474.634000,0.801718,1.902896,4486.218000,0.609768,0.921670,3512.996000,0.655957,1.144958,1383.142000,0.477632,0.625927,747.237000,0.604810,0.951655,2882.410000,0.424693,0.494980,1835.501000,
0.625000,0.916667,589.083000,0.423729,0.440678,546.346000,0.354369,0.398058,1892.544000,0.108571,0.108571,2830.183000,0.505823,0.694051,4987.401000,0.958333,2.541667,1582.110000,0.661017,1.186441,1199.359000,0.567961,0.776699,4486.588000,0.245714,0.254286,6494.981000,0.719862,1.496695,11356.919000,0.871408,2.463031,581.718000,0.798452,1.542618,288.375000,0.901565,3.043735,2815.577000,0.791672,1.456080,1558.496000,0.700244,1.334212,1742.568000,0.540410,0.720839,874.425000,0.781282,1.812376,2183.513000,0.589456,0.904286,1317.890000,0.810574,1.994819,4924.077000,0.640808,0.951116,3640.236000,0.652496,1.219352,1545.017000,0.446738,0.547578,797.012000,0.612495,1.022561,3119.372000,0.433990,0.468576,1769.137000,
0.708333,0.916667,595.003000,0.322034,0.389831,512.480000,0.412621,0.466019,1896.802000,0.140000,0.142857,2797.959000,0.537929,0.720176,5172.484000,0.791667,1.833333,1414.496000,0.694915,1.169491,1129.134000,0.582524,0.966019,4349.477000,0.280000,0.297143,6567.923000,0.728360,1.469625,11229.127000,0.878777,2.645419,591.707000,0.768116,1.353353,263.238000,0.883947,2.953431,3538.549000,0.783910,1.357152,1739.931000,0.693851,1.305661,3412.174000,0.501122,0.618936,1005.884000,0.807422,2.060728,2230.587000,0.640453,0.914415,1337.497000,0.814559,2.065002,3628.996000,0.637708,0.953817,2833.503000,0.638532,1.110232,1507.023000,0.448715,0.536950,770.995000,0.644973,1.001859,3102.240000,0.433742,0.520888,1433.778000,
0.541667,0.916667,625.439000,0.423729,0.406780,511.719000,0.402913,0.475728,1927.750000,0.105714,0.120000,2875.402000,0.515581,0.689330,5283.158000,0.875000,1.708333,1413.301000,0.593220,1.084746,1184.897000,0.577670,0.873786,4603.212000,0.265714,0.305714,6595.264000,0.714511,1.537299,11797.552000,0.877303,2.472980,557.393000,0.728936,1.222550,276.236000,0.888013,2.749045,2990.719000,0.762104,1.446840,1726.390000,0.721132,1.279356,1814.170000,0.505271,0.623426,1201.704000,0.764917,1.715777,2288.925000,0.604936,0.873944,1370.815000,0.829702,2.092986,5858.159000,0.656660,0.873627,3713.787000,0.649407,1.147677,1486.391000,0.445255,0.546466,737.073000,0.634932,1.351432,2930.558000,0.390852,0.448246,1773.571000,
