,pyrim,,,machine,,,housing,,,stock,,,abalone,,,pyrim10,,,machine10,,,housing10,,,stock10,,,abalone10,,,bank1-10,,,bank1-5,,,bank2-10,,,bank2-5,,,calhousing-10,,,calhousing-5,,,census1-10,,,census1-5,,,census2-10,,,census2-5,,,computer1-10,,,computer1-5,,,computer2-10,,,computer2-5
MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time
0.375000,0.583333,0.545870,0.406780,0.440678,0.299537,0.349515,0.388350,0.353009,0.365714,0.382857,0.466557,0.542336,0.685867,4.087036,0.708333,1.375000,0.604505,0.677966,1.067797,0.325656,0.567961,0.844660,0.452284,0.548571,0.765714,0.650135,0.740951,1.428077,4.808335,0.471506,0.536232,0.291025,0.294522,0.302997,0.234629,0.815572,2.240976,0.545776,0.642479,1.041641,0.246624,0.705076,1.220888,0.196510,0.491752,0.589507,0.263255,0.749746,1.503959,0.211167,0.560706,0.727542,0.225349,0.791622,1.646210,0.237344,0.590374,0.769793,0.323752,0.571181,0.868265,0.296235,0.365793,0.421033,0.249124,0.529069,0.715880,0.347572,0.315483,0.345234,0.319243,
0.375000,0.750000,0.250196,0.440678,0.508475,0.357647,0.364078,0.427184,0.392982,0.377143,0.388571,0.467666,0.541076,0.700661,4.059653,0.666667,1.708333,0.272770,0.677966,1.084746,0.299754,0.553398,0.888350,0.453606,0.577143,0.828571,0.621770,0.741265,1.471829,4.692548,0.470032,0.536232,0.420534,0.297593,0.302997,0.551923,0.805100,1.844031,0.764628,0.628434,0.898854,0.532844,0.712592,1.268814,0.185456,0.508297,0.605857,0.233158,0.764519,1.625326,0.311836,0.544739,0.708656,0.621708,0.784449,1.645546,0.298591,0.571644,0.767490,0.348953,0.593549,0.860356,0.209457,0.387049,0.429066,0.293979,0.525598,0.726788,0.677195,0.355151,0.396430,0.775312,
0.583333,0.791667,0.526512,0.389831,0.406780,0.336716,0.354369,0.378641,0.372267,0.351429,0.377143,0.552834,0.535096,0.682090,4.106942,0.708333,1.416667,0.270160,0.677966,0.983051,0.324123,0.548544,0.781553,0.477013,0.522857,0.785714,0.617512,0.735285,1.441926,4.664509,0.471874,0.526652,0.240644,0.262835,0.267747,0.238212,0.791918,1.944191,0.571789,0.608599,0.883331,0.270779,0.700488,1.218643,0.204766,0.484236,0.578477,0.250948,0.754523,1.546110,0.324094,0.577690,0.800655,0.312032,0.768686,1.588957,0.302895,0.575762,0.754826,0.312097,0.581315,0.873702,0.304899,0.394093,0.448468,0.422436,0.541341,0.783067,0.871056,0.345110,0.380067,0.561822,
0.625000,0.875000,0.528595,0.338983,0.372881,0.271878,0.339806,0.378641,0.359937,0.360000,0.391429,0.466887,0.541076,0.703179,4.100123,0.791667,1.583333,0.613453,0.745763,1.033898,0.349765,0.587379,0.820388,0.512301,0.554286,0.845714,0.655291,0.743783,1.453887,4.785350,0.482560,0.557234,0.214113,0.252272,0.253623,0.247245,0.830479,2.171492,0.383258,0.612418,0.870888,0.321393,0.708150,1.272035,0.299703,0.486384,0.597316,0.328162,0.740900,1.519218,0.206508,0.547746,0.745146,0.615014,0.773468,1.635140,0.359699,0.576204,0.780818,0.293147,0.573035,0.908552,0.304471,0.371725,0.418314,0.193592,0.519276,0.701128,0.861063,0.343498,0.392835,0.225771,
0.583333,1.166667,0.519934,0.389831,0.440678,0.327569,0.354369,0.393204,0.374349,0.360000,0.374286,0.538423,0.543909,0.692792,4.072188,0.666667,2.083333,0.588096,0.677966,1.050847,0.338176,0.577670,0.922330,0.523097,0.600000,0.882857,0.646357,0.749134,1.465534,4.565038,0.483911,0.555515,0.338325,0.276959,0.280152,0.200379,0.782802,1.877664,0.621274,0.685721,1.177652,0.192246,0.704490,1.207711,0.191091,0.497804,0.598194,0.256895,0.737273,1.467690,0.281841,0.545800,0.719890,0.185689,0.771741,1.558316,0.661395,0.558714,0.740524,0.238199,0.568710,0.824642,0.206053,0.380623,0.416461,0.436859,0.530061,0.731127,0.639672,0.328251,0.351184,0.318243,
0.583333,0.708333,0.539726,0.508475,0.593220,0.321347,0.339806,0.407767,0.406428,0.402857,0.408571,0.497359,0.540132,0.696569,4.205586,0.708333,1.458333,0.267007,0.576271,0.762712,0.336296,0.577670,0.868932,0.475831,0.562857,0.780000,0.589176,0.749449,1.470570,4.634998,0.505773,0.597642,0.269286,0.297224,0.300909,0.175486,0.818775,2.185783,0.520184,0.652335,1.048786,0.192908,0.714251,1.267936,0.208787,0.490142,0.591752,0.186239,0.757176,1.472821,0.271551,0.545579,0.702154,0.450824,0.791047,1.773734,0.249056,0.597237,0.801452,0.279624,0.571181,0.838112,0.294900,0.381488,0.429684,0.261249,0.534028,0.713028,0.348863,0.369778,0.442544,0.304877,
0.583333,0.791667,0.548566,0.474576,0.508475,0.360487,0.368932,0.412621,0.375652,0.360000,0.382857,0.483924,0.537299,0.681775,4.358691,0.666667,1.500000,0.270164,0.677966,0.915254,0.395232,0.558252,0.844660,0.425850,0.554286,0.837143,0.648584,0.736859,1.429965,4.734796,0.441169,0.483542,0.176972,0.262098,0.264554,0.157258,0.792657,1.839966,0.413774,0.666379,1.125785,0.276321,0.702343,1.213665,0.581619,0.498682,0.603465,0.180992,0.747136,1.484497,0.279028,0.572604,0.739617,0.208395,0.779623,1.598433,0.420892,0.574478,0.767357,0.280746,0.619871,0.909664,0.198267,0.367647,0.411518,0.200740,0.535019,0.759514,0.228173,0.357630,0.382670,0.205894,
0.416667,0.541667,0.569846,0.338983,0.338983,0.344785,0.325243,0.383495,0.396428,0.368571,0.394286,0.463349,0.531319,0.687126,4.083721,0.750000,1.666667,0.297041,0.661017,0.847458,0.351173,0.660194,0.902913,0.470419,0.571429,0.837143,0.609539,0.740636,1.468681,4.660668,0.470769,0.531933,0.271242,0.241096,0.244043,0.230493,0.795614,1.908094,0.597664,0.630775,0.929284,0.299543,0.686676,1.193558,0.280830,0.490044,0.581454,0.182179,0.758946,1.497059,0.356835,0.566412,0.734840,0.377336,0.774841,1.651612,1.052466,0.605030,0.813983,0.389333,0.578349,0.891003,0.316076,0.404968,0.442783,0.214811,0.534895,0.748358,1.004962,0.330110,0.368910,0.825051,
0.416667,0.625000,0.238250,0.406780,0.440678,0.343724,0.344660,0.383495,0.422144,0.360000,0.397143,0.489090,0.549890,0.703494,4.074495,0.583333,0.750000,0.257814,0.576271,0.830508,0.333883,0.631068,0.922330,0.488396,0.600000,0.888571,0.597863,0.740006,1.441297,4.688063,0.482928,0.554901,0.228177,0.255465,0.260992,0.235505,0.798571,1.928299,0.644742,0.631268,0.955033,0.273095,0.691996,1.194192,0.322324,0.488385,0.596974,0.240551,0.741563,1.492105,0.271301,0.567208,0.727233,0.335431,0.771431,1.632749,0.320594,0.577710,0.769394,0.865621,0.561295,0.843178,0.707532,0.378275,0.432773,0.677277,0.533160,0.738193,0.340518,0.333085,0.387381,0.326768,
0.333333,0.416667,0.266891,0.355932,0.389831,0.383889,0.368932,0.407767,0.367009,0.391429,0.437143,0.490809,0.531319,0.681775,4.108221,0.791667,1.375000,0.332094,0.661017,0.847458,0.328744,0.611650,0.927184,0.460246,0.551429,0.811429,0.627103,0.748190,1.437520,4.716039,0.461803,0.547408,0.260004,0.250307,0.256448,0.261879,0.830110,2.113096,0.638185,0.588764,0.874461,0.221094,0.708004,1.237286,0.318921,0.496535,0.598585,0.245567,0.740015,1.512760,0.324224,0.544120,0.716617,0.279497,0.781925,1.654667,0.886962,0.565577,0.765188,0.310404,0.568957,0.834775,0.794094,0.369006,0.422392,0.232270,0.520392,0.739556,0.367193,0.303582,0.325524,0.305817,
0.375000,0.458333,0.270319,0.372881,0.372881,0.306499,0.368932,0.427184,0.337132,0.385714,0.411429,0.547246,0.538244,0.686497,4.098390,0.750000,1.708333,0.282504,0.610169,0.898305,0.348006,0.567961,0.825243,0.436848,0.534286,0.794286,0.658948,0.745042,1.452314,4.628406,0.488578,0.574306,0.252980,0.299189,0.305330,0.244859,0.790809,1.894666,0.976210,0.656770,0.990760,0.501611,0.690727,1.179307,0.192814,0.490190,0.583309,0.255624,0.741475,1.531204,0.308964,0.548764,0.716485,0.309616,0.775283,1.600159,0.370470,0.594359,0.788611,0.219746,0.576125,0.866411,0.301578,0.400272,0.459960,0.267922,0.574563,0.834387,0.531600,0.336432,0.364820,0.315938,
0.583333,0.791667,0.285894,0.474576,0.474576,0.254280,0.378641,0.417476,0.390782,0.360000,0.385714,0.498364,0.545168,0.696254,4.046605,0.708333,1.333333,0.628804,0.559322,0.864407,0.317645,0.635922,0.888350,0.421913,0.574286,0.805714,0.630517,0.747875,1.471199,4.789836,0.444731,0.494964,0.345096,0.249939,0.254483,0.211360,0.825428,2.140692,0.279646,0.685598,1.139584,0.218096,0.711127,1.264861,0.264801,0.481698,0.584285,0.270900,0.762838,1.641293,0.218638,0.549206,0.750409,0.276850,0.772228,1.606181,0.274911,0.579835,0.790648,0.348337,0.555981,0.847751,0.292540,0.376174,0.425606,0.251034,0.533656,0.806991,0.935532,0.379695,0.425809,0.418906,
0.416667,0.541667,0.535087,0.491525,0.542373,0.332305,0.339806,0.388350,0.396373,0.345714,0.391429,0.489250,0.536355,0.692792,4.232074,0.875000,1.375000,0.261485,0.525424,0.728814,0.341445,0.611650,0.936893,0.385354,0.551429,0.791429,0.699211,0.742524,1.454832,4.753041,0.450626,0.511914,0.184424,0.256325,0.258782,0.157044,0.818775,2.185783,0.520184,0.620549,0.924603,0.298682,0.696828,1.201659,0.382990,0.479112,0.578136,0.213282,0.763413,1.646557,0.542649,0.566146,0.724933,0.254810,0.777896,1.653516,0.326014,0.573902,0.780110,0.311619,0.596515,0.887543,0.288150,0.382971,0.440929,0.280300,0.535515,0.722449,0.329891,0.317342,0.345853,0.356402,
0.458333,0.708333,0.559922,0.457627,0.508475,0.340727,0.349515,0.393204,0.394971,0.388571,0.402857,0.467483,0.534781,0.680831,4.121854,0.625000,1.500000,0.630100,0.677966,0.966102,0.394355,0.587379,0.781553,0.488989,0.557143,0.822857,0.647314,0.730878,1.438149,4.750398,0.477033,0.555269,0.180273,0.271186,0.275117,0.167823,0.796107,1.753850,0.693857,0.623260,0.925095,0.255487,0.726696,1.316642,0.259763,0.504441,0.610835,0.239911,0.761688,1.521960,0.318057,0.563006,0.758061,0.248930,0.781394,1.659449,0.357087,0.628808,0.886026,0.415893,0.580697,0.881241,0.211312,0.367771,0.422392,0.295771,0.527705,0.769431,0.652835,0.361969,0.410933,0.342031,
