,pyrim,,,machine,,,housing,,,stock,,,abalone,,,pyrim10,,,machine10,,,housing10,,,stock10,,,abalone10,,,bank1-10,,,bank1-5,,,bank2-10,,,bank2-5,,,calhousing-10,,,calhousing-5,,,census1-10,,,census1-5,,,census2-10,,,census2-5,,,computer1-10,,,computer1-5,,,computer2-10,,,computer2-5
MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time
0.541667,1.000000,12.278439,0.423729,0.593220,12.003432,0.354369,0.373786,14.855188,0.108571,0.108571,25.632642,0.509915,0.696569,65.074278,0.791667,2.333333,11.285097,0.627119,1.101695,12.482855,0.563107,0.820388,16.398997,0.197143,0.200000,29.000315,0.707271,1.547686,73.084691,0.808401,2.228077,58.291687,0.498649,0.586834,60.131183,0.855488,2.499322,22.422541,0.765923,1.146236,31.297062,0.736066,1.452611,25.084965,0.545827,0.725769,37.464992,0.748065,1.611173,33.436272,0.536114,0.729179,22.952163,0.765763,1.650505,34.269311,0.561902,0.785822,36.609029,0.628893,1.102200,23.320065,0.413371,0.486653,29.520685,0.603942,0.894756,23.322657,0.383414,0.382546,31.461998,
0.541667,0.666667,12.283587,0.406780,0.508475,13.886077,0.402913,0.495146,16.173933,0.082857,0.108571,26.355046,0.516840,0.736859,64.590798,0.833333,2.208333,11.859470,0.644068,1.033898,14.320830,0.597087,0.917476,18.036743,0.182857,0.185714,30.231044,0.715140,1.593012,72.800586,0.721444,1.340825,21.097634,0.442029,0.500983,34.175944,0.844893,2.402612,30.172446,0.692128,1.103363,28.442968,0.729722,1.438848,31.339848,0.519815,0.668765,24.817952,0.782741,1.803618,30.203009,0.536645,0.759167,36.250598,0.775682,1.763018,31.599374,0.574168,0.808980,58.113741,0.621725,1.066609,32.645056,0.408057,0.518413,21.724683,0.589686,0.877898,29.489610,0.358622,0.394447,30.536901,
0.625000,0.833333,11.449931,0.525424,0.559322,12.141363,0.281553,0.281553,17.492953,0.094286,0.094286,27.078983,0.513063,0.720491,63.359622,0.916667,1.666667,11.830503,0.644068,1.084746,12.751765,0.567961,0.762136,16.717652,0.197143,0.237143,29.831929,0.705068,1.555241,73.168343,0.748342,1.368705,21.431958,0.402358,0.439081,28.748591,0.842429,2.403967,30.492537,0.693976,1.087101,28.782722,0.711274,1.450220,22.580083,0.487750,0.618838,22.424983,0.765005,1.771463,30.723227,0.605511,0.812508,31.368061,0.768022,1.766826,31.208496,0.550168,0.776346,32.270017,0.665843,1.117400,21.100426,0.434750,0.522121,27.783921,0.603942,0.918309,30.502571,0.344614,0.389240,30.962373,
0.625000,0.833333,12.007880,0.423729,0.508475,12.441175,0.398058,0.480583,15.657135,0.094286,0.137143,26.541824,0.507712,0.709160,66.560128,0.750000,2.125000,11.377159,0.610169,1.186441,12.721532,0.611650,0.888350,16.655273,0.214286,0.197143,29.156883,0.719232,1.549575,71.812898,0.783591,1.224024,22.919862,0.461066,0.649718,29.540671,0.850807,2.468276,35.196660,0.701244,1.227794,62.632137,0.738409,1.450903,26.370222,0.496925,0.634212,25.584965,0.780486,1.888894,62.304697,0.563581,0.803087,30.871259,0.790693,1.775549,32.692963,0.553843,0.804198,32.350201,0.647182,1.092561,53.543001,0.406080,0.480845,34.972086,0.604438,0.980042,33.288569,0.359985,0.414156,31.363091,
0.416667,0.875000,14.186329,0.423729,0.440678,11.828503,0.315534,0.368932,16.902054,0.091429,0.091429,25.884384,0.515266,0.690589,63.568046,0.708333,2.041667,12.166707,0.627119,1.237288,13.570578,0.577670,1.058252,16.574385,0.202857,0.231429,30.390978,0.716714,1.528171,72.346393,0.712601,1.540653,20.975123,0.425203,0.463645,29.826927,0.843661,2.380436,34.746788,0.707651,1.168412,28.703860,0.715715,1.390288,22.557673,0.516252,0.753490,62.500699,0.772967,1.773542,34.038933,0.551152,0.771993,37.534280,0.770546,1.778870,31.178425,0.560397,0.786486,30.635181,0.651384,1.215027,29.049413,0.412383,0.500247,34.676280,0.598116,0.933928,63.743048,0.361225,0.416264,30.431246,
0.750000,0.833333,12.062198,0.474576,0.525424,12.975607,0.373786,0.422330,15.180306,0.105714,0.108571,25.607972,0.530375,0.731193,65.740575,0.708333,2.041667,13.507357,0.559322,0.898305,12.982581,0.626214,1.043689,16.113437,0.225714,0.231429,30.084966,0.707586,1.507397,71.776663,0.781749,1.779784,24.148105,0.623188,0.486735,29.777977,0.851177,2.428607,34.615574,0.708883,1.190464,27.268190,0.743241,1.466813,30.071169,0.550659,0.654319,31.683999,0.768367,1.938564,29.395125,0.563537,0.802733,64.989039,0.760627,1.812079,34.979062,0.584175,0.817481,32.199133,0.658305,1.225655,22.850192,0.428819,0.529906,34.345021,0.596752,0.887195,33.033964,0.378331,0.446634,30.115525,
0.375000,0.750000,12.004533,0.440678,0.508475,11.966490,0.378641,0.441748,19.748368,0.111429,0.111429,26.581114,0.524709,0.679887,64.101693,0.833333,1.500000,11.578047,0.576271,1.016949,14.514137,0.572816,0.839806,16.262197,0.171429,0.177143,28.678491,0.703494,1.556185,73.151803,0.737165,1.190494,27.681058,0.418816,0.457996,28.089126,0.864236,2.500554,30.827476,0.706542,1.157078,36.338516,0.731381,1.480527,29.451084,0.519034,0.660957,29.527445,0.779645,1.650759,34.227100,0.583794,0.815958,37.608632,0.804906,1.712540,30.645060,0.565356,0.820050,32.117242,0.632229,1.056352,30.582460,0.407687,0.478992,23.295029,0.595884,1.000496,30.259231,0.393827,0.447874,28.485146,
0.583333,0.625000,14.353090,0.406780,0.423729,12.329221,0.349515,0.378641,15.264302,0.088571,0.088571,27.277333,0.486308,0.697828,64.880478,0.750000,2.833333,12.551189,0.661017,1.067797,13.213690,0.592233,0.815534,16.601472,0.214286,0.225714,28.683201,0.702550,1.549575,72.585880,0.726603,1.256202,27.212120,0.577745,0.736306,34.139911,0.859554,2.500554,54.234102,0.715905,1.201922,36.562504,0.704636,1.403075,30.389252,0.515715,0.670229,29.698627,0.789641,1.703171,22.598917,0.581140,0.856562,22.992890,0.774929,1.828241,31.870864,0.568013,0.823105,30.622542,0.649283,1.152867,32.265211,0.402373,0.469229,33.755941,0.596132,0.846411,28.572904,0.415768,0.499814,31.140248,
0.500000,0.708333,11.315483,0.423729,0.457627,12.368892,0.373786,0.402913,15.619766,0.117143,0.117143,27.645456,0.512748,0.701605,63.507398,0.833333,1.333333,12.853528,0.610169,0.847458,13.245348,0.635922,0.859223,16.632206,0.225714,0.240000,28.525915,0.710419,1.554297,72.712743,0.790346,1.567674,21.090989,0.433186,0.496315,28.424183,0.851300,2.456942,32.209283,0.692990,1.138475,37.014641,0.710981,1.402587,31.634476,0.514690,0.669107,31.060208,0.765270,1.874873,23.356043,0.559556,0.770799,25.476917,0.762354,1.822441,36.000455,0.565445,0.777232,31.772418,0.641127,1.225408,28.395940,0.420168,0.503584,33.777009,0.586215,0.903310,33.018086,0.343870,0.383538,31.282791,
0.583333,0.750000,12.781032,0.406780,0.440678,11.946616,0.330097,0.402913,18.955318,0.120000,0.120000,27.013378,0.508341,0.701920,63.796246,0.791667,1.208333,12.666748,0.610169,0.932203,12.678479,0.611650,0.878641,17.657752,0.214286,0.217143,28.770234,0.709160,1.508656,73.180193,0.715917,1.225375,27.769815,0.403709,0.454925,60.158041,0.865714,2.500554,58.638085,0.680424,1.130467,30.109108,0.746999,1.454661,30.262569,0.515227,0.652660,62.323073,0.762484,1.716573,22.852179,0.563006,0.806714,22.759807,0.832049,1.780110,22.483595,0.543482,0.812212,26.059527,0.652002,1.234305,32.054997,0.420292,0.521626,21.568130,0.617702,0.988348,22.845033,0.393703,0.396802,31.097712,
