,pyrim,,,machine,,,housing,,,stock,,,abalone,,,pyrim10,,,machine10,,,housing10,,,stock10,,,abalone10,,,bank1-10,,,bank1-5,,,bank2-10,,,bank2-5,,,calhousing-10,,,calhousing-5,,,census1-10,,,census1-5,,,census2-10,,,census2-5,,,computer1-10,,,computer1-5,,,computer2-10,,,computer2-5
MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time
0.416667,0.541667,13.639733,0.508475,0.576271,15.702823,0.354369,0.427184,27.465760,0.111429,0.111429,55.522908,0.517155,0.770538,189.999734,0.666667,1.375000,15.145677,0.610169,1.000000,17.909890,0.587379,0.995146,41.007740,0.208571,0.214286,84.664194,0.746616,1.754485,330.752509,0.753992,1.635102,10.288863,0.586834,0.932326,10.787940,0.846988,2.586300,12.759914,0.659726,1.145251,13.129740,0.733431,1.683065,40.157393,0.552757,0.765886,14.025329,0.774382,1.753992,18.482390,0.561502,0.797780,15.414393,0.779091,1.821644,23.549350,0.576913,0.849628,13.741260,0.676347,1.271997,13.244680,0.471206,0.545106,12.320407,0.636048,1.108095,15.492779,0.463121,0.538614,9.829855,
0.541667,0.750000,14.000676,0.491525,0.593220,18.284754,0.407767,0.427184,26.890514,0.085714,0.111429,56.351133,0.527856,0.802959,196.959361,0.791667,1.625000,13.458244,0.762712,1.220339,19.012790,0.665049,1.228155,39.265051,0.200000,0.177143,83.612649,0.735600,1.724583,338.097290,0.774257,1.688774,10.354801,0.496070,0.649226,11.593063,0.835284,2.416533,13.510659,0.697056,1.227424,12.156630,0.742167,1.725134,12.139782,0.526842,0.743192,13.191145,0.789951,1.898713,13.600277,0.551639,0.820204,15.984123,0.814736,1.905287,62.626103,0.588558,0.866454,13.138133,0.659170,1.285961,13.113533,0.470588,0.561789,8.216400,0.630470,0.994794,13.133904,0.399157,0.471179,15.781770,
0.666667,1.083333,13.557396,0.423729,0.559322,18.313706,0.300971,0.344660,26.856495,0.114286,0.100000,54.927391,0.540447,0.778407,192.996383,0.833333,2.166667,12.269910,0.593220,1.152542,16.649039,0.626214,1.043689,40.217746,0.228571,0.191429,81.476498,0.734655,1.775260,331.197064,0.785925,1.680668,11.265482,0.549496,0.693319,10.073324,0.866576,2.438832,28.700011,0.660958,1.172231,11.680927,0.742753,1.634797,12.152140,0.515129,0.703953,10.187689,0.781105,2.016409,13.643918,0.572029,0.838073,10.940567,0.773911,1.833555,17.959553,0.586920,0.815002,21.239453,0.669179,1.243203,14.543807,0.455017,0.559441,12.543927,0.650304,1.093715,15.746830,0.417627,0.500806,16.269607,
0.583333,0.750000,13.068120,0.525424,0.593220,15.932707,0.393204,0.456311,26.192265,0.102857,0.102857,54.507688,0.512433,0.778407,180.944056,0.791667,1.375000,15.286470,0.593220,1.016949,19.382140,0.655340,1.067961,38.212799,0.208571,0.200000,82.939046,0.736229,1.685867,340.808067,0.752027,1.615819,10.316577,0.673299,0.565463,10.006404,0.842922,2.556979,30.027603,0.701737,1.149686,11.271939,0.770473,1.638360,12.744254,0.522157,0.728843,13.969470,0.783405,2.206732,14.464574,0.575700,0.928038,34.726556,0.776922,1.899398,23.453699,0.633280,1.136778,21.443722,0.662383,1.231710,9.966340,0.465027,0.587494,11.574028,0.653775,1.220528,17.562779,0.406595,0.484691,15.992250,
0.541667,0.625000,14.350860,0.389831,0.627119,17.104502,0.349515,0.461165,28.658357,0.094286,0.094286,52.351826,0.524709,0.768020,181.641009,0.666667,2.083333,12.934681,0.694915,1.169492,18.638414,0.635922,1.223301,40.590895,0.220000,0.220000,84.644550,0.718288,1.664778,341.791292,0.742569,1.576885,11.470705,0.528617,0.602555,10.821062,0.878527,2.426389,12.582972,0.686091,1.220648,24.934670,0.719131,1.519571,16.958798,0.550854,0.776232,13.438561,0.810872,1.991729,20.453605,0.562475,0.843691,14.912590,0.769173,1.938762,17.205996,0.582226,0.840861,20.739962,0.689199,1.166214,9.810232,0.450692,0.578225,11.399596,0.659601,1.132887,13.228474,0.458907,0.460022,15.510745,
0.666667,1.041667,14.408196,0.508475,0.728814,17.195830,0.402913,0.475728,29.391294,0.125714,0.108571,53.244505,0.535096,0.801385,191.345260,0.708333,2.166667,15.468610,0.677966,1.288136,16.751363,0.694175,1.228155,39.699991,0.231429,0.242857,82.192374,0.719547,1.668240,340.893329,0.755220,1.561901,15.985989,0.561778,0.775485,9.945313,0.847481,2.498337,14.058563,0.688432,1.231366,12.063824,0.730844,1.658809,16.899328,0.553343,0.818790,10.244945,0.762528,1.849396,14.346255,0.561856,0.850989,11.633379,0.777586,1.988620,24.023484,0.599894,0.916224,21.493090,0.697603,1.200568,10.549005,0.469105,0.581933,11.978951,0.679435,1.163878,12.505997,0.437089,0.573695,15.344779,
0.500000,0.541667,14.683676,0.440678,0.559322,15.620925,0.388350,0.480583,29.923389,0.108571,0.108571,56.194160,0.519987,0.798867,190.651784,0.791667,1.541667,14.326162,0.677966,1.220339,19.079561,0.635922,1.000000,39.864259,0.188571,0.200000,86.837100,0.731193,1.699717,328.723281,0.753746,1.487841,11.132487,0.491648,0.632891,11.726214,0.866453,3.150671,10.241895,0.692990,1.134902,13.065710,0.745730,1.681698,37.702279,0.540849,0.735481,11.211879,0.770092,1.894998,18.922099,0.580654,0.848379,14.899378,0.807607,1.939338,17.306725,0.556057,0.836964,32.350694,0.731957,1.328596,13.871908,0.444142,0.556599,11.748694,0.628982,1.181604,27.727106,0.420726,0.512706,12.496390,
0.625000,0.916667,14.129161,0.423729,0.508475,18.023690,0.349515,0.412621,28.710479,0.094286,0.097143,54.545638,0.521561,0.811772,198.042494,0.791667,2.583333,15.403923,0.677966,1.423729,19.635841,0.611650,1.101942,36.515049,0.202857,0.222857,86.844279,0.730563,1.747246,332.367832,0.747973,1.553181,10.559449,0.588308,0.692090,19.970214,0.873352,2.484046,13.311711,0.681409,1.162622,11.786188,0.731820,1.701855,16.265568,0.564910,0.786823,15.703685,0.767526,1.792959,18.862902,0.582556,0.898624,15.910075,0.787372,1.938895,60.570058,0.596263,0.868447,20.751668,0.692165,1.360356,14.341467,0.470959,0.548196,12.243076,0.637908,1.165737,17.864839,0.436346,0.541961,13.328167,
0.500000,0.750000,12.178590,0.474576,0.559322,14.301720,0.388350,0.436893,26.152795,0.120000,0.120000,54.520446,0.530689,0.780925,175.216712,0.791667,1.541667,13.598245,0.677966,1.169492,16.214937,0.631068,0.980583,39.223367,0.231429,0.251429,85.135950,0.742524,1.828769,330.890885,0.756817,1.770572,11.294458,0.514001,0.567674,10.188138,0.848343,2.427621,11.157761,0.718985,1.093631,14.254848,0.727135,1.582918,18.024972,0.564959,0.743143,16.262160,0.766907,1.977531,19.205871,0.550754,0.845548,15.523312,0.772494,1.965197,26.836087,0.600027,0.969315,17.733068,0.670044,1.187840,13.565704,0.497158,0.542635,11.408255,0.642618,1.144911,15.608642,0.398909,0.467708,13.246388,
0.541667,0.666667,14.880622,0.389831,0.593220,15.885121,0.378641,0.500000,28.293139,0.114286,0.114286,53.595368,0.520932,0.768964,183.137591,0.625000,1.875000,15.412494,0.576271,1.135593,17.795254,0.611650,0.966019,39.327815,0.205714,0.237143,85.917872,0.722694,1.646837,355.014274,0.755834,1.582781,10.734603,0.530582,0.709531,10.094585,0.863127,2.794136,12.767926,0.648392,1.240976,13.201851,0.787213,1.721669,41.096115,0.561201,0.753099,15.610204,0.785218,1.887877,19.036674,0.591269,0.876156,14.818694,0.793659,2.011468,27.245172,0.585902,0.820581,20.682425,0.684503,1.348863,10.890339,0.449086,0.585517,11.871735,0.680426,1.179249,16.105084,0.414280,0.494484,15.752803,
0.500000,0.583333,12.197290,0.338983,0.559322,14.927117,0.388350,0.427184,31.903319,0.102857,0.131429,54.382220,0.547057,0.794145,180.089642,0.750000,2.333333,13.702362,0.576271,1.118644,16.852652,0.635922,0.995146,39.189221,0.197143,0.225714,85.451348,0.740321,1.745042,325.865419,0.759027,1.624785,11.118477,0.546057,0.688897,11.044468,0.854380,2.459899,10.276718,0.720094,1.263521,13.083429,0.745095,1.555149,12.965017,0.524744,0.785847,15.915914,0.764386,1.770711,18.478300,0.600469,0.955372,28.666531,0.777187,2.004118,23.472848,0.587363,0.902807,12.939011,0.671898,1.411641,13.822918,0.490608,0.747281,13.020563,0.645965,1.152101,17.717510,0.435106,0.537498,15.420957,
