dataset,logisticat,logisticat_desb_v2,logisticit,logisticit_desb_v2,logisticregressor
ERA,1.222,1.4493333333333338,2.7868,2.814533333333333,1.7368
ESL,0.3076502732240437,0.5092896174863388,0.31448087431693994,0.6478142076502731,0.39207650273224043
LEV,0.41493333333333343,0.6889333333333333,0.42360000000000003,1.0118666666666667,0.5933333333333334
SWD,0.4488000000000001,0.7049333333333333,0.5279999999999999,1.0338666666666667,0.5797333333333332
automobile,0.5916666666666667,0.6532051282051282,0.6929487179487179,0.7435897435897437,0.8025641025641025
balance-scale,0.14989384288747348,0.10679405520169852,0.20382165605095542,0.10679405520169852,0.10679405520169852
car,0.08032407407407408,0.07978395061728395,0.08371913580246913,0.0800925925925926,0.07276234567901235
contact-lenses,0.4777777777777777,0.4222222222222222,0.5666666666666667,0.4222222222222223,0.38333333333333347
eucalyptus,1.0034420289855073,1.0215579710144929,0.9916666666666668,0.9992753623188405,1.1030797101449277
newthyroid,0.032098765432098754,0.03641975308641975,0.032098765432098754,0.03641975308641975,0.02469135802469135
pasture,0.4851851851851852,0.43333333333333335,0.4222222222222223,0.44074074074074077,0.437037037037037
squash-stored,0.4487179487179488,0.5205128205128206,0.44102564102564107,0.5205128205128206,0.517948717948718
squash-unstored,0.24615384615384617,0.27435897435897433,0.24358974358974364,0.2615384615384616,0.2641025641025641
tae,0.7017543859649124,0.6991228070175439,0.6736842105263159,0.6710526315789475,0.6096491228070177
winequality-red,0.4385833333333334,1.500583333333333,0.43800000000000006,1.8742499999999997,0.8101666666666668
