dataset,logisticat,logisticat_desb,logisticat_desb_v2,logisticit,logisticit_desb,logisticit_desb_v2,logisticregressor
ERA,1.2237333333333331,1.4439999999999997,1.4439999999999997,2.7916,2.819866666666667,2.819866666666667,1.7381333333333333
ESL,0.30846994535519123,0.4210382513661202,0.4210382513661202,0.3128415300546448,0.6262295081967213,0.6262295081967213,0.39617486338797814
LEV,0.4154666666666667,0.5717333333333333,0.5717333333333333,0.42239999999999994,0.9994666666666665,0.9994666666666665,0.5914666666666666
SWD,0.44866666666666677,0.6006666666666666,0.6006666666666666,0.4688,1.0249333333333335,1.0249333333333335,0.588
automobile,0.5782051282051283,0.6564102564102564,0.6564102564102564,0.6948717948717952,0.7525641025641023,0.7525641025641023,0.7961538461538462
balance-scale,0.15201698513800424,0.10679405520169852,0.10679405520169852,0.20424628450106158,0.10679405520169852,0.10679405520169852,0.10679405520169852
bondrate,,,,,,,0.5333333333333333
car,0.08001543209876541,0.08117283950617285,0.08117283950617285,0.08317901234567901,0.08109567901234567,0.08109567901234567,0.08163580246913581
contact-lenses,0.5055555555555554,0.4666666666666667,0.4666666666666667,0.5333333333333332,0.4388888888888889,0.4388888888888889,0.3944444444444445
eucalyptus,1.0019927536231885,1.0179347826086957,1.0179347826086957,0.9894927536231884,1.001086956521739,1.001086956521739,1.1
newthyroid,0.030246913580246906,0.03888888888888888,0.03888888888888888,0.030246913580246906,0.03888888888888888,0.03888888888888888,0.02160493827160493
pasture,0.42592592592592593,0.42592592592592593,0.42592592592592593,0.4592592592592593,0.4592592592592593,0.4592592592592593,0.41481481481481475
squash-stored,0.5384615384615384,0.4923076923076923,0.4923076923076923,0.4615384615384616,0.5153846153846154,0.5153846153846154,0.7692307692307693
squash-unstored,0.2820512820512821,0.28974358974358977,0.28974358974358977,0.2717948717948718,0.28461538461538466,0.28461538461538466,0.26666666666666666
tae,0.6684210526315788,0.6684210526315788,0.6684210526315788,0.6657894736842106,0.6701754385964913,0.6701754385964913,0.5921052631578948
toy,1.008888888888889,1.306666666666667,1.306666666666667,1.9,,,1.1555555555555554
winequality-red,0.43833333333333335,0.8488333333333336,0.8488333333333336,0.43891666666666673,1.89525,1.89525,0.8224166666666669
